d = 19, symClass = C, D = 16.000000
[11.41473128820399, 11.41473128820399], 11.41473128820399
1, 0, 1
2, 0, 1.812323859499683
0, 1, 0.1150613651407134
1, 1, 1.420673994144298
3, 0, 1.652336678567055
2, 1, 0.3264928537567882
4, 0, 2.284517771711907
3, 1, -0.8122958892658504
-1, 2, 1.546153698641684e-16
0, 2, 0.2085284573506484
1, 2, 0.5965808145633306
5, 0, 0.01323911774723334
4, 1, 0.9867608822526921
2, 2, 2.574721376158188
5, 1, 0.1634646891852591
3, 2, -0.1634646891851799
6, 0, 2.994569186493455
-1, 3, 0.7940700685688927
4, 2, 0.5917107888194663
0, 3, 0.1901201139077603
6, 1, 0.4873451900899238
7, 0, 2.018314597636901
1, 3, -1.018314597637193
5, 2, 0.03756671346156322
2, 3, -0.03756671346163102
7, 1, -1.228995222599527
3, 3, 2.347431748810952
8, 0, 2.327962205624468
6, 2, -1.472143221090246
4, 3, -1.399754953407973
-2, 4, -2.043115864381597e-15
8, 1, 0.4638399066057278
-1, 4, -0.4638399066057075
0, 4, 0.2628597335003819
9, 0, 1.730216499337967
7, 2, -1.376768268259602
5, 3, -0.0934638739172142
1, 4, 0.09346387391737253
2, 4, 1.081197644353169
9, 1, 7.012812958134092e-14
6, 3, 0.5394761175524204
10, 0, 0.02399356897264441
8, 2, 1.78833029052693
3, 4, -1.187209668840332
4, 4, 3.245554987430683
10, 1, 0.06864340294066426
7, 3, -0.06864340294061851
9, 2, -1.154007645430646
-2, 5, -1.154007645430601
11, 0, 0.1065975835539749
-1, 5, -0.8934024164460049
5, 4, 0.2285994193188483
0, 5, -0.1135380541782398
1, 5, -0.7448790162673841
8, 3, 4.540725162527756e-14
11, 1, -1.529665751606063
2, 5, 0.7140090174087915
10, 2, 0.2962509563962289
6, 4, -0.2962509563963147
12, 0, 3.7747925070379
3, 5, -1.835862774902897
9, 3, -1.34218629168345
7, 4, 0.620746864901542
12, 1, 0.847546848655588
4, 5, -0.8475468486563961
11, 2, 0.195905468869013
13, 0, 0.9999766619615716
-3, 6, 2.309025283458791e-15
-2, 6, 1.439112131381734
10, 3, 1.401865523853851
5, 5, 0.01880847029028405
-1, 6, 1.401865523853933
8, 4, 0.7458787267438903
0, 6, 0.3445592186053972
13, 1, -0.2652088029814179
1, 6, -0.2652088029814149
12, 2, 0.8832273158123998
6, 5, -1.599118905569006
14, 0, 3.657839701273952
2, 6, -1.845515841774366
9, 4, 0.5660473737862779
11, 3, 0.6976716113444102
3, 6, 0.9857523616325318
7, 5, -5.052703125028064e-14
14, 1, 0.09136678610625466
13, 2, -0.09136678610621143
10, 4, 0.06808305112941164
4, 6, -0.06808305112940853
15, 0, 0.02187547984588146
12, 3, 1.630461198721184
8, 5, 0.01576192724205378
-3, 7, 1.527235678590442
5, 6, 0.05607460286644602
-2, 7, -0.05607460286647999
-1, 7, -0.1465923470014659
14, 2, -2.227337365128155
15, 1, -0.1171686677462817
11, 4, 0.1171686677462761
0, 7, 0.2322300328869491
9, 5, -1.604143002739185
6, 6, 4.254306566916851
13, 3, 0.1947793726435954
1, 7, -0.1947793726435558
16, 0, 1.934503677554784
2, 7, 1.073962657073069
7, 6, -1.619511356597592
12, 4, -1.855704394916871
15, 2, 0.3221703764214723
10, 5, 0.004322477335468962
3, 7, 0.3221703764214415
16, 1, 0.8522985687309276
