d = 19, symClass = C, D = 16.000000
[12.08243467565682, 12.08243467570383], 12.08243467568031
1, 0, 1
2, 0, 1.036681019294803
0, 1, -0.3014073868396794
1, 1, 1.039214857774976
3, 0, -1.592735625091691
2, 1, 0.4324090233230189
4, 0, 0.07470753576613549
3, 1, -0.520517935274748
-1, 2, 3.119932530639291e-15
0, 2, -0.3124633170119276
1, 2, 0.423908690493794
5, 0, -1.895650687318061
4, 1, -1.077343513001212
2, 2, 1.077334318024473
5, 1, 0.6662587595936957
3, 2, 1.292712828887669
6, 0, -1.651158791287157
-1, 3, -0.08075862679038739
4, 2, 0.4482702270507689
0, 3, 0.4800622826853924
6, 1, 0.515410660117767
7, 0, 0.5970106509414834
1, 3, -0.5629243902992499
5, 2, 0.8267440056559093
2, 3, 1.087406553187275
7, 1, 0.5855274168980782
3, 3, -1.655194526102887
8, 0, -0.9592331349677246
6, 2, -0.539611063701945
4, 3, 1.493380769539159
-2, 4, -1.095616385778626e-14
8, 1, -0.02254099407140605
-1, 4, -0.9212727574180434
0, 4, -0.0225174031325
9, 0, 1.536806771436418
7, 2, -0.700698057986588
5, 3, -0.8920902635280162
1, 4, -1.205866164876628
2, 4, 0.4394580933490099
9, 1, 1.759083258274111
6, 3, -0.6887132560576156
10, 0, -1.965185086755752
8, 2, -1.116861571188765
3, 4, 1.638435789194877
4, 4, 0.07763718115581983
10, 1, -0.2476735758270461
7, 3, 0.007864845493716483
9, 2, -0.0237083465338713
-2, 5, -1.058151597617866
11, 0, -0.2741321408652946
-1, 5, -0.3519127322325395
5, 4, 1.220801705990348
0, 5, 0.8727705068651294
1, 5, -1.026371707945529
8, 3, -0.8673544311880786
11, 1, 0.369429320926928
2, 5, 0.1835388371937665
10, 2, 0.690697810009847
6, 4, 1.340130853106759
12, 0, -0.1189893536773274
3, 5, 0.3280659233414372
9, 3, 0.8290474590113842
7, 4, 0.3711368837770033
12, 1, 0.4996536762975405
4, 5, -0.3814107427047408
11, 2, -0.5545088974315407
13, 0, -0.1660957378679876
-3, 6, 5.9301001546084e-16
-2, 6, -0.08372093553793652
10, 3, -1.710039893015815
5, 5, -1.969988359412471
-1, 6, -0.5291428782609938
8, 4, 0.03230421257547002
0, 6, 0.4976714565393194
13, 1, 0.2803110061826868
1, 6, -0.7304643102112162
12, 2, 0.5343164484863451
6, 5, 0.9216124627761904
14, 0, 0.61890961014785
2, 6, -0.5835730307212266
9, 4, 0.954056912270722
11, 3, -0.04986596311161365
3, 6, -0.6751744731354827
7, 5, -0.8475094682005831
14, 1, 0.01819252027835423
13, 2, -0.03048997305296271
10, 4, 0.8570698184791784
4, 6, 1.12729373394579
15, 0, 3.019270382421404
12, 3, 1.715923393618352
8, 5, -0.7929988618311539
-3, 7, 1.451402885124979
5, 6, 1.139510811453778
-2, 7, 1.450207971885447
-1, 7, -0.6491936175144408
14, 2, 0.6070051593749506
15, 1, 2.205461950177376
11, 4, 1.866122811240488
0, 7, -0.1799434202156957
9, 5, -0.7405475151635537
6, 6, -1.715908748451481
13, 3, 0.2410707177229535
1, 7, -0.1255331679460085
16, 0, -1.069126319865744
2, 7, 0.1159741764641331
7, 6, 0.6757487186494504
12, 4, -0.03888661226646767
15, 2, -1.042792174198875
10, 5, -0.8196964622647653
3, 7, 0.1110860617184604
16, 1, 0.2483580274234066
