d = 19, symClass = C, D = 16.000000
[12.14938249335877, 12.14938249414505], 12.14938249374905
1, 0, 1
2, 0, 1.753442707659975
0, 1, 1.291772871278622
1, 1, -1.230116002907746
3, 0, 0.8796787884506772
2, 1, 0.4581023730984083
4, 0, 2.074561329047108
3, 1, -1.638692999196392
-1, 2, -3.374648374744347e-15
0, 2, 2.265049721095886
1, 2, -0.5030445834506071
5, 0, 1.668677150971305
4, 1, -0.6686771509702134
2, 2, -2.156937934874473
5, 1, -1.589030481080963
3, 2, 1.589030481080045
6, 0, 1.542466356691912
-1, 3, -0.6906095484881042
4, 2, 0.8032562654723753
0, 3, 1.136345194358667
6, 1, 1.012693942109838
7, 0, 1.513185380607511
1, 3, -0.5131853806078687
5, 2, 0.5917642178365637
2, 3, -0.5917642178373248
7, 1, 1.889184553954322
3, 3, -1.082106955089991
8, 0, 1.88418172634999
6, 2, -2.873354289534047
4, 3, 0.2358785476650584
-2, 4, 3.178116494228371e-14
8, 1, -0.5635190601189953
-1, 4, 0.5635190601195232
0, 4, 2.679862044665363
9, 0, -0.2261652291527315
7, 2, 1.787210080228624
5, 3, -2.116819160714664
1, 4, 2.116819160715885
2, 4, -0.8820598564790102
9, 1, -7.672285318622274e-13
6, 3, 0.402982940553877
10, 0, 2.925929781806955
8, 2, -1.172487074145673
3, 4, 0.6036696230240254
4, 4, -2.551951089872505
10, 1, -0.6498193459446959
7, 3, 0.6498193459447228
9, 2, 2.015782482163115
-2, 5, 2.015782482163746
11, 0, 0.2098577842399018
-1, 5, -0.7901422157613501
5, 4, 0.4279938680116208
0, 5, 0.8637790032669942
1, 5, 0.5624919215042216
8, 3, -2.246864834672482e-12
11, 1, -0.5108632417073019
2, 5, 0.1626044581359541
10, 2, -2.786273909301683
6, 4, 2.78627390930023
12, 0, 1.824947596501042
3, 5, 0.7148204711790175
9, 3, -1.441523472175498
7, 4, -0.2534005348632613
12, 1, 0.6188031922775535
4, 5, -0.6188031922776716
11, 2, -1.612062596984449
13, 0, 1.466038782554533
-3, 6, 4.655471934130517e-15
-2, 6, -1.210944276635465
10, 3, 0.8225504641868548
5, 5, -2.052666467092802
-1, 6, 0.8225504641863339
8, 4, 0.9503614679752894
0, 6, 1.992516194432292
13, 1, -0.7506891517123954
