d = 19, symClass = C, D = 16.000000
[12.36333080301018, 12.36333080315437], 12.36333080301018
1, 0, 1
2, 0, -1.148645574226842
0, 1, 0.2850587929523199
1, 1, 0.4198455112171922
3, 0, 0.09635454700290136
2, 1, -0.1102775563229575
4, 0, 0.3193866551911896
3, 1, 1.373259196429558
-1, 2, 5.504486989420264e-15
0, 2, -0.3274315209190675
1, 2, -0.155337128670876
5, 0, -0.2771828334915565
4, 1, 0.5603001356295336
2, 2, -0.4822536883186744
5, 1, 0.4629063822840226
3, 2, 0.2235450729761724
6, 0, -0.1106772239714986
-1, 3, 0.6081616033032484
4, 2, 0.1266698270069892
0, 3, 0.02746671086407887
6, 1, -0.1189722588077267
7, 0, -0.1523857470815846
1, 3, 0.4950737463398936
5, 2, 0.9435530028032327
2, 3, 1.006424176993655
7, 1, -0.9089139584034365
3, 3, 0.04045402404445361
8, 0, 0.781783506274631
6, 2, -1.57738809824539
4, 3, -0.4877701943252316
-2, 4, -1.262754186960311e-15
8, 1, -0.9799004432587105
-1, 4, -0.8873013692382625
0, 4, 0.09104397441385438
9, 0, -0.9907158012718326
7, 2, 1.458089996014559
5, 3, 0.103667927153238
1, 4, -0.6792512907363617
2, 4, 0.1784273053610413
9, 1, -0.6688008459638938
6, 3, -0.01062574398396451
10, 0, 0.3183848349418313
8, 2, -0.6435862710297192
3, 4, 0.2927323599538626
4, 4, 0.1340930535245491
10, 1, -0.4675647845656073
7, 3, -0.379004355766394
9, 2, 0.8521318060472449
-2, 5, 0.3009816126702906
11, 0, -2.639884315893963
-1, 5, 1.664206594751108
5, 4, 0.2404235567649022
0, 5, -0.3640721968944513
1, 5, 0.6872538193162945
8, 3, 0.6404106492738906
11, 1, -0.6279799067606028
2, 5, 1.058746957755455
10, 2, -0.5317153672920149
6, 4, -0.2567740587141806
12, 0, 0.03077435647971876
3, 5, -0.7565989053032086
9, 3, 0.1323197677893775
7, 4, -0.631824266390564
12, 1, 0.3400987966331883
4, 5, 0.4705339890271247
11, 2, 0.3632719472863927
13, 0, -1.09716566656985
-3, 6, -1.200870396502926e-15
-2, 6, -0.6985621340490777
10, 3, 0.430918520135263
5, 5, -0.1163739684279982
-1, 6, 0.03956047362164732
8, 4, -0.03522117985667091
0, 6, -0.03154951587252464
13, 1, 0.6313762842192738
1, 6, -0.9342556209799605
12, 2, 0.1366569585353773
6, 5, 0.02189431791112936
14, 0, 0.1750372139606081
2, 6, -0.5686642676492994
9, 4, 0.7073482921915251
11, 3, 1.175659792562827
3, 6, -0.01496743866579386
7, 5, 1.819190770467175
14, 1, 0.5330571735556426
13, 2, 0.1863335484405839
10, 4, -1.083807980718496
4, 6, -1.156024676698787
15, 0, -0.02670782635797491
12, 3, 0.05398746575420427
8, 5, -0.8130668079115129
-3, 7, 0.2465893950604304
5, 6, 0.452892123722909
-2, 7, 0.5207203007040047
-1, 7, -0.6569984187696376
14, 2, 1.044019995673264
15, 1, 0.4293286867134573
11, 4, 0.1470784376055182
0, 7, -0.04343889712622602
9, 5, -0.6134369412536794
6, 6, -0.04646733567849125
13, 3, 1.168497437760192
1, 7, 1.134237039848075
16, 0, -1.217378819676741
2, 7, -0.9952441452142028
7, 6, -0.2139164655545796
12, 4, 0.4386006614591824
15, 2, 0.4940696113923387
10, 5, 0.03056704553220539
3, 7, -0.6176466709215233
16, 1, 0.0858075868543136
14, 3, 0.6086881645285039
17, 0, 1.654773583622105
4, 7, 1.116908057535037
8, 6, 0.5602750749515256
13, 4, -0.08909258839194382
11, 5, -0.5997604268750267
-4, 8, 5.698684134273838e-15
5, 7, 0.104999527000679
-3, 8, 0.6231873587604656
16, 2, 1.125558307332105
-2, 8, 1.019194790781097
17, 1, 0.9359634433489552
-1, 8, -0.005726739348751655
15, 3, 0.04460313476965587
9, 6, 0.0215395842413877
0, 8, 0.2228542626486401
6, 7, -0.5369785623717237
18, 0, 1.137981320447682
12, 5, -0.51609154790965
1, 8, 0.4161916102700359
14, 4, -1.674828620746598
10, 6, -0.1190777057139071
2, 8, 0.7802189888924148
17, 2, 0.3517305083588469
7, 7, -0.4838239831029342
18, 1, -0.1576466149830152
16, 3, -0.3883975979884352
3, 8, 0.4030885484448312
13, 5, 1.139052505238513
19, 0, -0.2478877587527031
15, 4, -0.7862212039558053
8, 7, -0.5081348382908892
11, 6, -0.6019589410824506
4, 8, -0.04961260595325289
18, 2, 0.768215131755463
19, 1, 0.1185614311466769
17, 3, 0.6244275457465736
5, 8, -0.7265239150358086
-4, 9, -0.1678654398983531
-3, 9, 0.05859913579080864
9, 7, 0.3792258791281174
14, 5, -0.5531722859152086
-2, 9, -0.1265360049268636
12, 6, 0.01220521380013403
-1, 9, 0.7272173227358529
20, 0, -0.08852849806523343
16, 4, 0.1789523862218359
6, 8, -0.3362457296938857
0, 9, -0.2824122504692964
10, 7, 0.3956346049999657
1, 9, -0.4356481435594451
19, 2, 0.222635803327784
18, 3, -0.01146351810334161
20, 1, 0.6053622151477062
15, 5, -0.380643875184823
7, 8, 0.9335124128805546
13, 6, -0.730241339083637
2, 9, -0.03296555195302025
17, 4, -0.7897891229756018
21, 0, -0.01468305962976918
3, 9, 0.04770260656162273
11, 7, 0.5580285558277271
8, 8, 0.3282282958530625
4, 9, 1.283207376458788
20, 2, 0.5370662204555283
14, 6, 0.4353416758638494
16, 5, 0.4570120550723321
19, 3, 0.8083822613940693
21, 1, 0.3164502111448806
12, 7, -1.04546617656354
9, 8, -0.9113330256403914
5, 9, -0.3812951237517307
-5, 10, -1.993828263429281e-14
18, 4, -0.9787974276737522
-4, 10, -0.3457211973174325
-3, 10, -0.3894322587622999
22, 0, 3.032291435922105
-2, 10, -1.911583539661665
-1, 10, -1.184078179240966
15, 6, 0.09091562215820541
6, 9, 0.09697354566709558
17, 5, 0.473411419643034
10, 8, -0.2761614544177493
0, 10, 0.4181899176620988
21, 2, 0.906065893510801
20, 3, 0.627220604974593
13, 7, 0.4603287386013198
22, 1, 0.4149175738478804
1, 10, 0.8244938270339055
19, 4, -1.311031118666108
7, 9, 1.337271058609337
2, 10, -0.7894110579282325
23, 0, -0.4757285202640944
11, 8, 0.476012232648538
16, 6, -0.735604857976267
18, 5, -0.8385318224595921
14, 7, 0.01680472780670435
3, 10, -0.7293407765673559
8, 9, 0.2299544730258608
22, 2, 0.7213263406040481
21, 3, -0.0875779927265864
4, 10, -1.216125007252068
23, 1, -0.5770051241225852
20, 4, 0.1478461211042666
12, 8, 0.0713973131423694
9, 9, -0.4159475820559509
17, 6, 0.1562029759614106
5, 10, 0.04305678547132245
-5, 11, -0.1542865630311551
15, 7, -0.32835739155624
24, 0, 0.07532839560145047
-4, 11, -0.5818793315277835
19, 5, 0.6313300336436578
-3, 11, 0.5930150459110658
-2, 11, 0.651745354571856
13, 8, 0.5085615654074354
23, 2, 0.4363072963620538
22, 3, 0.2647123859447107
10, 9, 0.8350735967532434
-1, 11, 0.3492582686170431
6, 10, 0.8690639840415572
24, 1, 0.2593580048493544
21, 4, -0.6894354413965083
0, 11, -0.7525222366223294
18, 6, -0.1519885156541979
16, 7, 0.4742789631335149
1, 11, 0.01459754277246176
7, 10, -0.6139764770514292
25, 0, 0.1974305944416557
20, 5, -0.4324884126911346
11, 9, -0.009257974838965625
14, 8, 0.7257421472789518
2, 11, 0.2586732545440521
23, 3, -0.9206262624300184
24, 2, -0.3906529775513996
8, 10, -0.5404767840201286
3, 11, 0.1843139703721962
22, 4, -0.4172707144918028
17, 7, 1.357243249675108
25, 1, 0.3044934650783602
19, 6, -0.08732202329399318
12, 9, -0.04699887611572558
15, 8, -0.09823834640034709
4, 11, -0.4633477197519164
21, 5, -0.8901299186243659
9, 10, 1.090595539105599
26, 0, 1.260254487099209
-6, 12, 5.591046428957049e-16
5, 11, -0.8642065372195291
-5, 12, 0.5061841487805462
-4, 12, 0.1942387002946388
13, 9, 0.5432038525304922
24, 3, -0.09441786331811504
-3, 12, -0.08549552148799054
25, 2, 0.750900259308187
18, 7, 0.1472899996688852
20, 6, -0.494972651005786
10, 10, 0.1336724437899034
-2, 12, -0.04544096293986673
23, 4, -0.3641651974907024
16, 8, -0.08621317464560274
26, 1, -0.3977893942464759
6, 11, -0.643594128875728
-1, 12, 0.8411797498662765
22, 5, -0.8325734556644405
0, 12, 0.008772500912057132
14, 9, -0.2494798401027455
