d = 19, symClass = D, D = 16.000000
[7.129906857868889, 7.129906857868891], 7.129906857868889
1, 0, 1
2, 0, -0.4519216725470346
0, 1, -1.241686470554791
1, 1, -0.3170429984051594
3, 0, -1.102815173167097
2, 1, 0.5364673817252242
4, 0, -0.7957668018822898
3, 1, 0.7094551832472678
-1, 2, -1.87894194624891
0, 2, 0.5611450265521304
1, 2, -0.7637817013845865
5, 0, 1.541785291158808
4, 1, 0.5417852911587988
2, 2, 0.1432786021085928
5, 1, 0.3936680017038077
3, 2, 0.3936680017038059
6, 0, 0.4983860775679378
-1, 3, -0.3953085196476175
4, 2, -0.2424412364162009
0, 3, 1.369350680044132
6, 1, 1.232767407814426
7, 0, 0.1005162628376618
1, 3, -0.8994837371623253
5, 2, -0.666124289782147
2, 3, -0.6661242897822062
7, 1, -0.01702100091590525
3, 3, 0.3496398291876061
8, 0, 0.8115459366110849
6, 2, -0.3206181730102565
4, 3, -0.3632096275068308
-2, 4, 0.8491345869675957
8, 1, -0.1700832272487374
-1, 4, -0.1700832272487279
0, 4, 0.9880928716138961
9, 0, 0.2162013061676181
7, 2, -1.000552189955848
5, 3, -0.8809209025030919
1, 4, -0.8809209025030978
2, 4, 0.3451695039505291
9, 1, 2.333056793615116
6, 3, -0.5916243684758333
10, 0, -0.6967661874889108
8, 2, -0.2448445149418763
3, 4, 1.589881656047239
4, 4, 0.252292292900039
10, 1, 0.9483774050665372
7, 3, 0.9483774050665301
9, 2, -0.2249277985308022
-2, 5, -0.2249277985307954
11, 0, 0.287797251655063
-1, 5, -0.7122027483448966
5, 4, 0.5689590045776333
0, 5, -0.6727274659775545
1, 5, -0.7676964119656104
8, 3, 0.5957053884679321
11, 1, -1.507264539233743
2, 5, -0.9956046618332071
10, 2, -0.1779071017582101
6, 4, -0.1779071017582496
12, 0, 0.877583703418471
3, 5, 1.846026020918841
9, 3, -0.7823979407671248
7, 4, 0.535918162365754
12, 1, 0.2421516407339323
4, 5, 0.2421516407339557
11, 2, -1.676114673194607
13, 0, 1.227992136219735
-3, 6, 2.072125687823401
-2, 6, 0.1786484873712605
10, 3, -0.1717692332007881
5, 5, -0.4888122316059597
-1, 6, -0.1717692332008038
8, 4, -0.4269029326696457
0, 6, -0.6188392496289754
13, 1, 0.3805995646080489
1, 6, 0.3805995646080382
12, 2, -0.5571143088009957
6, 5, -0.3952064382160992
14, 0, -0.04542547761978481
2, 6, 0.4064961949272452
9, 4, -0.29611549755404
11, 3, -0.5475862187257318
3, 6, 0.8423100492743012
7, 5, -1.00799106631784
14, 1, 0.4908492405414786
13, 2, 0.4908492405414845
10, 4, 0.3010360031625576
4, 6, 0.3010360031625768
15, 0, -1.700304212855808
12, 3, -0.5974890396886817
8, 5, 1.501439482024814
-3, 7, 0.894727676634009
5, 6, -1.530710611624083
-2, 7, -1.530710611624082
-1, 7, 1.238749769952741
