d = 19, symClass = D, D = 16.000000, Y = nan
[15.95203536739025, 15.95208106022494], 15.95203536739025
1, 0, 1
2, 0, -0.8512948316238756
0, 1, -0.005880272566140315
1, 1, 0.2179678509936011
3, 0, 0.7969556170694455
2, 1, 0.4773768729079025
4, 0, 0.4283536335462024
3, 1, -0.9109401088889116
-1, 2, -0.9685342660014047
0, 2, 0.2327361497055248
1, 2, 0.1726308399473848
5, 0, -1.640495768174928
4, 1, -0.4210000170928621
2, 2, 0.04696221434527782
5, 1, 1.058315472482544
3, 2, -1.370204572052927
6, 0, -1.815009369451994
-1, 3, -0.1747864248113202
4, 2, -0.4761440468219242
0, 3, -0.3676889375863654
6, 1, 0.07078538518061425
7, 0, -1.09456867351578
1, 3, 0.3657107472164025
5, 2, -1.642948989901518
2, 3, 1.146159039499937
7, 1, 0.2898128608105205
3, 3, -0.585023945292806
8, 0, -0.3710479383213678
6, 2, 0.5207468646637438
4, 3, 0.2803493241455454
-2, 4, 1.071282209022742
8, 1, 0.6574171246495123
-1, 4, -0.9564330399844663
0, 4, -0.4987981800437453
9, 0, 0.9154569819600495
7, 2, 1.49068767478723
5, 3, 0.2952753758096829
1, 4, 1.008568712554912
2, 4, -0.3292879840311839
9, 1, -0.189504943370514
6, 3, 0.3320248788256892
10, 0, 1.224207599703103
8, 2, -0.5169040407022293
3, 4, -0.3787510598212746
4, 4, 0.6468298196337797
10, 1, 1.534644105359562
7, 3, -0.5476872932410474
9, 2, 0.2537344832387335
-2, 5, -0.6710023500133044
11, 0, -0.5858418531456195
-1, 5, 0.7308108703362264
5, 4, -0.7761519073489025
0, 5, 1.095453403355864
1, 5, 0.8837275241216781
8, 3, -0.06078131521512491
11, 1, -0.1194242243041635
2, 5, -0.3744286392524186
10, 2, -1.746290485968525
6, 4, 1.880825653864873
12, 0, 1.506743674457172
3, 5, -0.5563752918940185
9, 3, -0.5756962807336268
7, 4, -0.2912249593486683
12, 1, -0.1195598152797121
4, 5, 1.329009448519644
11, 2, 0.1665385862348204
13, 0, -0.3669251399877497
-3, 6, -1.635046780628585
-2, 6, -0.1566725774179379
10, 3, 1.116555423610264
5, 5, 0.06766440006145157
-1, 6, -0.6298654421855814
8, 4, 0.4792983910571721
0, 6, 1.263568220319099
13, 1, -0.851787410254532
1, 6, -1.176558493597769
12, 2, -0.1925562653764705
6, 5, -2.423133241647668
14, 0, 1.409799369312025
2, 6, -1.298825658985276
9, 4, 0.3102995308363976
11, 3, -0.927425363889111
3, 6, 0.0490737246250316
7, 5, 0.4652175047201988
14, 1, 0.5759816559391473
13, 2, 0.4018339513814635
10, 4, 0.703052868932235
4, 6, -1.081611907956249
15, 0, -1.175824550730672
12, 3, 0.7018871685319533
8, 5, -0.06799546660181278
-3, 7, 1.341821773805065
5, 6, 0.3142490314300804
-2, 7, -0.8683494688484736
-1, 7, -0.02308272779687814
14, 2, -0.924301314053298
15, 1, 0.04391162620547429
11, 4, -0.8311788005616185
0, 7, 0.2873333824041804
9, 5, -0.2549160094832693
6, 6, 0.602980952858105
13, 3, 0.8198548503518759
1, 7, -0.959707097130683
16, 0, -0.882720186663454
2, 7, -0.7501180017140934
7, 6, -1.781114677152798
12, 4, -0.5413329412730745
15, 2, -0.2286903718651672
10, 5, 1.596852997594043
3, 7, 2.073222102987561
16, 1, 0.159301538236772
14, 3, -0.2429145609111685
17, 0, -3.323749472265115
4, 7, 2.881193415603257
8, 6, 4.045649905490381
13, 4, -0.04531793558642218
11, 5, 1.071300484834566
-4, 8, -1.026950807564821
5, 7, -0.4820657880589236
-3, 8, 0.8290425866677715
16, 2, -1.551968162892941
-2, 8, 0.9171225666736916
17, 1, -1.130109401715202
-1, 8, -0.7384498732084306
15, 3, 2.216735054870329
9, 6, -1.135722211772319
0, 8, 0.2920713622416672
6, 7, 1.214769492744287
18, 0, -1.527372986597582
12, 5, -0.4532072839776394
1, 8, 0.5051088776716827
14, 4, -0.5210418089945352
10, 6, -0.03110618537392642
2, 8, -1.075219381779634
17, 2, 0.03211290409920852
7, 7, -0.1365342660202505
18, 1, 0.9586865795991028
16, 3, -0.3044853347409947
3, 8, -0.1632613938906156
13, 5, -0.4497786774925125
19, 0, 0.4774759022742456
15, 4, -0.3717864700404303
8, 7, 0.1000103223813082
11, 6, 0.05825502388046726
4, 8, 0.3773213280266933
18, 2, -0.8505956340952214
19, 1, 0.3591193419781017
17, 3, 0.6643751881002308
5, 8, 0.3061773770717356
-4, 9, -0.7776780995395725
-3, 9, 0.2488804896991657
9, 7, 1.179202384421223
14, 5, 0.2299330451277133
-2, 9, -0.9095205978776582
12, 6, -0.06296094769040796
-1, 9, 0.5372012729356357
20, 0, -0.6200200340671255
16, 4, 1.539275505719264
6, 8, 0.1776761228852273
0, 9, 0.09988736629001785
10, 7, 0.4649927573569134
1, 9, -1.712234977672458
19, 2, -0.7909014714333626
18, 3, -0.1733653254027059
20, 1, -1.341308488544792
15, 5, 1.829321788061613
7, 8, 0.5706166979448347
13, 6, -0.3075515496609527
2, 9, 0.1316196067055951
17, 4, -0.2289005269851007
21, 0, 0.04679189684866931
3, 9, 4.478441364284802
11, 7, -0.4900064363561575
8, 8, 7.99764853750574
4, 9, -0.914040987488945
20, 2, -5.542160981586049
14, 6, -0.692595998642078
16, 5, -0.7208441339819209
19, 3, -0.7065392051012013
21, 1, 1.086569607922125
12, 7, -0.3392301809969447
9, 8, 0.2089674406510703
5, 9, -0.1129137909076583
-5, 10, 1.653473513215056
18, 4, 0.4170013526436141
-4, 10, 0.4837989906178324
-3, 10, -0.1688272938296727
22, 0, 0.3191361760410152
-2, 10, -0.4872737741952216
-1, 10, -0.1972719854131008
15, 6, -0.4728950101969715
6, 9, 1.431081025132502
17, 5, 0.4402963650444448
10, 8, 1.46647293256783
0, 10, -0.6951369501084141
21, 2, 0.3851220777917903
20, 3, -0.3599967834282905
13, 7, 0.0937640266113897
22, 1, 0.5734677628852338
1, 10, 0.2640589563753651
19, 4, 0.7160752576214972
7, 9, -0.7947615042480849
2, 10, 0.6068399429201908
23, 0, -0.5556595167767859
11, 8, -0.3451832422146022
16, 6, -0.3357245238053189
18, 5, 0.5488839998790304
14, 7, -0.1764305229220944
