d = 19, symClass = D, D = 16.000000
[12.06999652115599, 12.0699965211586], 12.06999652115603
1, 0, 1
2, 0, -1.620651797797582
0, 1, 1.113940151545317
1, 1, -0.8529315963198898
3, 0, -0.1372481998559298
2, 1, 0.4041933406585871
4, 0, 1.626512249737201
3, 1, -0.4207138375239172
-1, 2, -1.409325428696075
0, 2, -1.805309109255584
1, 2, 0.3407344262295797
5, 0, 1.240862661231836
4, 1, 0.2408626612305229
2, 2, 1.382305124978875
5, 1, -0.950114751664854
3, 2, -0.9501147516631387
6, 0, 0.2224315418580992
-1, 3, 1.407339682887656
4, 2, -0.6550566641917597
0, 3, -0.1528862805580516
6, 1, 0.03316487346524498
7, 0, 0.72749230800311
1, 3, -0.272507691998607
5, 2, 0.450247191147926
2, 3, 0.4502471911478702
7, 1, -1.560740451189204
3, 3, 0.1170633261961352
8, 0, -1.01535820386647
6, 2, 0.6818306371491053
4, 3, -0.589486078553373
-2, 4, 2.284025789714381
8, 1, -0.3447492712728792
-1, 4, -0.3447492712615924
0, 4, 1.811837301970941
9, 0, -0.9811629316238104
7, 2, 0.07007537316511768
5, 3, -0.4686500359273779
1, 4, -0.4686500359291228
2, 4, -0.5522118604340301
9, 1, -1.569904181628516
6, 3, -0.05547480839960125
10, 0, -2.011006302753399
8, 2, -0.390354504956444
3, 4, 0.2587166313804121
4, 4, -1.387303689600598
10, 1, 0.3795577583863151
7, 3, 0.3795577583863934
9, 2, 0.3588401250318691
-2, 5, 0.3588401250324174
11, 0, 0.1633722566333178
-1, 5, -0.8366277433659141
5, 4, -0.845633562186395
0, 5, 0.2683065893559339
1, 5, 1.483211974926079
8, 3, 1.202058187632212
11, 1, -1.788147693832381
2, 5, 0.9392190087010923
10, 2, 1.539805180406626
6, 4, 1.539805180410394
12, 0, -0.2232358783165735
3, 5, 0.6140532916349809
9, 3, 0.05774221685929259
7, 4, -0.6511953396431853
12, 1, -0.2906231580846106
4, 5, -0.2906231580838574
11, 2, 0.8481210858554498
13, 0, 0.9862903716179967
-3, 6, 0.1934273781137451
-2, 6, -2.280807587196966
10, 3, -0.2054393741390929
5, 5, -1.058370970459078
-1, 6, -0.205439374139843
8, 4, 0.6574254198452573
0, 6, 0.2477754254327725
13, 1, -0.1700497314499764
1, 6, -0.1700497314492314
12, 2, -0.05374871180221164
6, 5, 0.3484119369641709
14, 0, -1.179011716848157
2, 6, 0.4416400809480966
9, 4, 0.7729188240795953
11, 3, -0.2475276557116546
3, 6, -0.046765186625745
7, 5, -0.5696399531014651
14, 1, 1.567692179639107
13, 2, 1.567692179638225
10, 4, -0.729693919791769
4, 6, -0.729693919790893
15, 0, -0.1703061665329417
12, 3, -0.03305796667748354
8, 5, -1.208107645678648
-3, 7, 1.826091916256571
5, 6, 0.03694368421222546
-2, 7, 0.0369436841637962
-1, 7, 0.9051059101722545
14, 2, 2.529416818137034
15, 1, -0.3035572597192336
11, 4, -0.3035572597161115
0, 7, 0.810382891831224
9, 5, 1.963864126153135
6, 6, -0.1897188900707246
13, 3, 0.1377225860141446
1, 7, 0.1377225860139673
16, 0, 0.01902984881269952
2, 7, -0.6967447257470222
7, 6, -0.6328483591153041
12, 4, -0.6842962103619149
15, 2, 0.09735508368255706
10, 5, 0.5015484243420248
3, 7, 0.09735508368292128
16, 1, -0.01221541723548
14, 3, 0.6734109635354285
17, 0, 0.1770001330857479
4, 7, -0.822999866913795
8, 6, 0.9553516729829672
13, 4, -1.200364482290943
11, 5, -1.200364482290216
-4, 8, -2.292285073633797
5, 7, -1.738571454730662
-3, 8, -1.738571454729914
16, 2, 0.558718526275917
-2, 8, 0.5587185262752287
17, 1, 0.4241204785248185
-1, 8, 1.299401841606828
15, 3, 0.130401539327096
9, 6, 0.1304015393279414
0, 8, -1.131048271508747
6, 7, 0.592922709432486
18, 0, 1.59012346910261
12, 5, -0.02828736846560872
1, 8, -0.0282873684644608
14, 4, -0.113567779500684
10, 6, 0.7595185232715421
2, 8, 0.7595185232711188
17, 2, 1.085362017066046
7, 7, 0.2324304207454694
18, 1, -0.2949259012683934
16, 3, 0.8531158653972271
3, 8, 1.729052339520693
13, 5, -0.8299517069336019
19, 0, 0.9861981639850194
15, 4, -0.6566522116765988
8, 7, -0.6566522116764446
11, 6, -1.279156550576281
4, 8, 0.5542087181730345
18, 2, 2.544268034330061
19, 1, -0.3840300554825657
17, 3, -0.3840300554824414
5, 8, -0.3840300554845776
-4, 9, -0.3840300554851088
-3, 9, -0.1931548380666773
9, 7, 0.8281781732389563
14, 5, -0.1433516880340497
-2, 9, -0.14335168803248
12, 6, 0.08990534797055753
-1, 9, 0.9109563295732968
20, 0, 2.018278318734588
16, 4, 0.3917660689918629
6, 8, -0.4192895737571585
0, 9, -1.092956784764027
10, 7, 0.0780597717946727
1, 9, 0.07805977182041809
19, 2, -0.6075890675257839
18, 3, -0.004551819200784624
20, 1, -0.1013342545249919
15, 5, -0.5220480920418704
7, 8, -0.1013342545189786
13, 6, 1.331204844477245
2, 9, 1.331204844479297
17, 4, -0.4802056913126202
21, 0, -0.09984700967940138
3, 9, 0.03740119017468253
11, 7, -0.9477689155247518
8, 8, 0.8660310936701145
4, 9, 0.4903618774432599
20, 2, -0.6151309635078029
14, 6, -0.6151309635093848
16, 5, 0.8945954570781278
19, 3, -1.821544651699934
21, 1, 1.200752619196256
12, 7, 0.5688373278679346
9, 8, 0.5688373278679358
5, 9, -0.3394538733029602
-5, 10, -1.748779302000303
18, 4, -0.5815548937636601
-4, 10, -0.5815548937636333
-3, 10, 1.157547685507708
22, 0, -0.2647695414204093
-2, 10, 1.355882256376569
-1, 10, -0.5150470945653922
15, 6, -0.06179561647830269
6, 9, -0.06179561647895587
17, 5, -0.4988471809339537
10, 8, 1.370477552852353
0, 10, -0.4348315564027028
21, 2, -0.4647608783842946
20, 3, 0.2881948435643054
13, 7, 0.2881948435639783
22, 1, 0.5027913019909029
1, 10, 0.5027913019915157
19, 4, 0.01340502099706546
7, 9, 0.01340502099850689
2, 10, -2.403770153689133
23, 0, 0.1160999492194709
11, 8, -0.883900050781512
16, 6, -1.948117762866308
18, 5, -0.1101457943831661
14, 7, 0.2940475462757435
3, 10, -0.1101457943840735
8, 9, 0.3455208940939635
22, 2, 2.897964774744496
21, 3, 0.2142088173783116
4, 10, -1.5221469749903
23, 1, -0.2491221940108091
20, 4, -1.545373282232397
12, 8, -1.545373282233113
9, 9, 0.8368648655222211
17, 6, 0.4224096624394647
5, 10, 0.4228046269027366
-5, 11, 0.08207020067231809
15, 7, 0.08207020067337208
