d = 19, symClass = D, r = 19.59123141682828, D = 16, Y = 0.1310901693296366
max of |f(z) - f(z^*)| for 100 points = 5.542677428138632e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -7.76547715020115e-11, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 2.515698760419127e-11, 
confident_r = 19.59123141
1, 0, 1
2, 0, -1.747626192263924
0, 1, -1.500898069434811
1, 1, -0.3945890412167326
3, 0, 1.726249582805561
2, 1, -1.286492858969539
4, 0, 2.054197307945461
3, 1, -0.8830097663884365
-1, 2, -1.993553065878246
0, 2, 2.623008778140287
1, 2, -0.7402709321701788
5, 0, 2.252695014941474
4, 1, 1.252695014942088
2, 2, 0.6895941435855137
5, 1, 0.5922379301410213
3, 2, 0.5922379301454029
6, 0, -3.01683898529773
-1, 3, -0.4110779827893253
4, 2, 2.248308616560545
0, 3, -2.59092466618233
6, 1, -0.4408605688745473
7, 0, 0.1557005114727812
1, 3, -0.8442994885325001
5, 2, 1.93089464845779
2, 3, 1.930894648453463
7, 1, -0.1151786245710937
3, 3, -0.6811591677895553
8, 0, -1.842342827288375
6, 2, 1.543170995794263
4, 3, 0.7258527548132561
-2, 4, 3.483985553607889
8, 1, 0.5076359837229472
-1, 4, 0.5076359837233017
0, 4, -3.083140773882828
9, 0, 1.979937622147111
7, 2, 1.208342584984372
5, 3, 1.32530765370225
1, 4, 1.325307653701931
2, 4, 1.293716870429133
9, 1, 2.992119947879936
6, 3, -2.220807761072253
10, 0, -3.936868811346034
8, 2, -2.189242619078483
3, 4, -0.2287980693450907
4, 4, -0.8105637461631781
10, 1, 1.111071212944149
7, 3, 1.111071212946546
9, 2, 0.3484259770976255
-2, 5, 0.348425977093625
11, 0, 1.655063876254261
-1, 5, 0.655063876247286
5, 4, -0.3792694601449579
0, 5, -1.880167529583105
1, 5, -0.6155758635886546
8, 3, 0.7866341928870334
11, 1, -1.143760389953554
2, 5, 1.819102311598502
10, 2, -1.035010518823041
6, 4, -1.035010518832323
12, 0, 3.546057245836697
3, 5, 0.5033649242851481
9, 3, -1.524295240842907
7, 4, 1.752354668172302
12, 1, 0.2921027973673539
4, 5, 0.2921027973678289
11, 2, -1.050303602070012
13, 0, 1.169041837343956
-3, 6, -3.441370148277773
-2, 6, 0.7184106498494741
10, 3, -0.4942997248623174
5, 5, -0.8888887660777584
-1, 6, -0.4942997248621562
8, 4, -2.642710167707589
0, 6, 4.527967808948648
13, 1, 1.135985758888555
1, 6, 1.13598575889506
12, 2, 0.7704594772668236
6, 5, -1.598917644656493
14, 0, -0.2721062919446996
2, 6, 1.475519900328787
9, 4, -0.161238661606504
11, 3, -0.1260782469619712
3, 6, -1.277892387820706
7, 5, 2.564691783234835
14, 1, 0.6169861508399614
13, 2, 0.6169861508437325
10, 4, -3.374482062201624
4, 6, -3.374482062197766
15, 0, 3.88871382972591
12, 3, 2.162464246916702
8, 5, 0.112043504329048
-3, 7, -1.779858861199557
5, 6, 0.6616867766548258
-2, 7, 0.661686776654393
-1, 7, 0.6680298025196745
14, 2, 0.20128918108537
15, 1, 1.267207472432865
11, 4, 1.267207472439599
0, 7, -0.2336905969902273
9, 5, -0.3885849348885385
6, 6, 1.19041160267199
13, 3, 0.9523532679307952
1, 7, 0.9523532679325608
16, 0, 1.16552927221935
2, 7, -1.656503881785502
7, 6, -0.7330985859931358
12, 4, -1.813876285056928
15, 2, -1.611583191240685
10, 5, -2.898076050211973
3, 7, -1.611583191240621
16, 1, 1.656301139281174
14, 3, 0.1361931107396916
17, 0, 0.7797062475534426
4, 7, -0.2202937524442785
