d = 19, symClass = D, r = 19.00621499008057, D = 16, Y = 0.1302219288357424
max of |f(z) - f(z^*)| for 100 points = 4.055933366942099e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 6.796702090028361e-12, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -4.376832229979755e-12, 
confident_r = 19.0062149
11, 8, -0.808055470598309
16, 6, -0.06236871014068317
18, 5, -0.2257721894203878
14, 7, -0.5055770344476009
3, 10, 0.2647894743116007
8, 9, 0.7919683804871032
22, 2, 0.5455674807556544
21, 3, -0.4847687112680341
4, 10, -1.18013909664569
23, 1, -0.5572389048184744
20, 4, 1.549865800638325
12, 8, -1.841326577305039
9, 9, 0.6748583264990332
17, 6, -0.3560302217081677
5, 10, -0.07799261247773119
-5, 11, -0.1257177853311696
15, 7, 0.1514385642524173
24, 0, 2.118408264085884
-4, 11, -0.2068944733647061
19, 5, 0.8461523808682513
-3, 11, 0.6797171357387454
-2, 11, 0.8054374611479359
13, 8, 0.4559144124451988
23, 2, -0.6391999318765668
22, 3, 0.8968529147312714
10, 9, 0.09788186935639473
-1, 11, -0.2537370172973081
6, 10, 1.031728299531
24, 1, -0.7141780320769603
21, 4, 0.6047854769598946
0, 11, -0.1816170661680487
18, 6, -0.8121608048674175
16, 7, -0.03754265124948446
1, 11, -0.1185330037855047
7, 10, 0.03828478238986899
25, 0, -0.06689216200018198
20, 5, 0.9287223642296857
11, 9, -1.050610941019704
14, 8, -1.115716773996897
2, 11, -0.3837478303972574
23, 3, 0.5257447521941556
24, 2, 0.5615681480651309
8, 10, -0.6844209450648886
3, 11, -0.6166108969479549
22, 4, 0.1247015147508461
17, 7, 0.08893707762611458
25, 1, -0.6802375954848582
19, 6, 0.7261848470738845
12, 9, 1.481939284074001
15, 8, -0.06934939092345116
4, 11, 0.05837218156868049
21, 5, 0.1728603424184724
9, 10, 0.5615853336629937
26, 0, -2.63067774880045
-6, 12, 0.1751561650878149
5, 11, -1.523023768045884
-5, 12, 1.61904641215173
-4, 12, -1.610725650780253
13, 9, 1.27365973162514
24, 3, -1.261192953728816
-3, 12, -0.5723467393403329
25, 2, -1.42322476186245
18, 7, 1.215514294413605
20, 6, -0.6311408394687398
10, 10, 1.032264985301903
-2, 12, 0.2907155269755659
23, 4, -0.3154849119251509
16, 8, -1.604740315916032
26, 1, -0.9035964958941333
6, 11, 0.4755499567097679
-1, 12, 1.015882369344181
22, 5, -0.42880966649884
0, 12, 0.4092689410742074
14, 9, -0.1681763643083122
27, 0, -0.3917551409576661
11, 10, -0.1010474083134812
7, 11, 0.6636218506564218
1, 12, 0.2536646061299975
19, 7, 0.5196223781920241
25, 3, 1.324172022619281
17, 8, -1.142582608300568
21, 6, -2.142624501401871
26, 2, 0.9835998530426071
2, 12, 0.2468590803627062
24, 4, -0.03903297806474631
8, 11, 0.2462720104439185
27, 1, -0.8532159755050446
12, 10, 0.4582078422291265
15, 9, 1.253861201538353
3, 12, -1.396805623015552
23, 5, -0.3611567951115554
28, 0, -0.8152537731068902
4, 12, 0.03145810287912037
20, 7, -0.4762274127588578
9, 11, 0.2798556009057039
18, 8, -0.7190758708508381
22, 6, -1.460236223835881
26, 3, 0.4686361730135841
13, 10, -0.4550032145669748
27, 2, -0.9878808516774213
-6, 13, -1.257321600757738
25, 4, -0.3734042363071509
16, 9, 0.2529426781407204
5, 12, 0.2368010160948159
-5, 13, -0.1379621733946176
-4, 13, -1.125839728616293
10, 11, 0.5769268829391828
-3, 13, -0.554978783785829
28, 1, -0.06066432983443874
24, 5, -0.3616984437681265
-2, 13, 0.8735543059937777
6, 12, 0.172509778900161
21, 7, 0.142370904866318
19, 8, -0.7523052749380111
-1, 13, 0.7413179757286227
14, 10, -0.1326846030900661
29, 0, 0.6816093057523865
0, 13, -0.2315063141691056
23, 6, 0.7193831551823089
11, 11, 0.6560148459785706
17, 9, -0.3242488117379827
7, 12, -0.9081831221038453
27, 3, 0.01541418678144521
1, 13, -0.8511861958515051
28, 2, 0.6334310141311502
26, 4, -1.071288124632478
29, 1, -0.829191107761069
25, 5, 0.03646907433672847
15, 10, 0.3039128439363126
2, 13, 0.5875906521652936
20, 8, -0.8417443324174442
8, 12, 0.2216840910210604
12, 11, 0.1949126768013189
