d = 19, symClass = D, r = 12.64761005043561, D = 16, Y = 0.09099196892507609
max of |f(z) - f(z^*)| for 100 points = 7.494005416219807e-13; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -1.009192729384267e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -3.661793090969923e-13, 
confident_r = 12.6476100504
1, 0, 1
2, 0, -0.7618132177476111
0, 1, 0.8759761686380039
1, 1, 0.2350657601021295
3, 0, -0.06989795850396165
2, 1, -0.185702742767402
4, 0, -0.4196406212654104
3, 1, -0.2659349653584915
-1, 2, 0.9532932493019035
0, 2, -0.6673302237002409
1, 2, -1.265557028520178
5, 0, 0.3872209541736614
4, 1, 0.1474475418696452
2, 2, -0.1790762030853251
5, 1, -0.4600384661453897
3, 2, 0.8718624739697355
6, 0, 0.05324918868144515
-1, 3, 1.127633575684449
4, 2, 0.1414708040125952
0, 3, -0.06122894588603189
6, 1, -0.01030658119709962
7, 0, -1.111475259759491
1, 3, 0.2219870829032913
5, 2, -1.069369419771168
2, 3, 0.7440270655411478
7, 1, 0.9605016072623428
3, 3, -0.01643061674479036
8, 0, 1.081500989731409
6, 2, 0.2025927716710376
4, 3, 1.091443965871302
-2, 4, -0.726231397707094
8, 1, -1.632168545291608
-1, 4, 1.544863832527332
0, 4, -0.367595183621006
9, 0, -0.9951142753972944
7, 2, 0.1930836139668413
5, 3, -0.5257370281247588
1, 4, 0.05983164400161285
2, 4, 0.9641180721401233
9, 1, 0.8350621681116684
6, 3, 0.01298024260844173
10, 0, -0.2949900410783871
8, 2, -0.1123274863204765
3, 4, -1.127858957468403
4, 4, -0.09864314160737683
10, 1, -1.474570602005952
7, 3, -0.742624992065725
9, 2, -0.5754641835145593
-2, 5, 0.450439773976114
11, 0, -2.128295211027299
-1, 5, 1.197266228370659
5, 4, -0.08087526224917768
0, 5, -0.5367798407841869
1, 5, -0.006731321267786097
8, 3, 0.2240866022464608
11, 1, 0.8861460841552963
2, 5, 0.628195180995475
