d = 19, symClass = D, r = 6.463133658510118, D = 16, Y = 0.07552230302882382
max of |f(z) - f(z^*)| for 100 points = 1.235955782163956e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 5.078160114635466e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -2.133848653329551e-13, 
confident_r = 6.46313365851012
1, 0, 1
2, 0, -1.444318626508075
0, 1, 0.5866316214415219
1, 1, 0.4325016619051999
3, 0, -1.306704380654032
2, 1, 0.1580870398775465
4, 0, 1.086056294878237
3, 1, 1.10511617250225
-1, 2, 0.4374245830651544
0, 2, -0.8472829777471316
1, 2, 0.5127128549683184
5, 0, -0.8292602780106324
4, 1, 0.5175335965618801
2, 2, -0.6246702062851647
5, 1, 1.396761274060424
3, 2, -0.8893229716595652
6, 0, 1.88729747631756
-1, 3, 1.099341576940868
4, 2, -0.2283280563045919
0, 3, -0.7665541095684092
6, 1, -0.07524318258281569
7, 0, -0.9264148749858846
1, 3, 0.3005302500872565
5, 2, -0.8856545105775633
2, 3, 1.071132223642169
7, 1, 0.4536292301763364
3, 3, -0.5651518162514431
8, 0, -0.1242927096205511
6, 2, -1.596139872400511
4, 3, -0.2396465686398964
-2, 4, -0.6317804730135619
8, 1, 1.021456042255804
-1, 4, -0.8847102273102616
0, 4, 0.637114965241425
9, 0, 0.7074763384203813
7, 2, 0.5536446432554888
5, 3, 0.7280115570653942
1, 4, 0.5685806272486531
2, 4, -0.7405207264795447
9, 1, 0.2566070924207837
6, 3, -0.2065730275328127
10, 0, 1.197716065754508
8, 2, -0.7474834133570665
3, 4, 0.03501229252529262
4, 4, 0.4697211524573598
10, 1, 0.3604562597530481
7, 3, 0.241090887135239
9, 2, 0.4003112898610771
-2, 5, 0.5556178725498242
11, 0, -0.7908053851783078
-1, 5, -0.1592115904671199
5, 4, 1.093673447289937
0, 5, -1.073101922928814
1, 5, -0.06445189962864876
8, 3, 0.1891868591340262
11, 1, 0.6352871599670834
2, 5, 0.7065574635010248
10, 2, -2.017368324909831
6, 4, 1.284465732950662
12, 0, -1.419154518154037
3, 5, -0.4553274706593459
9, 3, -1.444060143740608
7, 4, -0.5209788490620869
12, 1, 0.163610417590326
4, 5, 0.2798879061174121
11, 2, -0.3259935360675169
13, 0, -0.5773063457765333
-3, 6, -0.5715846188969548
-2, 6, -1.587799516470238
10, 3, -1.11725516721474
5, 5, -0.3586564483912034
-1, 6, 1.564923448424342
8, 4, 0.1716914247976053
0, 6, 1.107148378675626
13, 1, 0.2411723181611722
1, 6, 0.1082367707021033
12, 2, 0.1086751301221318
6, 5, -0.0790922544281575
14, 0, 1.338038259816298
2, 6, -0.4340614380302578
9, 4, -0.148195102460663
11, 3, 0.7545393284608486
3, 6, -0.6699641336044462
7, 5, 0.06915115750622396
14, 1, 0.639533583495792
13, 2, 0.6502834801023146
10, 4, 1.27916730627783
4, 6, -1.547056222059684
15, 0, 1.083598037979266
12, 3, -0.6762634177627459
8, 5, -0.852910380178695
-3, 7, 0.1622554265539471
5, 6, -1.188547622664035
-2, 7, 1.100267562261727
-1, 7, 0.2834418379643133
14, 2, -0.655185146672252
15, 1, -0.8124346876281057
11, 4, 1.165035783430451
0, 7, -0.5434642602406212
9, 5, 0.2807708274182876
6, 6, 0.8162592950179689
13, 3, 0.1308174443817152
1, 7, 0.03128907071636887
16, 0, -0.9065380192337412
2, 7, 0.8589748889948705
7, 6, -0.19556295443067
12, 4, 1.200218375718173
15, 2, 1.229728329027023
10, 5, -0.1310953026384911
3, 7, -1.066097620395203
16, 1, 1.297270297588265
14, 3, -1.414112985212381
17, 0, 1.21586623407572
4, 7, 0.2266972753776172
8, 6, 0.3461260028648682
13, 4, 0.4807029618359663
11, 5, 0.4702311562199989
-4, 8, 0.4750677219732824
5, 7, 1.495761652269853
-3, 8, -0.9635351506063106
16, 2, -1.475307987989622
-2, 8, 1.277803460365982
17, 1, 0.131962592602895
-1, 8, -0.5500684856848358
15, 3, -1.825154075541654
9, 6, 1.162082222885234
0, 8, -0.07291403377826566
6, 7, 0.4834049809955331
18, 0, -1.021821253394564
12, 5, 1.082259907048653
1, 8, -1.147345510077013
14, 4, -0.7996392707207106
10, 6, -1.051480652181939
2, 8, -0.8212115906060515
17, 2, 0.6606356382760646
7, 7, -0.8331776349500279
18, 1, -0.33652796640392
16, 3, -0.1391789684928232
3, 8, 0.1283000763866947
13, 5, -0.416083357390961
19, 0, -0.8086597341303733
15, 4, 0.9120480458760387
8, 7, -1.193216556144157
11, 6, -0.6216707663922908
4, 8, 0.5568350236031266
18, 2, -0.3706224032791668
19, 1, -0.2765423835395427
17, 3, -0.7614556067669405
5, 8, 1.203075317230327
-4, 9, -0.00463848863029086
-3, 9, -1.436514454423542
9, 7, 0.782574424126941
14, 5, 0.5625526867399189
-2, 9, 0.5706618490104087
12, 6, 0.2983572713994221
-1, 9, -0.6740080326101691
20, 0, -0.9006233450254185
16, 4, 0.5620706203571081
6, 8, -0.05056890625136302
0, 9, 0.4150279915391462
10, 7, -0.4533988693100788
1, 9, 1.102969778861996
19, 2, 1.395284053794053
18, 3, 0.09832059629521757
20, 1, 0.4784075225071928
15, 5, -0.916428944443636
7, 8, 0.6654619722400589
13, 6, -1.001643011924049
2, 9, 1.394033803804156
17, 4, 0.2242732068168001
21, 0, 1.210550375447016
3, 9, -0.3927041943080378
11, 7, -1.12896068111045
8, 8, -0.05375680347358942
4, 9, -0.6207676293707135
20, 2, -0.5206136900026522
14, 6, -0.3482120589707433
16, 5, 0.767450718872854
19, 3, -0.1798695330943886
