d = 43, symClass = D, D = 10.007812, Y = 0.104434982429221
[14.77769466160091, 14.77769466161339], 14.77769466160722
1, 0, 1
2, 0, -1.8308062703943
3, 0, 0.4272401898058953
0, 1, 0.2883345735111238
1, 1, -0.0004144537368524272
4, 0, 2.351851597119653
2, 1, -0.6375918579200814
3, 1, -0.4659817828589924
5, 0, 0.2592065740902528
4, 1, 0.4144396460372225
6, 0, -0.7821940183880461
5, 1, 0.208680370930198
-1, 2, -0.2398038780981731
0, 2, -0.5278847451764678
1, 2, -0.792551474024622
7, 0, -0.007972329203111717
2, 2, 0.0007587842077193752
6, 1, 0.03875456907310407
3, 2, -1.082307285209388
8, 0, -2.474978379685097
7, 1, -0.1088966396033983
4, 2, 1.167307170374503
5, 2, -0.05951132799492283
9, 0, -0.8174658205887272
8, 1, -0.212726291936166
6, 2, 0.8531223701437349
-1, 3, -0.8622987860339361
0, 3, 0.1231881175544429
10, 0, -0.4745570220056432
9, 1, 0.7868601084826489
1, 3, 0.01665892328531402
7, 2, 0.874294188692028
2, 3, -1.434623996065966
3, 3, -0.0001770714661105921
11, 0, -1.570496028445663
10, 1, 0.7367696813831351
8, 2, -0.7587587018040111
4, 3, -0.767730665168262
5, 3, -0.174560245023718
11, 1, 0.2572116240255661
9, 2, -0.2574506263943702
12, 0, 1.00480552156117
6, 3, -0.2724048666279916
10, 2, -0.382053331473408
12, 1, 0.7645253431439121
13, 0, -0.04004457486867413
7, 3, -0.9599550817388546
-2, 4, 0.4390344422360651
-1, 4, -0.2717528685246425
0, 4, 0.678120127407649
1, 4, -0.07873014516099516
11, 2, -0.4036584813268712
8, 3, 0.03597892938051268
2, 4, 1.451008206913043
13, 1, 0.6088906766487094
14, 0, 0.01459579044514426
3, 4, -1.084104403575772
9, 3, -0.1990861454899014
4, 4, -0.0009747333490503938
12, 2, -0.07095210786408401
14, 1, 0.03447147967003062
5, 4, -0.03394297478303104
15, 0, 0.1107434652892144
10, 3, -0.3165547286915227
6, 4, 1.981494963750909
13, 2, 0.4449422085343605
15, 1, 0.7061301908915842
11, 3, -0.03402606340149739
7, 4, -0.2346912535749578
16, 0, 2.179354337134006
14, 2, 0.1993686502007964
-2, 5, -0.32357885420545
-1, 5, 0.07735482925083954
8, 4, -1.499521428533296
0, 5, 0.07473821684733876
12, 3, 0.1770652735465617
1, 5, 0.07704829823560619
16, 1, 1.562871277657338
17, 0, 0.3773027055607805
2, 5, -0.56425595062242
9, 4, 0.1387742479448565
15, 2, -0.01542019141458107
3, 5, 0.01580644864116445
13, 3, 0.3978558428885665
4, 5, -0.1601377534871432
10, 4, 0.1089537127746727
17, 1, 1.128054697193875
18, 0, 1.496621548969036
5, 5, -0.0001074295230327602
16, 2, 0.3894606286293538
14, 3, 0.4344759799270317
11, 4, 1.259274306493921
6, 5, -1.020279749933472
18, 1, 0.7100297168237973
7, 5, -0.07707361647170288
19, 0, -0.6810861415360534
17, 2, -0.8210370612785104
12, 4, -1.095920000616971
15, 3, 0.08915664105698094
8, 5, -0.5844441285608341
-3, 6, -0.1024538544436191
-2, 6, 1.578702023679815
-1, 6, 0.2837689011638314
19, 1, 0.3104434818071083
0, 6, -0.2255335782420709
13, 4, 0.03273633697795595
20, 0, 0.6096153960232369
9, 5, -1.037317415185883
1, 6, 0.1771953582834774
