d = 43, symClass = D, D = 12.902344
[8.090001339207468, 8.090001339215693], 8.090001339211579
1, 0, 1
2, 0, 0.8838923496433576
3, 0, -1.389387140717577
0, 1, -0.8602150707286866
1, 1, 0.04148336304308474
4, 0, -0.2187343142418408
2, 1, -0.1519856308611598
3, 1, -0.4419353687066719
5, 0, -1.505959407186136
4, 1, 0.2492008219761343
6, 0, -1.228068664373021
5, 1, 0.7035971756148094
-1, 2, -1.152173593868438
0, 2, -0.7603375200651036
1, 2, -0.5887067958948833
7, 0, 0.2301122390977268
2, 2, 0.03666682723132032
6, 1, 0.2471630774231162
3, 2, 0.9188530094208988
8, 0, -1.077229936606161
7, 1, 0.6413969077170187
4, 2, -0.1343389363739564
5, 2, -0.8154585131134811
9, 0, 0.9303966267906965
8, 1, -0.6616446657779023
6, 2, -0.3906232914366154
-1, 3, 0.1078246488733937
0, 3, 1.195171757521684
10, 0, -1.331105998885139
9, 1, 0.5486319252140913
1, 3, -0.16201918450064
7, 2, -0.1631487693913805
2, 3, 0.3713828569990075
3, 3, -0.05763645116599131
11, 0, -0.1361857697363956
10, 1, 0.6161257055536927
8, 2, 0.2202667000695426
4, 3, 0.1119699186602456
5, 3, 0.4477293786378783
11, 1, 0.3294664178659641
9, 2, -0.4008356460141835
12, 0, 0.3039066434411786
6, 3, 0.2111668810920131
10, 2, 0.6219041607566734
12, 1, 0.8851835150168454
13, 0, -0.1504612945576588
7, 3, -0.8460969666238447
-2, 4, -1.01839742508136
-1, 4, -1.221118442189225
0, 4, 0.1881585535963112
1, 4, -0.5646745612804572
11, 2, 0.2718064959940294
8, 3, -0.01032583559223754
2, 4, -0.520353433074231
13, 1, 0.9533808967703603
14, 0, 0.2033944476979426
3, 4, 0.9190677220535867
9, 3, 0.6140193183088423
4, 4, -0.009073834967478728
12, 2, 0.2184655532484647
14, 1, -0.06509631342547216
5, 4, 0.0524865632209856
15, 0, 2.09236063478631
10, 3, 0.3420045153667524
6, 4, 0.8121671454739386
13, 2, -0.6495398000244821
15, 1, 1.65606693249098
11, 3, -0.3016395193549474
7, 4, 1.061958448253391
16, 0, -0.7334209855314976
14, 2, 0.5669258198145649
-2, 5, 0.02159034253498461
-1, 5, 0.1490999672235373
8, 4, 0.03324447273997061
0, 5, 1.295448977965843
12, 3, -0.3462364175094239
1, 5, -0.7273853606829302
16, 1, 0.9581436791969068
17, 0, 0.0003871594485910819
2, 5, -0.9541878954724494
9, 4, 0.03940234058938128
15, 2, 0.2658169772026528
3, 5, -0.3024829078858218
13, 3, 0.8621368870688811
4, 5, -0.6424476814240453
10, 4, -0.7207775411923354
17, 1, 0.4827915441690906
18, 0, 0.8223704605538235
5, 5, -0.06247226081611715
16, 2, -0.5848226582631919
14, 3, 0.4284740892897914
11, 4, 0.9187299350399554
6, 5, -1.347462540443748
18, 1, 0.8387107194824482
7, 5, -0.6674131889465456
19, 0, -0.5682595056757452
17, 2, -0.4559225276949779
12, 4, 0.09666642981303139
15, 3, -0.9775688680441461
8, 5, -0.6265989624153881
-3, 6, 1.600815175195002
-2, 6, 0.09530538224218138
-1, 6, -0.04260577305147065
19, 1, 0.176941424676936
0, 6, 1.056403172983031
13, 4, -0.5859652658583157
20, 0, 0.3294049982070511
9, 5, 0.296614395114343
1, 6, 0.4825725235085592
16, 3, -0.4618971471713249
18, 2, 0.4849315614667714
2, 6, -0.1432075176756027
3, 6, 0.8179416518691894
10, 5, 0.2288841905523158
14, 4, -0.1442059491188745
20, 1, 1.315484315871917
4, 6, 0.3282624660905211
17, 3, 0.5472716387756696
21, 0, -0.3197149859243411
19, 2, -1.015871900722339
11, 5, -1.331128149874165
5, 6, 0.1206383615022007
15, 4, -0.830900922019014
6, 6, -0.05094441824575276
21, 1, 0.9911170895413252
18, 3, -0.3434052014317566
12, 5, -0.8895484591617869
22, 0, -0.120373560000025
20, 2, 0.5445887975577396
7, 6, 0.4934749083992572
16, 4, -0.05450877090362448
8, 6, 0.09896935449383218
13, 5, -0.6262179760967621
22, 1, 1.198005485351137
19, 3, -0.1851765692134771
21, 2, -0.2203100237321567
-3, 7, 0.1445601354534225
23, 0, -0.3352493247996328
-2, 7, -0.2741369349735284
9, 6, -1.276642555498758
17, 4, 0.3317103004807867
-1, 7, -0.2733351463367064
0, 7, -0.1979460160311221
14, 5, 0.8254381495533778
1, 7, 0.2075316156432554
10, 6, 0.3957445724885408
2, 7, -0.8213103423170858
20, 3, -0.04779603548306272
23, 1, 0.1224937150303551
3, 7, 0.2710542178587026
22, 2, 0.2912128462160458
18, 4, -0.3542955609766497
15, 5, 0.6655367258714603
24, 0, 1.496689421517238
11, 6, -0.7933511117014412
4, 7, 0.3681243034483795
5, 7, 1.128390907015758
21, 3, -0.8911486156771752
24, 1, -0.3126524611274348
16, 5, 0.2638093856461918
12, 6, 0.1866487906944046
19, 4, 0.3526905026230944
6, 7, 0.4640688974099408
23, 2, 0.2361309893740175
25, 0, 1.267913736090011
7, 7, 0.009545829555648483
13, 6, -0.2543992388189483
22, 3, -1.279902344442474
17, 5, -0.3009200685335955
20, 4, -0.1539008457101554
8, 7, -0.0004271864108269718
25, 1, 0.7271800265998782
24, 2, 0.7824069369536337
26, 0, -0.132991587176875
14, 6, -0.7478586358550008
9, 7, 1.318452511981762
-4, 8, 0.2520199009425877
-3, 8, -0.2317779857068562
18, 5, 0.2522842970502399
-2, 8, -1.07933724905893
23, 3, 0.009934762238103079
-1, 8, -0.2238080834540641
21, 4, -0.3586265319939751
0, 8, 0.9266494261081528
10, 7, -0.08286408356559974
15, 6, 1.132987571908517
1, 8, -0.9918732860507398
26, 1, 0.7716119717665306
25, 2, -0.1786660828980595
2, 8, -0.4991115247540647
27, 0, 0.09670603168746758
19, 5, 0.1751138305256469
11, 7, 0.1492418783122188
3, 8, -1.252720450985953
24, 3, 0.9192805903563506
22, 4, 0.2402476823924445
16, 6, -0.009126927083640201
4, 8, 0.1287703772898483
27, 1, 0.2421198792275959
12, 7, -0.1658856532820447
5, 8, -0.461276876444273
26, 2, 0.8426860809515075
20, 5, -0.37528632213313
28, 0, -0.05033344281751855
17, 6, -1.340928578389729
6, 8, 0.8123569283268557
23, 4, 0.5106948321946099
25, 3, -0.02187520100719173
13, 7, 0.2008251485398687
7, 8, 0.5575218864394645
21, 5, -0.6754361606411433
28, 1, 0.07512294073582694
27, 2, -0.9265168032993295
18, 6, 0.5427269779863331
8, 8, -0.04468712054083102
14, 7, -0.03497375382835451
29, 0, -0.4876587202450268
24, 4, -0.05406304624607378
26, 3, -1.107574110279277
9, 8, 0.8548497919630365
22, 5, 0.9621265825709432
15, 7, 0.4408128224969836
-4, 9, 0.3187517046137262
19, 6, -0.2655371030591435
-3, 9, -0.1498101805971812
-2, 9, -0.04995186741784186
29, 1, 0.269463642968176
-1, 9, -0.3803866394638556
28, 2, -0.05753813342684987
10, 8, 0.04639247168992033
0, 9, -0.8003412001204895
30, 0, 1.849421557782447
1, 9, -0.1310673822922353
25, 4, 0.05593690979695864
16, 7, 0.04450748483170328
27, 3, -0.7622621418796425
2, 9, -0.1069274428451954
11, 8, 1.245240868783778
20, 6, 0.3022951746759406
23, 5, 0.21496150179654
