d = 19, symClass = C, r = 13.23757546954411, D = 16, Y = 0.1081169529074235
max of |f(z) - f(z^*)| for 100 points = 1.246558412049126e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 1.548761119352093e-14, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 2.338407245616736e-15, 
confident_r = 13.2375754
2, 10, 0.4235480076381586
23, 0, 0.3980608023475726
11, 8, 0.3999260591143732
16, 6, 0.04145739649421691
18, 5, -0.3115053564665858
14, 7, -0.05170619189613935
3, 10, -0.2886953491121469
8, 9, 0.3528779700500137
22, 2, 0.0135001240716679
21, 3, -0.04087970821041157
4, 10, 0.3445961889678626
23, 1, 1.600099434707698
20, 4, 0.8976579135937243
12, 8, 0.7290713040637524
9, 9, 0.02248346317575773
17, 6, 0.1184221836221487
5, 10, 0.414177154387561
-5, 11, 0.05879327605147844
15, 7, -1.202841918035138
24, 0, 0.5323533297008858
-4, 11, 0.258299849008773
19, 5, 0.3933839388246888
-3, 11, -0.283505200598598
-2, 11, 0.3401676504055747
13, 8, -0.4835955500065633
23, 2, 0.04757070454846155
22, 3, 1.665942464520836
10, 9, 1.952401095560642
-1, 11, -0.04157974647965525
6, 10, -0.18834724835422
24, 1, 1.730373532337635
21, 4, -1.523046524237962
0, 11, -2.736366007315295
18, 6, 0.2796469767998659
16, 7, 1.380033409526511
1, 11, 0.9903062356049059
7, 10, 0.5809630382587226
25, 0, -2.442161380698298
20, 5, 0.06276501926368376
11, 9, 2.143915289955139
14, 8, 0.2670445959458275
2, 11, -0.1092624972681661
23, 3, 0.01616296759285599
24, 2, -0.1372743170722139
8, 10, -0.09793780405956823
3, 11, -0.8791084329040052
22, 4, 0.05652302783991756
17, 7, -0.8209111820691906
25, 1, 1.18370733422941
19, 6, -1.690491097726487
12, 9, -0.5231239598994438
15, 8, 0.132981845711476
4, 11, -0.1483482086102337
21, 5, -0.7190201485123572
9, 10, 0.7229196431792383
26, 0, 0.2480453583573525
-6, 12, -1.244971750043696e-15
5, 11, -0.500083440916978
-5, 12, 0.5916953355271575
-4, 12, -0.9690599953188906
13, 9, -0.1031261600175882
24, 3, -1.513219257148149
-3, 12, -1.519167912556385
25, 2, 1.267856712401323
18, 7, -1.070574370092301
20, 6, -0.641170668078489
10, 10, -0.01632273110773133
-2, 12, 0.6908917398734673
23, 4, -1.004739744537324
16, 8, -0.02539045728238458
26, 1, -0.3419637477605452
6, 11, -0.3915717513445569
-1, 12, -0.5444764737077848
22, 5, -0.9561514164820578
0, 12, 0.8517482018445884
14, 9, 0.8521514445632709
27, 0, 1.084510854569573
11, 10, -1.196400532237766
7, 11, 0.9626543080328162
1, 12, 0.390838726606748
19, 7, 0.01506181730031903
25, 3, 0.237463274983517
17, 8, 1.515588436996784
21, 6, 0.5551390941781398
26, 2, -0.3834753987935587
2, 12, 0.3568000152749555
24, 4, 0.4173418649553143
8, 11, -1.08652270715488
27, 1, -0.4624053378786941
12, 10, 0.2138340909757392
15, 9, 0.4504138055122485
3, 12, -1.447271669863465
23, 5, 0.5382277600238559
28, 0, 1.128364025437281
4, 12, 0.2488869395995028
20, 7, 1.177812881168517
9, 11, -0.6343527885742103
18, 8, 0.4195355729195036
22, 6, -0.4286030270256324
26, 3, 0.9838050336580291
13, 10, -0.05397202235636722
27, 2, -0.6998976285730417
-6, 13, -0.7497981582256504
25, 4, -0.9544427594131573
16, 9, -0.2898364390413217
5, 12, 0.1999587674874589
-5, 13, -1.131502818602027
-4, 13, -0.0906422146986833
10, 11, 0.2411605508599775
-3, 13, -0.1424049365395208
28, 1, -0.0182041581202268
24, 5, -0.3849961774045572
-2, 13, 1.395843522772626
6, 12, -0.1987394154184471
21, 7, 1.256991219571453
19, 8, 0.1396187410537693
-1, 13, -0.4148985790482499
14, 10, -0.05765265614896976
29, 0, -0.0504404219646137
0, 13, 0.8416183846788726
23, 6, 0.0206652718906725
11, 11, 0.2085251563669323
17, 9, 0.2685926047880483
7, 12, 0.3706110367561294
27, 3, -0.07763529976916744
1, 13, 0.005218322497689336
28, 2, 0.4398591114834972
26, 4, -0.3536647133811204
29, 1, 2.275582916044339
25, 5, -1.406833857375999
15, 10, -1.48499750347288
2, 13, 2.048941645864078
20, 8, -1.17172798992128
8, 12, -1.090480160227446
12, 11, 1.090678498955198
22, 7, -0.699343670800614
18, 9, -0.01083557343307233
3, 13, 0.08082208679812318
30, 0, -0.1649342958966829
24, 6, 0.2512052031487844
9, 12, 0.2506339499182709
28, 3, -0.4971345693034075
4, 13, 0.4441801322027631
16, 10, 0.3090306878378614
27, 4, -0.463040877513225
13, 11, -0.2440121818449356
29, 2, -0.3468414040332291
21, 8, 0.6745925282489992
26, 5, -0.02143879634938312
-7, 14, -5.968997882111531e-15
-6, 14, 0.1809210141262094
30, 1, -0.02564803011743401
23, 7, -2.44689432553412
5, 13, -2.584948837301242
-5, 14, -0.0173167147250076
19, 9, -0.8578833546432131
10, 12, -0.3622133469731201
-4, 14, -0.0204690643124982
-3, 14, 0.04392164336942436
25, 6, 0.910455770448743
14, 11, -0.5406232050098507
-2, 14, 0.03079618740594308
17, 10, -0.7651029768606176
6, 13, 0.7581216795495733
31, 0, -0.1937871388618395
-1, 14, 0.7627373000041686
29, 3, 0.04852166018045884
11, 12, 0.2267221296449533
28, 4, -0.04254857434030968
30, 2, -0.05114669556654761
22, 8, 0.1526566986750713
0, 14, -0.4619857086401624
20, 9, 1.612899110578905
7, 13, -1.23407092372526
27, 5, 0.8188396004343871
24, 7, -0.7155567364110135
15, 11, -1.297998660909877
1, 14, 1.610503152327612
31, 1, 0.1211800979772397
18, 10, -0.05334765838956385
12, 12, -0.06490759149180454
26, 6, 0.1730274891693225
2, 14, 0.1540698369636095
8, 13, 1.12115711507079
32, 0, 0.8468931580439193
3, 14, -0.4265829333191032
23, 8, 0.2474141513503011
30, 3, -0.4540879334687326
21, 9, 0.8945585147782359
29, 4, -0.378069055369108
16, 11, 0.2832713072215502
31, 2, 1.271608582825637
9, 13, 1.174208875128413
25, 7, -0.1919127787885273
13, 12, 0.1993183707231139
28, 5, 0.7311045592430085
19, 10, 1.138431033720621
4, 14, 0.2379451086214403
32, 1, -0.2589119577610439
-7, 15, 0.1871938117628505
27, 6, -0.7677032849675045
-6, 15, 0.6230898964697396
-5, 15, 0.6366995165789026
10, 13, -0.6772752503121361
5, 14, 1.262190772051452
17, 11, -0.5596822456543296
-4, 15, -0.101131152786371
14, 12, -0.3710262367041006
22, 9, 0.3792007437536691
24, 8, 0.6172487412916049
33, 0, 2.107058531755911
-3, 15, -1.25260043233744
31, 3, 0.3100633455471122
-2, 15, 0.4481596852310533
30, 4, 0.9142339639426139
20, 10, 0.007866499485785328
6, 14, -0.9381963010740076
26, 7, -1.073032618238624
32, 2, 0.002981777158345369
11, 13, 0.1928129374837663
29, 5, 0.4980910086266205
-1, 15, 0.5219988542016263
0, 15, 0.3949052964439664
15, 12, 1.145057100783884
33, 1, -0.1362246555562873
18, 11, 0.2578595190612494
7, 14, -0.8933180791811836
28, 6, -0.1017375619603579
23, 9, 0.05427595074229574
1, 15, -0.08350561264536484
25, 8, 1.379270550333312
12, 13, -0.7178129027614736
21, 10, 0.2382343599588589
34, 0, 0.154480526224337
8, 14, 0.1658652824240397
2, 15, -0.05150519360403909
