d = 19, symClass = C, r = 24.62833458569262, D = 16, Y = 0.1400295364631172
max of |f(z) - f(z^*)| for 100 points = 1.002731231380949e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -3.498312750593868e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -3.633759959598137e-13, 
confident_r = 24.628334585
7, 9, 0.02859635176394686
2, 10, -0.1765514684804634
23, 0, -0.1957337756153641
11, 8, 0.185675264138764
16, 6, 0.2385295593499961
18, 5, -0.5338158097459278
14, 7, -0.05142028847865047
3, 10, -0.07536409635331243
8, 9, -0.5726559712684055
22, 2, 0.2998699386617396
21, 3, 0.1540841946775528
4, 10, -0.5446290610913064
23, 1, 0.2081250921203953
20, 4, -0.5059137605026078
12, 8, -0.08729559864552949
9, 9, 0.3305228654247716
17, 6, 0.2807665530583637
5, 10, -0.3858027633647736
-5, 11, -0.6363967392838612
15, 7, -1.058839320468665
24, 0, 0.2995017258273621
-4, 11, 0.01438826158174297
19, 5, 0.238772642073963
-3, 11, 0.6176257552099818
-2, 11, -1.699497854336234
13, 8, 0.2813399225670095
23, 2, -1.118636551176808
22, 3, -0.3662407968285674
10, 9, 0.7140811449059747
-1, 11, 0.2964346181223839
6, 10, 1.20362508575082
24, 1, -0.8264459155415658
21, 4, -0.3381740473093983
0, 11, -0.06684332045464041
18, 6, -0.2086029900594049
16, 7, 0.2136880732710122
1, 11, 0.06187262661180147
7, 10, -0.5495829647478154
25, 0, -1.278358030577063
20, 5, -0.430241988896698
11, 9, 0.1870522693144097
14, 8, -0.08379575849127624
2, 11, -0.9677063833532886
23, 3, -0.05613278133598407
24, 2, -0.816747224699129
8, 10, -0.0166391456156159
3, 11, 0.1007809194285263
22, 4, -1.381306927583465
17, 7, -0.801130189984448
25, 1, -0.6495119231580956
19, 6, -0.4877872545387075
12, 9, 0.1380267294145291
15, 8, -0.1237503524219282
4, 11, -0.3422481891800787
21, 5, 0.46805772719683
9, 10, -0.2356706255597783
26, 0, -1.109303286633864
-6, 12, -1.117246635676217e-14
5, 11, -0.72056916236605
-5, 12, 0.9952560107585595
-4, 12, -0.3270472192386081
13, 9, 0.1168306132205004
24, 3, -0.3488105834884747
-3, 12, 0.001073144767947663
25, 2, -0.8006835056811857
18, 7, -0.3017924164249214
20, 6, -0.426157494146096
10, 10, 0.4990113463321218
-2, 12, 0.9725601153885232
23, 4, 0.8639705433334152
16, 8, 0.2258516460642764
26, 1, -0.6740690010442488
6, 11, -0.1988755674719516
-1, 12, 1.369727899289296
22, 5, 1.042341989649359
0, 12, -0.238959305698005
14, 9, 0.1873844314083674
27, 0, 1.019541378694692
11, 10, -0.527562770910318
7, 11, -0.2660385132638159
1, 12, 1.048863831563501
19, 7, 0.7614247850912674
25, 3, 0.8951157042909786
17, 8, -0.2074288952982397
21, 6, 0.4888568749788129
26, 2, -0.9797407790258813
2, 12, 0.6651293787177774
24, 4, -0.2307115414855823
8, 11, -0.8975725225421078
27, 1, 0.7247231599370753
12, 10, -0.9436106705249973
15, 9, -0.8077633866342444
3, 12, -0.61667888459867
23, 5, 0.9488817255562212
28, 0, 0.06745641705826173
4, 12, 0.300713112414933
20, 7, 1.527096826312415
9, 11, 1.603855413422597
18, 8, -0.2783799004670232
22, 6, 0.4046281268409024
26, 3, 0.1794157479910009
13, 10, -0.3639049014475429
27, 2, 0.1599613569183178
-6, 13, -0.04820815498312054
25, 4, 0.1397641616992479
16, 9, 0.1550059511549796
5, 12, 0.2926009393452245
-5, 13, -1.040757697194941
-4, 13, -0.9807166957259152
10, 11, -0.8619152202443884
-3, 13, 0.403389492502918
28, 1, -0.14819991263285
24, 5, 0.7606970022675978
-2, 13, 0.6725558151590388
6, 12, -0.4567247398273926
21, 7, 0.0269708597974529
19, 8, -0.4416295423455958
-1, 13, -0.6820956550745162
14, 10, -0.3071688750143599
29, 0, -1.364337216481015
0, 13, -0.5080719745966703
23, 6, -0.02775416469842185
11, 11, 0.06419727277016757
17, 9, -0.4966973904036746
7, 12, 1.065624466815069
27, 3, -0.2660053913178136
1, 13, -0.2697575752722242
28, 2, 0.08878276872396258
26, 4, 0.8599214866881939
29, 1, 0.5095683949279
25, 5, 0.4150178757563001
15, 10, -0.7010127262164869
2, 13, -0.4480516629623745
20, 8, 0.2017585702178728
8, 12, 0.5621528376321018
12, 11, -0.5581209818731341
22, 7, 0.1314405707396583
18, 9, 0.2845517868109346
3, 13, 0.1014616210731765
30, 0, 0.5697001024781708
24, 6, 0.3119023561326876
9, 12, -0.2712541005264762
28, 3, 0.6125786987551826
4, 13, 0.1247067348995124
16, 10, 0.8248256526389954
27, 4, -0.1784128983647615
13, 11, -0.3337355632730237
29, 2, 0.6925977474722691
21, 8, 0.6436952896974317
26, 5, -0.2098484206136918
-7, 14, 1.86255460202871e-15
-6, 14, -0.06658556711132113
30, 1, -0.07972787682673549
23, 7, -0.688999661883072
5, 13, 0.2410647028170331
-5, 14, -1.138526809332712
19, 9, 0.1656345042629827
10, 12, -0.5967494281049269
-4, 14, -0.05275886082607213
-3, 14, 0.2334178102784892
25, 6, -0.7929297044737381
14, 11, 0.07143650159708827
-2, 14, 0.5671759148836858
17, 10, -0.5182416895373764
6, 13, 0.2544285454181483
31, 0, 0.3660862177513395
-1, 14, 1.182932196972371
29, 3, -0.008662390105447584
11, 12, -0.4878044662554764
28, 4, -0.1524301176702929
30, 2, 1.026197114756019
22, 8, 0.3171511105647166
0, 14, 0.07952713233531322
20, 9, -0.4569421100615507
7, 13, -0.2019405655379193
27, 5, -0.0274023761913923
24, 7, 0.5451905597873008
15, 11, 1.538000503858227
1, 14, 1.167353064408078
31, 1, 0.04247842580980968
18, 10, -1.062170570559848
12, 12, 0.2294999055165052
26, 6, 0.1921887496519751
2, 14, 0.881013056108225
8, 13, -0.03460903688482062
32, 0, -1.108706300903988
3, 14, 0.09075623557866681
23, 8, 0.2273011756635245
30, 3, 0.2555069070700884
21, 9, 0.6738758837200858
29, 4, 0.5881215170042299
16, 11, -0.7100127028082505
31, 2, -0.3746102030423196
9, 13, 0.684289263941118
25, 7, -0.3412787614757441
13, 12, -0.05990594171712312
28, 5, 0.7634515975622809
19, 10, -1.486094177068272
4, 14, 1.213506423033709
32, 1, 1.514335983927716
-7, 15, 0.8313096178295408
27, 6, -0.2289672239988929
-6, 15, 0.4124874892387218
-5, 15, 0.3571147190640455
10, 13, 0.6300310275890845
5, 14, 0.2390010038930683
17, 11, -0.3792102269860416
-4, 15, -0.02471859775971325
14, 12, -1.368155942048189
22, 9, -1.002264181033964
24, 8, -0.1184632226158912
33, 0, 0.07329130518807961
-3, 15, 0.2676863018281349
31, 3, 0.7418250807798514
-2, 15, 0.6681050453195778
30, 4, 1.135809293547426
20, 10, 0.4296058914249422
6, 14, -0.6654035865414506
26, 7, -1.09226579747127
32, 2, 0.2313972647185026
11, 13, -1.50934416798626
29, 5, 0.3575212821050426
-1, 15, 0.7666219972079329
0, 15, 0.6370624164994555
15, 12, 0.5466371146876771
33, 1, 0.6298330393653782
18, 11, 0.1033457500809008
7, 14, 0.05905120976744158
28, 6, -1.909405551382693
23, 9, 0.5043666618791837
1, 15, 0.7108499256387276
25, 8, -0.4690487087660282
12, 13, -1.22460546783202
21, 10, -0.8548172126697788
34, 0, -1.434597221659843
8, 14, 0.3208266578030318
2, 15, 0.242418178747668
27, 7, -0.5498893765071047
32, 3, 0.1867090132480091
31, 4, 0.2477027215874732
16, 12, -0.1365450275473791
33, 2, -0.1595575554751647
30, 5, 0.2519222988976911
19, 11, 0.4354049995764221
3, 15, 0.08866265144206216
13, 13, 0.4879595286173674
9, 14, 0.8630578622237155
34, 1, -0.3410679229910021
29, 6, -0.8606123802927517
24, 9, -0.1197875234762038
4, 15, 0.1671614946883323
26, 8, 0.583916486293384
22, 10, -0.1566960728053566
17, 12, 1.015454076925949
-8, 16, -6.87320032103847e-15
-7, 16, 0.2712031571729754
10, 14, -0.9556281499034907
-6, 16, -0.5962159347698542
14, 13, 0.4051171551928739
35, 0, -0.07365810809502195
28, 7, -0.04032672166131629
20, 11, 0.4354949071288278
5, 15, -0.3283595528167847
-5, 16, 0.7950388767954149
32, 4, 0.3450661399583256
-4, 16, -0.001061624675706425
33, 3, -0.150592142187465
31, 5, 0.04847859435939252
-3, 16, -0.1576672217619622
34, 2, 0.4676375412762149
6, 15, 0.273508099455895
-2, 16, 0.1330712373900503
25, 9, -1.290545817587326
11, 14, -0.3175763769556804
23, 10, 0.9141767721067341
30, 6, 0.6539777684444826
18, 12, 0.1128440956814432
35, 1, 1.088295753261815
27, 8, 0.2812702112724554
15, 13, 0.1040808606316341
-1, 16, -0.07196786960911752
21, 11, 0.7473935968033086
7, 15, -0.5330865847740142
0, 16, -0.7214007406001397
29, 7, 0.01105105205684283
12, 14, -0.5666198133928562
36, 0, -0.3732931995029746
1, 16, 0.5160180790886383
33, 4, 0.7734318011853553
34, 3, -0.4430455571486414
32, 5, -0.4656632882152951
