d = 19, symClass = C, r = 18.09474232255288, D = 16, Y = 0.1287633028031147
max of |f(z) - f(z^*)| for 100 points = 2.988942426895846e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -2.806088694740083e-14, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -5.088152121857092e-13, 
confident_r = 18.0947423225528
1, 0, 1
2, 0, 1.309761003073715
0, 1, -0.1298125449236941
1, 1, -0.7008119834663838
3, 0, 0.4376982065734529
2, 1, -1.256726512404246
4, 0, 0.7154738851715037
3, 1, 1.663759312619275
-1, 2, -5.770272075327108e-15
0, 2, -0.1700234090507813
1, 2, 0.1476408532797667
5, 0, 0.0168512968208796
4, 1, 0.9831487031801722
2, 2, -0.9178962064305021
5, 1, 0.09097418708685202
3, 2, -0.090974187087262
6, 0, 0.5732800420845388
-1, 3, -1.268820864675481
4, 2, -1.646011377474751
0, 3, -0.05681871810437335
6, 1, 1.300767255255773
7, 0, 0.491137436170406
1, 3, 0.5088625638304826
5, 2, 0.163138866848368
2, 3, -0.1631388668482973
7, 1, 0.3747926326645721
3, 3, -0.3067441483074178
8, 0, -0.3726612095585594
6, 2, 2.179127066168068
4, 3, 1.023580242873922
-2, 4, -1.789254524867709e-15
8, 1, 0.8807289998320363
-1, 4, -0.8807289998319769
0, 4, -0.09287748586026359
9, 0, -0.8084202799628525
7, 2, 0.9281859476473628
5, 3, -0.2159768305121874
1, 4, 0.2159768305126009
2, 4, 0.1933742320861698
9, 1, 4.116206498512136e-14
6, 3, -0.5500669406322746
10, 0, 0.02207117142706227
8, 2, 1.287689831647129
3, 4, -1.717168118042747
4, 4, -0.50141267258529
10, 1, -0.01916563489870072
7, 3, 0.01916563489868843
9, 2, -1.165982463886645
-2, 5, -1.16598246388641
11, 0, 1.579361526978451
-1, 5, 0.5793615269784902
5, 4, -0.257437580123817
0, 5, 0.127625035199682
1, 5, 0.9074444458952532
8, 3, -3.500786762104921e-13
11, 1, -0.1523520353228607
2, 5, 1.034642983045779
10, 2, 0.1191544425327681
6, 4, -0.1191544425328093
12, 0, 0.3131616363891667
3, 5, -0.3521331306958996
9, 3, 0.7282244673029238
7, 4, -1.909303528994475
12, 1, -0.1034684792277251
4, 5, 0.1034684792275428
11, 2, -1.125532349090572
13, 0, 1.995943756533211
-3, 6, -7.081184388031356e-15
-2, 6, -1.661852088437133
10, 3, -0.6890023927169951
5, 5, -0.01180959074869073
-1, 6, -0.6890023927180071
8, 4, -0.8991550004271412
0, 6, -0.07441894121756154
13, 1, -2.090890438426996
1, 6, -2.090890438426387
12, 2, 1.703694225008713
6, 5, -1.171204131039839
14, 0, 0.6432726610449941
2, 6, 0.666488342028962
9, 4, -0.7168932651619625
11, 3, 1.264544336240591
3, 6, 0.0646221366974178
7, 5, 1.206788534431499e-13
14, 1, 0.1647088654961006
13, 2, -0.1647088654961054
10, 4, 0.2136729258835331
4, 6, -0.2136729258836301
15, 0, 0.007375782396330284
12, 3, 0.4303224241771497
8, 5, 0.1978513944729488
-3, 7, 1.733571552649248
5, 6, -0.1688559077588062
-2, 7, 0.1688559077591651
-1, 7, 1.616056565889746
14, 2, 0.4908887745029938
15, 1, -0.06605674442732094
11, 4, 0.06605674442782304
0, 7, -0.06375580049623925
9, 5, -1.697946699914924
6, 6, -0.4017615233747433
13, 3, -0.1855441746309414
1, 7, 0.1855441746307392
16, 0, -1.203571004807351
2, 7, -0.04010827368515327
7, 6, -1.523266237365392
12, 4, 1.190376339388615
15, 2, -1.235549040921748
10, 5, -0.02117747148275393
3, 7, -1.23554904092181
16, 1, 0.7699372438256853
14, 3, -0.3911011967758756
17, 0, 2.768095050326513
4, 7, 1.76809505032546
8, 6, 1.340645485632215
13, 4, 0.8892048668364647
11, 5, -0.8892048668363151
-4, 8, -9.982375273934446e-15
5, 7, -0.04865278546509822
-3, 8, 0.0486527854646616
16, 2, 1.153544498255835
-2, 8, -1.153544498255975
17, 1, 1.081511508542432
-1, 8, 1.307851579843056
15, 3, 0.03981923853310973
9, 6, -0.03981923853348102
0, 8, 0.04837610000820883
6, 7, 1.026272819094154e-13
18, 0, -1.05883735678759
12, 5, -0.9115932801832994
1, 8, -0.9115932801828208
14, 4, 1.215701757828671
10, 6, -0.2828780301724425
2, 8, 0.2828780301721973
17, 2, -1.057428966136246
7, 7, 0.3566169826700571
18, 1, 1.591230288145973
16, 3, 0.2215216076160268
3, 8, -1.517820580156679
13, 5, 0.4504489686763618
19, 0, 0.999999999999949
15, 4, -0.1328735562610791
8, 7, 0.1328735562621373
11, 6, -0.3595342052325017
4, 8, 0.1056331749062205
18, 2, 1.582941664551216e-12
19, 1, 0.1143296728573583
17, 3, -0.1143296728578492
5, 8, -0.1143296728583481
-4, 9, 0.1143296728570175
-3, 9, -0.555360616931732
9, 7, 1.019052743576012
14, 5, 0.2456388445673182
-2, 9, -0.2456388445678254
12, 6, -0.7204562279199413
-1, 9, -0.1986342506110868
20, 0, 0.01205666280720754
16, 4, 0.7034172223645695
6, 8, -2.249079836732347
0, 9, 0.1049430939107388
10, 7, -0.1204901800268019
1, 9, 0.1204901800266161
19, 2, 1.134674623164927
18, 3, 0.5693434947952369
20, 1, 1.635722810605564
15, 5, 0.0280365020134476
7, 8, 1.635722810605809
13, 6, -0.2626591682857459
2, 9, -0.2626591682858519
17, 4, -1.078020920624249e-13
21, 0, 0.2149699749926886
