d = 19, symClass = C, r = 11.70924177598257, D = 16, Y = 0.09900638272495192
max of |f(z) - f(z^*)| for 100 points = 2.235545082385215e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -9.570122472268849e-14, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -3.751443600208404e-13, 
confident_r = 11.7092417
1, 0, 1
2, 0, 0.5425929786021363
0, 1, -0.3762359812398333
1, 1, -1.544658466922189
3, 0, 1.99918209532477
2, 1, 1.09044877229119
4, 0, -0.7055928595716229
3, 1, 1.794084896710972
-1, 2, 8.244050501243658e-15
0, 2, -0.2041430017181229
1, 2, -0.8149224833970491
5, 0, 0.1415535135798752
4, 1, 0.8584464864207731
2, 2, -0.8381208384899449
5, 1, 0.5811560939824716
3, 2, -0.5811560939828966
6, 0, 1.084742167869883
-1, 3, 0.2817131420151943
4, 2, 0.5916698473704357
0, 3, -0.7521642373109632
6, 1, 0.4524073225559526
7, 0, 2.38596977943412
1, 3, -1.385969779433847
5, 2, -0.4102660638342934
2, 3, 0.4102660638348199
7, 1, -0.4708377907729128
3, 3, -3.088053550461535
8, 0, -0.9254427099576902
6, 2, 0.9734578679717215
4, 3, 0.2228485076543209
-2, 4, 4.653245951290877e-15
8, 1, -1.684370928864605
-1, 4, 1.684370928863805
0, 4, 0.2654694218769165
9, 0, 2.996729050264757
7, 2, -0.4522710928694142
5, 3, -0.674999291541454
1, 4, 0.6749992915408971
2, 4, -0.4421712175961117
9, 1, 8.160577985525476e-14
6, 3, 2.180005661432878
10, 0, 0.07680594256474349
8, 2, 0.4657870360376439
3, 4, -0.3465020294244013
4, 4, 1.089899984737476
10, 1, 0.3066031601751218
7, 3, -0.3066031601751195
9, 2, -2.771248426081098
-2, 5, -2.771248426081173
11, 0, 1.189078524991752
-1, 5, 0.1890785249911524
5, 4, -0.6992144374016215
0, 5, 0.3229784561616291
1, 5, -1.572597758786765
8, 3, -2.890947331443208e-13
11, 1, -0.8168604309182049
2, 5, 1.207360630016673
10, 2, 0.315331216066697
6, 4, -0.3153312160667283
12, 0, -1.410608611444563
3, 5, 1.175363088500867
9, 3, 3.586702402995409
7, 4, 0.1074549904980781
12, 1, 1.258776913864409
4, 5, -1.258776913864359
11, 2, 0.3371402060562835
13, 0, 0.2022011613654973
-3, 6, 1.052177225351198e-15
-2, 6, 0.1528555728374228
10, 3, -1.326006633649256
5, 5, -0.218651833273062
-1, 6, -1.326006633649065
8, 4, -0.7694128674575039
0, 6, -0.4081190339209884
13, 1, 1.956357673004082
1, 6, 1.956357673004531
12, 2, 0.2454730366869665
6, 5, -0.2157719330445275
14, 0, 1.294610449477455
2, 6, -0.7520174708752945
9, 4, 0.4917515603828717
11, 3, 0.4641053346349726
3, 6, -1.629178437884063
7, 5, 4.247226568420683e-14
14, 1, -0.1059906204143489
13, 2, 0.1059906204142445
10, 4, -0.2226074855936669
4, 6, 0.222607485594052
15, 0, 0.2829912498792035
12, 3, 1.716190845446848
8, 5, 0.9500936103953824
-3, 7, -0.3881055332008267
5, 6, -0.1702119129219753
-2, 7, 0.1702119129220162
-1, 7, -0.8822257383353352
14, 2, -0.2554732793339334
15, 1, 0.5214516999338749
11, 4, -0.521451699933503
0, 7, -0.8976876811733474
9, 5, 0.9314520558561239
6, 6, -1.67555617402724
13, 3, -0.888631221532748
1, 7, 0.8886312215326599
16, 0, 0.2034541430502622
2, 7, 1.422587122720203
7, 6, -0.2778087383877598
12, 4, -1.265893492585009
15, 2, 0.9360919171955072
10, 5, 0.1543568550960983
3, 7, 0.9360919171951525
16, 1, -0.3507533517192024
14, 3, 0.4007405594061138
17, 0, 3.21874061660525
4, 7, 2.218740616604868
8, 6, 0.1209160355454884
13, 4, -0.4351505900562027
11, 5, 0.435150590056873
-4, 8, 4.440149199174458e-15
5, 7, 0.1771461182159625
-3, 8, -0.1771461182160887
16, 2, -0.913927839363154
-2, 8, 0.913927839363054
17, 1, 0.1324428620582407
-1, 8, 0.1223157232725637
15, 3, 1.161836857678576
9, 6, -1.161836857678398
0, 8, 0.3481848460617387
6, 7, -1.248599003984662e-13
18, 0, 1.626004141446594
12, 5, -0.698814801283613
1, 8, -0.6988148012837011
14, 4, -0.2453991194156233
10, 6, -0.3662498761514757
2, 8, 0.3662498761515136
17, 2, 0.5961914877778076
7, 7, -2.140849954700068
18, 1, -0.404378144459801
16, 3, 0.9200128766501566
3, 8, -1.16785662916527
13, 5, -1.146943789150319
19, 0, 1.000000000000316
