d = 19, symClass = C, r = 7.873371037733481, D = 16, Y = 0.08044901992611687
max of |f(z) - f(z^*)| for 100 points = 1.750466438465992e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 1.17217346939924e-11, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -1.712852082391692e-12, 
confident_r = 7.87337103
1, 0, 1
2, 0, 1.503134602521296
0, 1, -0.8022712634691532
1, 1, 1.015848652015136
3, 0, 1.861675520562836
2, 1, -1.512310780258021
4, 0, 1.259413633315144
3, 1, 0.3456878546425127
-1, 2, 2.151493491388625e-15
0, 2, -1.205921696740685
1, 2, 0.495062826157397
5, 0, 0.643639180190582
4, 1, 0.356360819807993
2, 2, 1.526957259770278
5, 1, -0.8149861815521686
3, 2, 0.8149861815546382
6, 0, 2.79834889365113
-1, 3, -1.529143069355005
4, 2, -2.273206663583772
0, 3, -1.493568772068077
6, 1, 0.1643698750025664
7, 0, 1.031948483792719
1, 3, -0.03194848380043442
5, 2, 1.213283480437919
2, 3, -1.213283480443693
7, 1, 1.699202855489098
3, 3, 1.891180568054219
8, 0, 0.3899336086201564
6, 2, 0.5196153759897758
4, 3, -0.4048017946181252
-2, 4, -2.304865076848956e-14
8, 1, -1.536278867559539
-1, 4, 1.536278867562858
0, 4, -1.010391366845718
9, 0, 2.465835743909
7, 2, -0.105754576792405
5, 3, -0.277335431912029
1, 4, 0.277335431914322
2, 4, 0.7441460644113848
9, 1, 2.913982491163082e-12
6, 3, -2.81543195910781
10, 0, 0.9674763232896773
8, 2, 0.5356582792355108
3, 4, -0.9786558139954772
4, 4, 1.279373641730764
10, 1, -0.3971746790336145
7, 3, 0.3971746790308673
9, 2, 0.3511665411549811
-2, 5, 0.351166541164476
11, 0, 2.287083896084415
-1, 5, 1.287083896098769
5, 4, -1.08816930862375
0, 5, 0.2858980451521203
1, 5, 0.7520359642388039
8, 3, -6.071904924798363e-12
11, 1, -1.119626392908037
2, 5, -0.5282018732644149
10, 2, -1.225033930068946
6, 4, 1.22503393006675
12, 0, 2.344619531439622
3, 5, 1.159847257312536
9, 3, 0.6435586167505424
7, 4, 0.8584731166827353
12, 1, 0.5029089046362361
4, 5, -0.5029089046174171
11, 2, -0.9313057320492196
13, 0, -1.215057003769699
-3, 6, 8.707201090686803e-15
-2, 6, -2.298507859770332
10, 3, 0.3620086584387691
5, 5, 0.6538399935777928
-1, 6, 0.3620086584394202
