d = 19, symClass = D, r = 21.0665268490188, D = 16, Y = 0.1287654257934677
max of |f(z) - f(z^*)| for 100 points = 4.773759165743741e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -1.086020162688328e-12, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 5.031169925118206e-12, 
confident_r = 21.0665268490188
1, 0, 1
2, 0, -1.003201398156255
0, 1, -1.109653795948202
1, 1, 0.04980065404885844
3, 0, -1.740016950829952
2, 1, -1.313723141957204
4, 0, 0.006413045265746097
3, 1, -0.4432814549835131
-1, 2, -0.03176027241191363
0, 2, 1.113206239565718
1, 2, -0.9007926136060033
5, 0, 0.8334499009227669
4, 1, 0.6292131928023975
2, 2, -0.04996008577594192
5, 1, -0.9962556270471054
3, 2, 0.8857326574332984
6, 0, 1.745587437897633
-1, 3, 0.9746683095191405
4, 2, 1.317928892801342
0, 3, 1.930816414506593
6, 1, -0.1367146934561646
7, 0, -2.222980618606273
1, 3, 1.227940828900873
5, 2, 1.086038962716059
2, 3, 1.829516779871164
7, 1, -0.06521299706518659
3, 3, -0.08665398220660075
8, 0, 0.9967678221813868
6, 2, 0.444700575414223
4, 3, -0.2581545261112353
-2, 4, 0.03186194968599147
8, 1, -0.9445905739955138
-1, 4, 0.8137420305815897
0, 4, -0.007116260017810998
9, 0, 2.027658989199345
7, 2, -0.4954690514634231
5, 3, 0.3275910697158286
1, 4, 0.656186828666502
2, 4, 0.9036764094161271
9, 1, 0.03524290683713321
6, 3, 2.285900535717618
10, 0, -0.8361181058919285
8, 2, -0.6312275547553676
3, 4, -0.6928027220488538
4, 4, 0.0003193738457063244
10, 1, 1.045247525928952
7, 3, 0.9538883601630717
9, 2, -0.4106418635467299
-2, 5, 0.3664904507801117
11, 0, 1.378554618964603
-1, 5, 1.073182368477026
5, 4, -0.4715767694187277
0, 5, 0.184812949659927
1, 5, -0.04055338276048162
8, 3, -0.001581682339222438
11, 1, 0.008331699951661779
2, 5, -0.185586141660379
10, 2, 0.9994450379764014
6, 4, -0.888568240338955
12, 0, -0.01115880747399279
3, 5, -0.6585897343064585
9, 3, 0.7713172456610762
7, 4, -0.05771157178681317
12, 1, 0.06317261712459393
4, 5, -0.1528927397673895
11, 2, -1.509138114121288
13, 0, 0.8135345406115414
-3, 6, 0.05526341235839385
-2, 6, -0.9777886108427682
10, 3, -2.057020215259167
5, 5, 0.04150635017787979
-1, 6, 2.119690672337807
8, 4, -0.008424965981274957
0, 6, -1.936997726620969
13, 1, 0.4288463870597041
1, 6, 0.735851824575719
12, 2, 0.1371523716112726
6, 5, -0.2696548475658286
14, 0, 2.230097264654894
2, 6, -1.231871956404657
9, 4, -0.4288061460338036
11, 3, 0.7219857282370098
3, 6, 1.567394416866492
7, 5, 0.04172420485675885
14, 1, -0.8019856023821239
13, 2, -1.361103176506269
10, 4, -1.089515805869127
4, 6, -1.835373791517837
15, 0, -1.45021695527715
12, 3, -1.094841621161068
8, 5, 0.4234740002259709
-3, 7, -0.608187645173182
5, 6, -0.1674479743810966
-2, 7, 0.4708599314857807
-1, 7, 0.5810489756216721
14, 2, 0.06542176983004179
15, 1, -1.268864954505996
11, 4, -1.456313449459384
0, 7, 2.466738881741755
9, 5, 0.1975799227535569
6, 6, 0.08693139611193293
13, 3, 1.226070317237357
1, 7, 1.140713887965017
16, 0, -1.00637191811668
2, 7, 0.7853729561203099
7, 6, -0.234295804945728
12, 4, -0.002842784042755408
15, 2, -1.651614914600422
10, 5, -1.094922422506322
3, 7, -0.001608950615423087
16, 1, 0.3005141198363089
14, 3, -0.6431677605051543
17, 0, 0.1286546724924711
4, 7, -0.7356577758219206
8, 6, 0.2589809815357798
13, 4, 0.7096984960181987
11, 5, -0.6126202574289
-4, 8, -0.000203680062903443
5, 7, 0.05415273559451966
-3, 8, 0.09057496387596352
16, 2, 0.9476145845240146
-2, 8, -0.8163471428194996
17, 1, -0.4626096996291921
-1, 8, 0.8543396872131607
15, 3, 1.733501678433522
9, 6, -1.541189837852514
0, 8, -1.106067197553717
6, 7, 0.0140787397651743
18, 0, -2.034150332946719
12, 5, -0.7616108281457217
1, 8, 0.7479938658451217
14, 4, 0.4970552451821007
10, 6, -0.3286398191765922
2, 8, -0.6582875439810328
17, 2, 0.2330104015761578
7, 7, -0.1605065427830717
18, 1, 0.9476618912840048
16, 3, 1.47183290182649
3, 8, -1.382689340489533
13, 5, 0.5397526356594944
19, 0, -0.9989912850945105
15, 4, -0.6123441361850028
8, 7, 1.185268435869227
11, 6, -0.08761994254085644
4, 8, -0.005776823809913092
18, 2, -0.03535573341139327
19, 1, -2.120664873483525
17, 3, 0.3147210071745625
5, 8, 2.302887137949505
-4, 9, -0.2065501058498889
-3, 9, -1.695939380005952
9, 7, -0.5722787911917312
14, 5, 0.4181672007546601
-2, 9, 0.3804421200444047
12, 6, -2.293218613478107
-1, 9, 1.235685542943509
20, 0, 0.005344951943750139
16, 4, 0.004035172685705891
6, 8, 0.6950206594096785
0, 9, -2.249999494251059
10, 7, 0.9522649309477248
1, 9, 0.1473332965106916
19, 2, 0.4554006647656271
18, 3, 0.2378858840318855
20, 1, -0.643546070852952
15, 5, -0.3694528847383211
7, 8, 0.08570899164810453
13, 6, -0.04631712019167468
2, 9, 0.03982182038170683
17, 4, 0.02860941878994329
21, 0, 3.868023957756392
3, 9, -2.136637856901539
11, 7, 0.02382541982515396
8, 8, 0.04963968946946958
4, 9, -0.1319542137014085
20, 2, -1.048593779443212
14, 6, -0.9569421366121951
16, 5, -0.07357088285118014
19, 3, -0.5095706951644424
21, 1, -0.4828428976432664
12, 7, -1.019253883463334
9, 8, -1.541634744439145
5, 9, -0.01998398241013824
-5, 10, -0.02647059588755484
18, 4, 0.4119564916588281
-4, 10, -0.3676637326334655
-3, 10, -0.2875190795495047
22, 0, -1.382967921174566
-2, 10, -1.07661805253477
-1, 10, -0.7246711518703792
15, 6, -1.889726204415772
6, 9, -3.183390208812996
17, 5, 0.7287694300290876
10, 8, 0.473086474409072
0, 10, -0.1854046094917728
21, 2, -0.08011569971365735
20, 3, 0.2417333795799687
13, 7, 1.295808961148633
22, 1, -2.138542278661264
1, 10, 2.112829750160531
19, 4, -0.1185787469287782
7, 9, 0.4777892601954964
2, 10, 0.04068321028259196
23, 0, 0.8061829986084559
11, 8, -0.1833283331420434
16, 6, 0.001586745935746968
18, 5, -1.525608170131688
14, 7, 2.920381082787139
3, 10, -1.700740397618812
8, 9, 1.135006546814835
22, 2, -0.008358373040152
21, 3, 0.1134717203070074
4, 10, 0.1861802767922513
23, 1, -0.2980724053738825
20, 4, -0.006389032436863564
12, 8, 0.00568024362843751
9, 9, 0.1009787438504983
17, 6, -0.2412676083768024
5, 10, -0.7507655145629764
-5, 11, -0.6681676415519867
15, 7, -0.4654135513665952
24, 0, -1.734392906638554
-4, 11, -0.992022857236493
19, 5, 0.9271610711470354
-3, 11, -0.9765104367999239
-2, 11, 1.303437193785315
13, 8, -0.2257859986321603
23, 2, 0.002265590766991107
22, 3, -0.8156206305286843
10, 9, 0.8809776970265014
-1, 11, 0.03036290830026816
6, 10, 0.6606981422677881
24, 1, -0.2141368750166552
21, 4, -2.167584902834171
0, 11, -1.529718365842172
18, 6, -0.7737865392734212
16, 7, 1.223889215158061
1, 11, 0.1169156362961894
7, 10, 0.3766460902742341
25, 0, -1.563787648283721
20, 5, -0.3090322277148653
11, 9, 0.7263929394398798
14, 8, 0.05789632944374867
2, 11, 0.7347636086081659
23, 3, 0.0192082541046595
24, 2, -0.06337485782606579
8, 10, 0.1533822103039761
3, 11, -0.8998089388096951
22, 4, 1.513969466096236
17, 7, 0.3699435706197532
25, 1, -0.6142584895701024
19, 6, 0.7042589198046038
12, 9, 0.4491932513763196
15, 8, -0.02813111047996157
4, 11, 0.03164135009864789
21, 5, 0.06865726703626555
9, 10, 0.1026863797711744
26, 0, -0.8161389885956519
-6, 12, -0.05544033253505104
5, 11, -0.569125337460414
-5, 12, 0.5506347325021312
-4, 12, 0.006250591988249338
13, 9, -0.6089669286892991
24, 3, 1.64360361035936
-3, 12, -1.415924926824246
25, 2, 0.9785019842327256
18, 7, -0.5666292511012376
20, 6, 2.063605556001662
10, 10, -0.04163922853574907
-2, 12, -2.126476646158767
23, 4, -0.6605248518920125
16, 8, -1.309476955156427
26, 1, -1.280951768019459
6, 11, 1.211947710647021
-1, 12, 0.5756087009684847
22, 5, -1.119208600807793
0, 12, 0.01238241306788315
14, 9, -0.7410155966226712
27, 0, -1.788144060893338
11, 10, -0.3166137468394624
7, 11, -0.5474910259067718
1, 12, -0.4423215566845912
19, 7, -0.7873080190848529
25, 3, 0.7469598476684398
17, 8, 0.7146533496199893
21, 6, 0.8621245481648612
26, 2, -0.4302192950803474
2, 12, -0.7382075792474617
24, 4, -0.0008767575198417949
8, 11, -0.509575514648005
27, 1, 0.7424935688304679
12, 10, 0.2705181200975292
15, 9, -0.5700140142537671
3, 12, -1.141776204803352
23, 5, 0.680393174131195
28, 0, -0.01425607532719877
4, 12, 0.007874840115262372
20, 7, 0.06095681683500413
9, 11, 0.06712291258032936
18, 8, 0.430178925241504
22, 6, -0.7242970920191865
26, 3, -0.07118564398819384
13, 10, 0.1923918204556394
27, 2, -0.5006068159397026
-6, 13, 1.178893966244678
25, 4, -0.6802574368248516
16, 9, 1.019573454937701
5, 12, -0.9154654340735637
-5, 13, 0.7752659652876651
-4, 13, -0.2260988570071423
10, 11, 1.944799041902101
-3, 13, 1.404442631981961
28, 1, -0.03095573101866668
24, 5, 0.2424244621962764
-2, 13, 0.4971644790596678
6, 12, -1.572412270464546
21, 7, 0.9854060830165724
19, 8, -0.5056216997283971
-1, 13, -0.5830250947994774
14, 10, -0.04185778064578735
29, 0, -0.667666553966727
0, 13, -0.9027416911228029
23, 6, 2.363407417766102
11, 11, 0.06865292166723437
17, 9, -2.256517050043054
7, 12, -1.349207008796612
27, 3, -0.06132325529773067
1, 13, 0.3226349662692176
28, 2, 0.8045530776160487
26, 4, 1.365460609713605
29, 1, -1.991928163465349
25, 5, -1.716061811070712
15, 10, 1.734469422627592
2, 13, 1.944958500355094
20, 8, 0.006964817024729644
8, 12, 0.01173277395995507
12, 11, -0.09852901465629349
22, 7, 0.8365884804553964
18, 9, -2.663782538114298
3, 13, 0.004342095912069442
30, 0, 1.454859677157194
24, 6, 1.098346645106824
9, 12, 1.205488479956851
28, 3, 1.026931036785287
4, 13, 0.274887281281684
16, 10, -0.4248297091101522
27, 4, -1.561173131444827
13, 11, 1.557133961476105
29, 2, -0.01823505749465847
21, 8, 0.9792335319278238
26, 5, -0.03899973522625024
-7, 14, 0.07060247001469543
-6, 14, 0.6101346959724744
30, 1, -0.4359138796868638
23, 7, -1.197167661093153
5, 13, -0.5269279834426914
-5, 14, -0.4248140590899921
19, 9, -0.1553025372054752
10, 12, 0.1679840420164487
-4, 14, -0.4723673416048775
-3, 14, 0.4737081495641605
25, 6, 0.9126266163585776
14, 11, -0.3141795659674677
-2, 14, -0.5829091447507535
17, 10, -1.323707057042438
6, 13, 1.324536905252216
31, 0, 0.2862670635598318
-1, 14, 0.07713498105532945
29, 3, 1.817883237638725
11, 12, -1.836367860111267
28, 4, -0.0004182139063123849
30, 2, 1.272927096433274
22, 8, 1.460975688654075
0, 14, -2.474635895064431
20, 9, -0.2449951388333911
7, 13, 1.196647874188101
27, 5, -0.9100693088965882
24, 7, -0.8458787189719382
15, 11, -0.7481940705386133
1, 14, -0.8541143373909036
31, 1, 0.477589881523619
18, 10, -0.1982124547462204
12, 12, -0.0005557159102678366
26, 6, -1.229995456489182
2, 14, -1.144365767302414
