d = 19, symClass = D, r = 23.82694458035443, D = 16, Y = 0.1383666321862336
max of |f(z) - f(z^*)| for 100 points = 1.099842439344911e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 5.209721543053547e-14, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 6.905587213168474e-14, 
confident_r = 23.826944580354
1, 0, 1
2, 0, -1.424462480427571
0, 1, 0.1222431325920417
1, 1, 1.211502249155985
3, 0, -0.2040504673521533
2, 1, 0.524548227803065
4, 0, 1.029093358146205
3, 1, -0.8074450138832286
-1, 2, 0.9286397248282471
0, 2, -0.1741307558673483
1, 2, -1.702424728451931
5, 0, -1.827377929181323
4, 1, 0.857264696113318
2, 2, -1.725739498876386
5, 1, -0.6115558565267032
3, 2, 0.9077515166850653
6, 0, 0.2906622348569954
-1, 3, -0.1859798285946253
4, 2, -0.7471992696805015
0, 3, -0.02494376833593579
6, 1, -0.5336604775910111
7, 0, 1.154505844000081
1, 3, 0.7809695554197505
5, 2, -0.5408415003293736
2, 3, 0.6690863374541116
7, 1, -0.5529937727454837
3, 3, -0.2472076001386163
8, 0, -0.04144239710903533
6, 2, 1.150175127285226
4, 3, -0.3794628230465488
-2, 4, -1.32281244585275
8, 1, 0.3860435181958141
-1, 4, 0.8849391973528362
0, 4, 0.1257995958297704
9, 0, -0.9583634067733851
7, 2, -0.6301822858208321
5, 3, -0.9748426819004894
1, 4, 0.7774334661143461
2, 4, 2.425040151432029
9, 1, 0.1135198290125702
6, 3, -0.1070343110321104
10, 0, 2.603031297680654
8, 2, -1.221141395408642
3, 4, -0.3047967673846795
4, 4, 1.246748917985318
10, 1, -0.2391724844182248
7, 3, -0.1770469791984872
9, 2, -1.339483904080857
-2, 5, -0.6169589966974752
11, 0, 0.07649855574087827
-1, 5, -0.526196869157699
5, 4, 0.4329738463196228
0, 5, -0.3456275350848325
1, 5, -1.05509867244358
8, 3, 1.125049115284916
11, 1, 0.1067000683506777
2, 5, -0.1073747539574917
10, 2, 0.8711383723082913
6, 4, -1.293057977069316
12, 0, -0.2099869806788286
3, 5, -0.1325677142425525
9, 3, 0.1647595324441452
7, 4, -1.24940885564734
12, 1, -2.07529964979632
4, 5, -2.049683125280004
11, 2, -1.311157813758085
13, 0, 0.7074921046550494
-3, 6, -0.1894893698531523
-2, 6, 0.2649212879494447
10, 3, 1.224303000134934
5, 5, -2.213872471261178
-1, 6, 0.8528532147913882
8, 4, 0.539809097259669
0, 6, 0.03553146211525056
13, 1, -0.7112417239238097
1, 6, -0.135845978237915
12, 2, 0.7601793276158088
6, 5, 0.3483607248505252
14, 0, -1.644550258212557
2, 6, -1.112461830051565
9, 4, 0.07610520515675702
11, 3, 1.062160342014098
3, 6, 0.3473805614726286
7, 5, 0.4871163219262544
14, 1, -0.1192844967841725
13, 2, 0.07381498309152952
10, 4, 0.7704084250773396
4, 6, -0.9530883838697832
15, 0, 0.3728773204786948
12, 3, -0.1749252618866469
8, 5, -0.490490811399788
-3, 7, -0.8175436820969493
5, 6, -1.951640275922728
-2, 7, 1.821167618880125
-1, 7, -0.3270666524969815
14, 2, 0.7877188811860143
15, 1, 1.936112464719129
11, 4, -1.745176134891865
0, 7, 0.1411304109664328
9, 5, 0.8125114251019649
6, 6, 0.3521379512737767
13, 3, -0.903203965011843
1, 7, -0.8828037835435821
16, 0, -0.970060218365424
2, 7, 0.3008589540929894
7, 6, -0.1580938816075191
12, 4, -0.8309363008553886
15, 2, 0.5975820462053427
10, 5, -0.9585478542788504
3, 7, 0.3017713080034926
16, 1, -0.2818814626425648
14, 3, -0.001027583780047654
17, 0, 0.2353094443437573
4, 7, 0.06862545654585321
8, 6, 0.5405305541468931
13, 4, -0.2651258243736129
11, 5, -0.1855041369066346
-4, 8, 0.955656972931663
5, 7, -1.289736062850571
-3, 8, 1.154536680681958
16, 2, -0.5499045074820369
-2, 8, -1.260562684089181
17, 1, 0.2622477351203765
-1, 8, 0.35704000471687
15, 3, 0.1247882583364584
9, 6, -0.1852271212191854
0, 8, -0.005066048444524056
