d = 19, symClass = D, r = 19.69382348721303, D = 16, Y = 0.1309949840992335
max of |f(z) - f(z^*)| for 100 points = 2.964784667769393e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -2.560174294785611e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 4.352074256530614e-14, 
confident_r = 19.693823487
23, 0, 1.503721778739681
11, 8, 0.5037217787396867
16, 6, 0.07027547378154024
18, 5, -0.1612403772107558
14, 7, 0.003130640860446158
3, 10, -0.1612403772107006
8, 9, 1.256364640684829
22, 2, 0.9818102200231056
21, 3, 0.05961433003142592
4, 10, -1.49139724597812
23, 1, -0.6914425345554606
20, 4, -0.0644305452557483
12, 8, -0.06443054525569115
9, 9, 0.02409544878464816
17, 6, -1.454336987666863
5, 10, -1.134753020482378
-5, 11, 0.09151031940015182
15, 7, 0.09151031940018088
24, 0, 0.6798149130633155
-4, 11, 1.389359006969244
19, 5, -0.0159504492520736
-3, 11, -0.01595044925199184
-2, 11, -0.2633812290396225
13, 8, 0.8918860444318921
23, 2, -0.04460943768346205
22, 3, -0.0446094376835791
10, 9, -0.04460943768341902
-1, 11, -0.04460943768363228
6, 10, 0.5698335753803606
24, 1, 0.935973779267858
21, 4, 0.9359737792678425
0, 11, -0.02599018024577864
18, 6, -0.4438314861474713
16, 7, -1.08869563512078
1, 11, -1.587454773790227
7, 10, 0.09253735385775175
25, 0, 0.005568941459255871
20, 5, -0.9944310585409494
11, 9, -0.9198057179440134
14, 8, -0.2855254713681737
2, 11, 1.10922667309554
23, 3, 1.610250916618613
24, 2, -0.2062518698416043
8, 10, -0.2062518698415768
3, 11, 0.4096901115307838
22, 4, -0.1342898162666943
17, 7, -0.3973029993778739
25, 1, 1.209861289467419
19, 6, 1.209861289467474
12, 9, 0.1274214595175238
15, 8, -0.05546926815620353
4, 11, -0.05546926815607287
21, 5, -0.009041321176571016
9, 10, -0.009041321176521426
26, 0, 0.6978042318135468
-6, 12, -0.5518789072375808
5, 11, -0.7749544961053318
-5, 12, -0.7749544961054184
-4, 12, 0.7005122951421261
13, 9, -1.337605995576353
24, 3, -0.02458517266484334
-3, 12, -0.02458517266395226
25, 2, 1.17717760284014
18, 7, 1.177177602840955
20, 6, -0.01255164004014228
10, 10, 0.1556437737313312
-2, 12, -0.01255164003671666
23, 4, -1.083175068885802
16, 8, -0.1031031459448718
26, 1, -0.1038903395267934
6, 11, -0.1038903395264171
-1, 12, 0.05824053520623957
22, 5, -1.081881960016114
0, 12, 0.505978216795649
14, 9, -1.485153353882287
27, 0, 0.8945637118200722
11, 10, 0.4850100127611962
7, 11, 0.485010012761203
1, 12, -0.7659953431674826
19, 7, 0.8836022484749463
25, 3, -0.4497764254914916
17, 8, -0.4497764254913769
21, 6, 0.1252601516499515
26, 2, 0.06731306067610628
2, 12, 0.06731306067608241
24, 4, -0.5951344969116926
8, 11, -0.481165304543077
27, 1, 0.763405857168851
12, 10, 0.7490593089533039
15, 9, 0.3503214762778208
3, 12, 0.3503214762778745
23, 5, -1.138598873532529
28, 0, 0.009243511960020809
4, 12, -0.4760773980930751
20, 7, 0.2253686540196784
9, 11, 0.2253686540196235
18, 8, -0.3452087771034352
22, 6, 1.322051019255664
26, 3, -0.4120501409372701
13, 10, -0.4120501409373533
27, 2, -0.01932519143783377
-6, 13, -0.01932519143780332
25, 4, 0.1627970565025737
16, 9, 0.1627970565025862
5, 12, 0.1627970565025831
-5, 13, 0.1627970565025995
-4, 13, 1.157896770535072
10, 11, 0.1059965508351747
-3, 13, 0.1059965508351071
28, 1, 0.6030820349527096
24, 5, -0.6905315968791835
-2, 13, -0.02581408221402379
6, 12, 1.619712403472346
21, 7, 0.006399881750612784
19, 8, -0.3296192037250864
-1, 13, -0.3296192037251558
14, 10, 0.08369991658589969
29, 0, 1.335794335757988
0, 13, -0.5507851882335906
23, 6, -0.1342792426880823
11, 11, 0.003728674668024851
17, 9, -0.1342792426880985
7, 12, 0.9574926895018299
27, 3, 0.4356045921579093
1, 13, -1.371861128028318
28, 2, -1.692215652177347
26, 4, -1.69221565217736
29, 1, 0.1426658015473731
25, 5, 0.009907158923023041
15, 10, 0.009907158923073041
2, 13, 0.1426658015471075
20, 8, -0.0767384547310542
8, 12, -0.07673845473105968
12, 11, 1.017952332478776
22, 7, 0.8168354723919021
18, 9, 0.02869830603560879
3, 13, -0.5123606337203792
30, 0, -1.222282983553806
24, 6, 0.09856903150158135
9, 12, 0.8158591321455062
28, 3, -0.01899739980472305
4, 13, -0.01899739980486383
16, 10, -0.6418442157425323
27, 4, -0.1735724454102291
13, 11, -0.1735724454102656
29, 2, 0.1085841423664741
21, 8, -0.6380350652551586
26, 5, -0.4098625078074826
-7, 14, 0.007957884596304299
-6, 14, -0.6606292359109955
30, 1, -0.05313100022157948
23, 7, -0.05313100022151055
5, 13, -0.05313100022153582
-5, 14, -0.05313100022144113
19, 9, 1.34043715212953
10, 12, 1.43765629498326
-4, 14, 1.437656294983127
-3, 14, -0.7381058765698434
25, 6, -0.5912414308636648
14, 11, -0.5912414308637359
-2, 14, -2.159592872686544
17, 10, 0.1111786517524313
6, 13, 0.1111786517526489
31, 0, -1.115527039520511
-1, 14, -1.663058126342121
29, 3, -0.1688834885336787
11, 12, -0.1688834885335754
28, 4, -0.02669535221608251
30, 2, 1.150052083721421
22, 8, 1.150052083721499
0, 14, -0.02232939482763243
20, 9, 0.2724773978265657
7, 13, 0.2724773978265307
27, 5, -1.769988741214743
24, 7, -1.769988741214741
15, 11, -1.043510609849948
1, 14, -1.043510609849712
31, 1, -0.9953189950262521
18, 10, 1.04937596181663
12, 12, -0.07259003753406033
26, 6, -0.2456513399693125
2, 14, -0.2456513399696896
8, 13, 0.3596039956931878
32, 0, -0.8959005038776269
3, 14, 1.394854676126851
23, 8, 0.1878369480148218
30, 3, -1.278458284370163
21, 9, -1.278458284371206
29, 4, -0.01848292058403069
16, 11, -0.01848292058445634
31, 2, 0.06452706168882205
9, 13, 0.06452706168855935
25, 7, -0.06606534069312645
13, 12, -0.06606534069329333
28, 5, -0.4569926744838627
19, 10, -1.128762768227078
4, 14, -0.835577892665195
32, 1, -0.6403861489720339
-7, 15, 0.9933324677064174
27, 6, -0.05025878242957548
-6, 15, -0.05025878242959274
-5, 15, 1.335685961798466
10, 13, -0.1077142310054838
5, 14, -0.1077142310055431
17, 11, 1.503730007805022
-4, 15, 1.503730007805098
14, 12, -1.415412185435044
22, 9, 0.7175808505039915
24, 8, -0.2107708841673014
33, 0, -0.02928157991034709
-3, 15, 1.054505615284049
31, 3, -0.03233245723096184
-2, 15, -0.0323324572308224
30, 4, -0.01494932965621442
20, 10, 0.1853757815820294
6, 14, -0.01494932965623127
26, 7, 1.058413949175203
32, 2, -0.3610803521668605
11, 13, 0.408354381824924
29, 5, -0.1237360957465298
-1, 15, -0.1237360957464787
0, 15, -0.0778017101279547
15, 12, -1.120365931687235
33, 1, 1.202907701142279
18, 11, 1.202907701142204
7, 14, -0.02335563874028728
28, 6, 1.71283710616565
23, 9, -0.0152067684896863
1, 15, -0.01520676848963786
25, 8, 0.5066152812884351
12, 13, 0.5066152812884386
21, 10, -1.320678844787175
34, 0, 0.1376062115715717
8, 14, -1.081131213000645
2, 15, -0.02298244791696794
27, 7, 0.3734688187381612
32, 3, 0.5214425213621852
31, 4, 0.5214425213622619
16, 12, -0.05705944761803226
33, 2, 0.09151082018725003
30, 5, -1.13475923037901
19, 11, 0.09151082018722621
3, 15, 1.363078273898057
13, 13, 0.07901825841502642
9, 14, -1.216933049967942
34, 1, 1.704592366543693
29, 6, 1.704592366543612
24, 9, -0.06249390318618756
4, 15, 0.2192969591717039
26, 8, 0.2427732926632658
22, 10, 0.24277329266318
17, 12, 1.240637681072029
-8, 16, -0.2620814630375645
-7, 16, -0.7820384115421531
10, 14, 0.06448750888995744
-6, 16, 0.06448750889006256
14, 13, -1.393557249428109
35, 0, 0.01762485719152676
28, 7, -0.001421328061546089
20, 11, 0.07320401253525137
5, 15, -0.9077498022118808
-5, 16, 0.07320401253513702
32, 4, 0.01100926309538966
-4, 16, 0.01100926309536678
33, 3, -0.873094830041271
31, 5, -0.03950594958757163
-3, 16, -0.03950594958749658
34, 2, -1.436994568002163
6, 15, 1.326255521123627
-2, 16, -1.641680017130374
25, 9, -0.8282849405414126
11, 14, -0.8282849405414635
23, 10, 1.242561374381358
30, 6, 0.1753545206261048
18, 12, 0.1753545206261689
35, 1, 0.1938955273648619
27, 8, 0.1938955273648142
15, 13, 0.1938955273648525
-1, 16, 0.1938955273648362
21, 11, 0.6859138226678064
7, 15, -0.3895495473211572
0, 16, 1.202247669552233
29, 7, 1.241446192792168
12, 14, 0.1711054038333928
36, 0, 0.08473445115584588
1, 16, -0.8848938566680368
33, 4, -1.704779132357189
34, 3, -0.3098180076970443
32, 5, 0.007622425575292512
8, 15, 0.00762242557537396
19, 12, 0.007622425575346551
16, 13, 0.007622425575434213
35, 2, 0.6595315790785395
26, 9, 0.6595315790785953
24, 10, -0.2062529985479241
2, 16, -0.206252998547878
31, 6, 0.716751339327496
28, 8, -0.05609161195269472
22, 11, -0.1599300695879176
13, 14, -0.3243010876589332
36, 1, 0.0848223030823196
3, 16, 0.08482230308237979
9, 15, -0.5067361680517281
30, 7, 1.117201689874166
17, 13, 1.117201689874082
20, 12, -0.15687428162304
4, 16, -0.1568742816229933
37, 0, 1.962146968061693
34, 4, -0.3331873465292692
14, 14, -0.1649919327598403
-8, 17, -0.02660482275227824
35, 3, 0.1699186792573824
25, 10, 0.01179968388460524
10, 15, 0.01179968388457204
-7, 17, 0.1699186792575199
27, 9, 0.05866714620334035
33, 5, -0.03909090130540196
-6, 17, -0.03909090130532614
5, 16, 0.2850050209911691
-5, 17, 0.2850050209910143
23, 11, -0.04912337445242036
36, 2, 0.1173405609150258
29, 8, 0.1497069870240375
-4, 17, 0.1497069870239284
32, 6, 0.4931272291242982
18, 13, 0.06745131126606181
-3, 17, 0.06745131126610031
37, 1, -0.0388358542990886
11, 15, -0.03883585429929792
6, 16, 0.6783976553703897
21, 12, 0.2539093684427117
15, 14, -1.351962720950438
-2, 17, -1.351962720950531
