d = 19, symClass = D, r = 13.11048796566661, D = 16, Y = 0.1068097574496569
max of |f(z) - f(z^*)| for 100 points = 2.766009643551115e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -3.412964355575809e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -1.077193889642558e-13, 
confident_r = 13.110488
1, 0, 1
2, 0, -0.1982742086334779
0, 1, -0.2121461314109112
1, 1, 0.6393841225893603
3, 0, -0.1162977448036547
2, 1, -0.4876210478126239
4, 0, -0.9606873381903603
3, 1, -0.3490323891654779
-1, 2, -1.018360257206941
0, 2, 0.04206310632049352
1, 2, 0.2525404445757894
5, 0, 0.007848837957304238
4, 1, -0.9178368758118606
2, 2, -0.1267733809191083
5, 1, 0.09820475146493501
3, 2, -0.369490487651177
6, 0, 0.02305884331722214
-1, 3, -0.1490803800027324
4, 2, 0.09668267736790467
0, 3, 0.02467211665175437
6, 1, -0.4098146933415854
7, 0, -1.062902521053987
1, 3, 0.8805266334927077
5, 2, -0.100706729618067
2, 3, 0.3076005673942871
7, 1, 0.2936518419384163
3, 3, -0.07435893151998288
8, 0, 0.3887537303575842
6, 2, 0.06920412074909207
4, 3, 0.7060072530395646
-2, 4, 0.2019145741015867
8, 1, 0.9730591024224988
-1, 4, -1.596613414046188
0, 4, 0.2038061022927055
9, 0, -0.9864748345537961
7, 2, -0.6163179448726237
5, 3, 0.1589391814755843
1, 4, -0.01084743927840908
2, 4, -0.05007225679618181
9, 1, 0.2160411889491679
6, 3, 0.05670922817865963
10, 0, -0.001556222133555395
8, 2, 0.181983380206845
3, 4, 0.6403776851279881
4, 4, -0.6142482308117033
10, 1, 0.06666183509114385
7, 3, -0.1738127917741102
9, 2, -0.7574398504476532
-2, 5, 0.3111083146435221
11, 0, -0.8839134621327043
-1, 5, 0.3594620346727144
5, 4, 0.3910961855483019
0, 5, 0.2104810308021517
1, 5, 0.06107976547211858
8, 3, -0.651123379534168
11, 1, -0.7203974490315775
2, 5, -1.364921870775025
10, 2, -0.01947146938084447
6, 4, 0.07326043403663855
12, 0, 0.1117257708929012
3, 5, 0.6773123089857643
9, 3, 0.04059167972302377
7, 4, -1.364889357238096
12, 1, -0.595240396558389
4, 5, 0.9181810977049969
11, 2, 0.1835554956822754
13, 0, -1.154221202299739
-3, 6, 0.1184330013099622
-2, 6, 0.02955879436675107
10, 3, -0.4876305898635713
5, 5, 0.005018422369512946
-1, 6, -0.6860700611793531
8, 4, 0.4684513664697519
0, 6, -0.004891844404615075
13, 1, 0.6366274981370744
1, 6, -0.2962364194864781
12, 2, 0.08125568400876285
6, 5, 1.296252060443125
14, 0, 0.2107461562165681
2, 6, -0.1745857214365142
9, 4, 0.8094609755915715
11, 3, 0.9309453155593678
3, 6, -0.029369884175632
7, 5, 0.4965738956701867
14, 1, -0.1678925766028089
13, 2, 0.2311462283765289
10, 4, 0.01996754711921589
