d = 19, symClass = D, r = 15.4489335338276, D = 16, Y = 0.1165037579288856
max of |f(z) - f(z^*)| for 100 points = 1.831990115164217e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 1.717403996792655e-12, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -7.271960811294775e-14, 
confident_r = 15.44893353
1, 0, 1
2, 0, 1.215553633901741
0, 1, 0.4131396713647431
1, 1, -0.1564473271677261
3, 0, 1.501228588446407
2, 1, 1.927123643162588
4, 0, 0.477570636890151
3, 1, 1.656727242038128
-1, 2, -1.427291063583781
0, 2, 0.5021934288346672
1, 2, -0.7365225733823116
5, 0, 0.1706843880540708
4, 1, -0.8293156119443209
2, 2, -0.1901701170528713
5, 1, -0.06463459733177615
3, 2, -0.06463459733122356
6, 0, 1.824823866000338
-1, 3, -0.5984138655507217
4, 2, 2.342522147423397
0, 3, 0.6202170856753597
6, 1, 0.2389675934084747
7, 0, 0.02447576617801347
1, 3, -0.9755242338194086
5, 2, 0.7961712286150227
2, 3, 0.7961712286167132
7, 1, 1.529097282109308
3, 3, -0.2348632001292675
8, 0, -0.6350409107849578
6, 2, 2.01384081944175
4, 3, -0.09292550896422562
-2, 4, -1.734948838981251
8, 1, -0.3014933430934266
-1, 4, -0.301493343099472
0, 4, 0.1973033759784965
9, 0, 1.253687274767333
7, 2, -0.007235608573162264
5, 3, 0.6844597483183145
1, 4, 0.6844597483183056
2, 4, -0.8952826905234496
9, 1, -0.5896705609488139
6, 3, 2.893053106586687
10, 0, 0.2074760281484001
8, 2, -1.008077605749477
3, 4, 0.3077879597673875
4, 4, -0.07471464966562695
10, 1, -0.3042866939199129
7, 3, -0.3042866939177294
9, 2, -0.2591905488662755
-2, 5, -0.2591905488652004
11, 0, 3.713805536037857
-1, 5, 2.713805536035677
5, 4, -0.7557628507413984
0, 5, -0.3426231793734842
1, 5, 0.1576223662044353
8, 3, 0.2232958719872112
