d = 19, symClass = D, r = 17.01132470082819, D = 16, Y = 0.1074614636604094
max of |f(z) - f(z^*)| for 100 points = 1.870059662678614e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -4.013456234019941e-14, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -1.159072837708663e-13, 
confident_r = 17.0113247
1, 0, 1
2, 0, -1.767997278338424
0, 1, -0.1940545152946864
1, 1, -0.8452268865000108
3, 0, 0.5726257714348104
2, 1, -1.280025445902791
4, 0, 2.125814376212019
3, 1, 0.7263354633645874
-1, 2, -0.1538427061220401
0, 2, 0.3430878548903278
1, 2, -0.7237768456810428
5, 0, -1.539321472660722
4, 1, 0.6146357824733018
2, 2, 1.494358834910595
5, 1, -0.654496295856695
3, 2, 0.9825364834042698
6, 0, -1.012400805402953
-1, 3, -0.3499081192200904
4, 2, 2.263081504559968
0, 3, -0.1111206165209781
6, 1, 1.174362342843609
7, 0, 0.2895650146896196
1, 3, 0.1392519646356264
5, 2, 0.5066184626587358
2, 3, -0.009829027719763571
7, 1, 0.5693528737297265
3, 3, -0.4839986979194372
8, 0, -1.99043675305687
6, 2, -1.284159122389332
4, 3, 0.3266150619954363
-2, 4, 0.2719934857160966
8, 1, 1.215940604683499
-1, 4, 0.947883239879208
0, 4, -0.4125238783822879
9, 0, -0.672099725888724
7, 2, 0.2654603418111375
5, 3, 1.272320017114561
1, 4, -1.554217369683753
2, 4, 1.2796354932883
9, 1, 0.02985387176811374
6, 3, -0.7329755584160346
10, 0, 2.721516174152017
8, 2, -1.086674390582195
3, 4, 0.01098414597949631
4, 4, -1.796795466482751
10, 1, 1.061184298838589
7, 3, -0.7802799688982397
9, 2, 0.1196259775199758
-2, 5, -1.347462502028542
11, 0, 1.596182069063351
-1, 5, 0.6807482152543703
5, 4, -0.5372579799610119
0, 5, 0.4927667975545659
1, 5, 0.9207197246889318
8, 3, 0.1300319915061336
11, 1, -0.2841621078381853
2, 5, -1.54240888695195
10, 2, 1.157147669757266
6, 4, -1.737121828526859
12, 0, 1.217296097105164
3, 5, -0.2569367329621779
9, 3, 0.4159184050296283
7, 4, -0.7939928068339339
