d = 19, symClass = D, r = 20.31918212038973, D = 16, Y = 0.133412971140371
max of |f(z) - f(z^*)| for 100 points = 5.068834241228615e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 6.989964163039986e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -3.751443600208404e-13, 
confident_r = 20.31918212039
1, 0, 1
2, 0, -0.7318095169960572
0, 1, 1.523911622575548
1, 1, 0.7430501409007865
3, 0, 0.9147213585124057
2, 1, 1.587104046244017
4, 0, -0.4644548308339885
3, 1, -1.664859319394395
-1, 2, 1.222799202985809
0, 2, -1.115213028462389
1, 2, -0.7958099456429993
5, 0, 2.322306633420603
4, 1, 1.322306633421168
2, 2, -0.5437711647160817
5, 1, 1.132342745873975
3, 2, 1.132342745873232
6, 0, -0.6694017955593643
-1, 3, 0.5065167656087359
4, 2, -1.161457845505342
0, 3, 1.393954509654212
6, 1, 0.2785155916120192
7, 0, 0.5521235118901853
1, 3, -0.4478764881089559
5, 2, 2.418606302309231
2, 3, 2.418606302307378
7, 1, 0.5909056149431396
3, 3, 0.6796838343266021
8, 0, 1.071701982415348
6, 2, 1.21835989439407
4, 3, -0.9506774016796156
-2, 4, -0.8948560941213543
8, 1, 1.179297885185645
-1, 4, 1.179297885185364
0, 4, -0.7077881148659205
9, 0, -0.1632848362823664
7, 2, 1.665706607251882
5, 3, -2.537098466778455
1, 4, -2.537098466779105
2, 4, 0.5823812919419028
9, 1, 1.863437917505585
6, 3, 1.451757969279461
10, 0, -1.699486095723447
8, 2, -0.9676765787260403
3, 4, -0.7619819917500282
4, 4, -0.3451132274906822
10, 1, -1.212744025526507
7, 3, -1.2127440255253
9, 2, -1.23707395185537
-2, 5, -1.237073951854783
11, 0, 2.518899253603257
-1, 5, 1.518899253606118
5, 4, 0.491166824703964
0, 5, 2.015078447279408
1, 5, -0.9038032129389677
8, 3, 0.9086011200714467
11, 1, 1.035789317437332
2, 5, -1.329508174283293
10, 2, -0.8286591979334449
6, 4, -0.8286591979328491
12, 0, -0.4248467538244187
3, 5, 1.126609013019337
9, 3, -1.522882378366757
7, 4, -0.611036575402887
12, 1, -0.5913266922394789
4, 5, -0.5913266922400275
11, 2, 1.95236337673229
13, 0, 1.936427396115384
-3, 6, 1.118520548143658
-2, 6, -0.3706737895911328
10, 3, 0.9825401302772517
5, 5, 1.725590271176664
-1, 6, 0.9825401302768871
8, 4, -0.7371381413119777
0, 6, -1.020109176425259
13, 1, -2.64230496223888
1, 6, -2.642304962238537
12, 2, -0.203820360573685
6, 5, 0.941792097460073
14, 0, -0.4040492405584522
2, 6, 0.3277602764337426
9, 4, 0.7281936634339388
11, 3, 1.30430354917106
3, 6, -0.7279443545958749
7, 5, 1.940709562802903
14, 1, 0.7718867861404839
13, 2, 0.7718867861401143
10, 4, -1.769959109899041
4, 6, -1.769959109897191
15, 0, 2.124263478602539
12, 3, 1.209542120090978
8, 5, 0.8312119214559158
-3, 7, 0.2069299472590576
5, 6, 0.424433147128868
-2, 7, 0.4244331471282222
-1, 7, -1.244681145195831
14, 2, -0.4324303526627218
15, 1, -0.6825241857065903
11, 4, -0.6825241857066492
0, 7, 0.8413874368698092
9, 5, 0.2508114697790849
6, 6, -0.4973990985086941
13, 3, -1.263033184769676
1, 7, -1.263033184771595
16, 0, -0.319826879282573
2, 7, -0.9789147424696271
7, 6, 0.7009140792909931
12, 4, 0.7732519535479476
15, 2, 2.09863820827864
10, 5, 3.68574225452585
3, 7, 2.098638208278552
16, 1, 0.03263518183381124
14, 3, -0.4467476100536602
17, 0, 2.771756553374124
4, 7, 1.771756553375756
8, 6, 0.6957147701438746
13, 4, 0.3763673540531171
11, 5, 0.3763673540540695
-4, 8, -0.5679349969647536
5, 7, 0.9004879344585728
-3, 8, 0.9004879344584148
16, 2, -0.8630214157531905
-2, 8, -0.8630214157530839
17, 1, 0.9682844509945014
-1, 8, -0.728559330207957
15, 3, 1.035778094806699
9, 6, 1.035778094806335
0, 8, 1.633179106940467
6, 7, -2.035788648839378
18, 0, 0.1194933971732688
12, 5, 0.2069510495919278
1, 8, 0.2069510495911691
14, 4, -1.218979947712624
10, 6, 1.85667280354681
2, 8, 1.856672803547211
17, 2, -1.075844828493731
7, 7, -0.3327946875936684
18, 1, 0.7920178905277743
16, 3, -1.329928587284912
3, 8, -1.119291924403407
13, 5, -1.258713339030261
19, 0, 0.4952378908243913
15, 4, -1.448748341737976
8, 7, -1.44874834173427
11, 6, 0.1532019619186903
4, 8, 0.3696177736755282
18, 2, -1.363681602362742
19, 1, 1.797145753714835
17, 3, 1.797145753712011
5, 8, 1.797145753711146
-4, 9, 1.797145753711928
-3, 9, 0.4633217039458609
9, 7, 0.833818616096993
14, 5, 1.324911604470624
-2, 9, 1.324911604469027
12, 6, -1.062410298294581
-1, 9, 0.03538843664689291
20, 0, -1.078606534568787
16, 4, -0.6141517037349978
6, 8, 0.5576256733432859
0, 9, -0.2488316598012886
