d = 19, symClass = D, r = 20.55669751965308, D = 16, Y = 0.1227334322433621
max of |f(z) - f(z^*)| for 100 points = 6.040501432380552e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 4.288236432614667e-14, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 1.051381204320023e-13, 
confident_r = 20.55669752
1, 0, 1
2, 0, 0.522294928881304
0, 1, -0.4545771969687829
1, 1, -0.4981048756097586
3, 0, 1.921064446912859
2, 1, 0.2743561625364669
4, 0, -0.7272080072646521
3, 1, 1.36207097777744
-1, 2, -0.9902964246659043
0, 2, -0.2374233647619159
1, 2, 1.891438548116017
5, 0, 0.2066404280040761
4, 1, -0.7933595719959583
2, 2, -0.2601576505821348
5, 1, 0.2264271181511874
3, 2, 0.226427118151119
6, 0, 1.003362218676938
-1, 3, -1.226634089026758
4, 2, 0.1432948324002752
0, 3, -0.8732720914741788
6, 1, -0.5198340379357771
7, 0, 0.2481084671063849
1, 3, -0.751891532893795
5, 2, -0.1247160553369638
2, 3, -0.1247160553370494
7, 1, 0.5419361793919185
3, 3, -0.9568915673677522
8, 0, -0.9021119833175405
6, 2, 0.7114027644697162
4, 3, 1.328119550617204
-2, 4, -0.5172268006923527
8, 1, -0.1366581422130625
-1, 4, -0.1366581422129683
0, 4, 0.3305721775555969
9, 0, 2.690488609193407
7, 2, -1.353875824765047
5, 3, -0.6191664071505355
1, 4, -0.6191664071506381
2, 4, 0.9878887619717618
9, 1, 0.4501661728926862
6, 3, 0.5270558696404362
10, 0, 0.1079272476484897
8, 2, -0.414367681232945
3, 4, 0.8072672178066734
4, 4, 0.3622258540009982
10, 1, -0.8598048334412778
7, 3, -0.8598048334412767
9, 2, -0.6784541949574343
-2, 5, -0.6784541949576137
11, 0, 0.0752713039220667
-1, 5, -0.9247286960781228
5, 4, 0.815220367395197
0, 5, 0.3606431704262404
1, 5, 0.6586427142903222
8, 3, 0.4932714774248
11, 1, -0.4428074429309883
2, 5, 0.3051062798714219
10, 2, 0.1182617355715383
6, 4, 0.1182617355716432
12, 0, -1.397013448266634
3, 5, 0.8301208548701612
9, 3, 2.616626129580463
7, 4, 0.9792182797739349
12, 1, -0.9421347627327047
4, 5, -0.9421347627325929
11, 2, 1.613989080895965
13, 0, 0.4996432622260141
-3, 6, -1.902423253330878
-2, 6, -0.6406647642917793
10, 3, 0.3951762709227776
5, 5, -0.1029286046867026
-1, 6, 0.3951762709231459
8, 4, -0.1995139982384967
0, 6, -0.4561055849105357
13, 1, 0.3736925665653926
1, 6, 0.37369256656535
12, 2, -0.2715066818736178
6, 5, -0.9808363402242822
14, 0, 0.1295857941821833
2, 6, -0.3927091346991387
9, 4, 0.6718225376544366
11, 3, 0.775824496554671
3, 6, 3.633575348306552
7, 5, -0.2716939268450049
14, 1, 0.5575998858961276
13, 2, 0.5575998858960058
10, 4, -0.06513856325268959
4, 6, -0.06513856325255617
15, 0, 0.3969695795333053
12, 3, -1.524094867379592
8, 5, -1.090673898938252
-3, 7, 1.211946647815664
5, 6, 0.2363046998537551
-2, 7, 0.2363046998539497
-1, 7, -1.121296818765507
14, 2, 0.2830505182736599
15, 1, 0.341792745447446
11, 4, 0.3417927454472347
0, 7, -0.1127844515212397
9, 5, 0.7558375584160711
6, 6, -0.4997796131256236
13, 3, 0.5189278217349296
1, 7, 0.518927821734679
16, 0, 0.2560394930948184
2, 7, -1.814988682446956
7, 6, -0.5769309802409263
12, 4, -0.9905089215026623
15, 2, -0.2176630876844549
10, 5, 0.05669307485209529
3, 7, -0.2176630876845403
16, 1, 0.5051239051136371
14, 3, 0.03160233365625863
17, 0, 1.855237348503796
4, 7, 0.8552373485036944
8, 6, 0.6936701062356003
13, 4, 0.6109924203332237
11, 5, 0.610992420333265
-4, 8, 0.7201514895825188
5, 7, -0.2463518293639818
-3, 8, -0.2463518293639393
16, 2, -0.07137585466830597
-2, 8, -0.07137585466822513
17, 1, -0.1651107980928581
-1, 8, -1.13382616685148
15, 3, 0.4349810864973429
9, 6, 0.4349810864972678
0, 8, 0.4100795367284883
6, 7, -1.348854019433842
18, 0, 1.405228556795279
12, 5, 0.2589318688024246
1, 8, 0.2589318688041669
14, 4, -0.7071224776101421
10, 6, -0.3233874745883348
2, 8, -0.3233874745886811
17, 2, 0.8726257140734562
7, 7, 0.3745208384640291
18, 1, 1.260427559962975
16, 3, -1.115603388734972
3, 8, 0.3554871034689253
13, 5, -0.2360238970531603
19, 0, -0.01931299129420334
15, 4, -0.603732862559001
8, 7, -0.6037328625589076
11, 6, -0.320568965419801
4, 8, -1.375469257439235
18, 2, 0.2351195092558914
19, 1, 0.06212167523017506
17, 3, 0.06212167523014375
5, 8, 0.06212167523017297
-4, 9, 0.06212167523013247
-3, 9, -2.356443137800684
9, 7, -1.769600576696199
14, 5, 2.576273552638291
-2, 9, 2.576273552638369
12, 6, 0.2752786079503654
-1, 9, 0.4774646649433896
20, 0, -0.1502705738691525
16, 4, 0.5769374333955213
6, 8, 0.4216315741125422
0, 9, -1.223034770443526
10, 7, 0.615441077465552
1, 9, 0.6154410774654528
19, 2, 1.179161915910454
18, 3, -0.9986346885733245
20, 1, -1.080612047957586
15, 5, 0.2814589298197607
7, 8, -1.080612047957656
13, 6, -0.2699410532244865
2, 9, -0.2699410532245483
17, 4, -1.873084831674357
21, 0, 0.476632355135929
3, 9, -1.444432091777329
11, 7, -1.82302473035659
8, 8, 0.4493463772363065
4, 9, 1.247363127700208
20, 2, -0.4490717043326283
14, 6, -0.4490717043330349
16, 5, 0.8218662081638899
19, 3, -1.832196285498049
21, 1, 1.847203635696403
12, 7, -0.3365346215018856
9, 8, -0.3365346215015999
5, 9, 0.7856611476220449
-5, 10, -0.2046352770439842
18, 4, -0.3543531855045843
-4, 10, -0.3543531855045732
-3, 10, 0.1103590656308217
22, 0, 0.03931382032868823
-2, 10, -0.482981108552784
-1, 10, -0.3222147023767329
15, 6, -0.2395875798671821
6, 9, -0.2395875798672288
17, 5, 1.638810399812556
10, 8, 0.4257854638113391
0, 10, 0.1883620990493859
21, 2, 0.03737585112011993
20, 3, -0.3669652690752965
13, 7, -0.3669652690753218
22, 1, -0.6615428235550539
1, 10, -0.6615428235550022
19, 4, -0.142619671803945
7, 9, -0.1426196718038842
2, 10, 0.3440057496185183
23, 0, 3.577539781299165
11, 8, 2.577539781299335
16, 6, 0.2576331912208871
18, 5, -0.2062860756084888
14, 7, 0.06807008692813089
3, 10, -0.2062860756084821
8, 9, -1.281571980022354
22, 2, -0.2312760819138494
21, 3, 1.04109432672578
4, 10, 0.1593554627466738
23, 1, 0.4414832577346938
20, 4, -0.1646596133813749
12, 8, -0.1646596133813061
9, 9, -1.340145494011743
17, 6, -0.8495122729253393
5, 10, 0.3908476711259777
-5, 11, -1.500590876990073
15, 7, -1.500590876989966
24, 0, -1.733015258285726
-4, 11, -0.1401329957002272
19, 5, 0.6743721492854562
-3, 11, 0.6743721492855774
-2, 11, -0.1398552386649607
13, 8, 0.6188371894637261
23, 2, 0.3084098062154945
22, 3, 0.3084098062155318
10, 9, 0.3084098062155249
-1, 11, 0.3084098062154622
6, 10, 0.4335679128574551
24, 1, 0.420360578619707
21, 4, 0.4203605786197835
0, 11, -0.03421661834894402
18, 6, 1.366650558258477
16, 7, 0.8642919873061627
1, 11, -1.135436071076785
7, 10, -0.06137700596079912
25, 0, 0.6294194104776211
20, 5, -0.3705805895224126
11, 9, 0.4227789824737864
14, 8, 0.5114407417941343
2, 11, -0.5486745792180159
23, 3, -0.04693629596518147
24, 2, -0.4920722088980626
8, 10, -0.4920722088983082
3, 11, 0.3130041655988478
22, 4, 0.8429783122217991
17, 7, 0.4080141738175782
25, 1, -0.2994039588662484
19, 6, -0.2994039588661268
12, 9, 2.551403249940697
15, 8, -0.2242299655526795
4, 11, -0.2242299655524231
21, 5, 0.1486835305176994
9, 10, 0.1486835305175562
26, 0, 0.2609611421104906
-6, 12, -0.9936260178007447
5, 11, 0.2012901662044369
-5, 12, 0.2012901662045113
-4, 12, 0.8920181315241928
13, 9, 0.03720281828796149
24, 3, -0.2625290983866829
-3, 12, -0.2625290983865067
25, 2, -0.1386943574813149
18, 7, -0.1386943574813496
20, 6, 0.2063985623173893
10, 10, -0.05375908826478127
-2, 12, 0.2063985623172242
23, 4, -0.6938796054397307
16, 8, -0.2474999819212675
26, 1, -0.4021037371094023
6, 11, -0.4021037371093597
-1, 12, 1.369234323782802
22, 5, -0.5334965324045146
0, 12, 0.6350504574409246
14, 9, -0.2590302704363889
27, 0, 3.247537565033082
11, 10, -1.670762693015756
7, 11, -1.670762693015819
1, 12, -1.364430212142784
19, 7, -0.2517415185617439
25, 3, -0.3773540113521596
17, 8, -0.3773540113522295
21, 6, -2.600882712491233
26, 2, 0.1951777324777249
2, 12, 0.1951777324777828
24, 4, 0.3780274748356269
8, 11, 1.007146474977512
27, 1, 1.482571245138302
12, 10, -0.5122858465616464
15, 9, -1.18945857149994
3, 12, -1.189458571500027
23, 5, 1.975558518632775
28, 0, -0.1804264639496747
4, 12, 0.546781543315041
20, 7, -0.4451303008402885
9, 11, -0.4451303008402182
18, 8, 0.3508895045251678
22, 6, 0.4052092002524486
26, 3, -0.7080508563330606
13, 10, -0.7080508563329453
27, 2, 0.3643777832970331
-6, 13, 0.3643777832971405
25, 4, 0.4282729796099473
16, 9, 0.4282729796098738
5, 12, 0.4282729796098821
-5, 13, 0.4282729796098753
-4, 13, 0.3048284081313798
10, 11, -0.7336826323319371
-3, 13, -0.7336826323320422
28, 1, 1.214731352736222
24, 5, 0.7838813618754773
-2, 13, -0.2406004096551725
6, 12, 1.897797978128991
21, 7, 0.3379413423861303
19, 8, -1.024129635391264
-1, 13, -1.024129635391154
14, 10, -0.1419043601991545
29, 0, 0.7144726527288185
0, 13, -0.2271264336271389
23, 6, 0.4606118721327586
11, 11, -0.03749300347703266
17, 9, 0.46061187213273
7, 12, 0.7366009995282847
27, 3, 0.8647982299474378
1, 13, -0.4011803481072047
28, 2, 0.2912315927484532
26, 4, 0.2912315927484159
29, 1, -0.4060652396961373
25, 5, -0.1796381215448606
15, 10, -0.1796381215446556
2, 13, -0.4060652396957105
20, 8, 0.09069451407551828
8, 12, 0.09069451407536401
12, 11, -0.5012909095964181
22, 7, 0.4939793059394352
18, 9, 0.738152130166195
3, 13, 0.5147897891869732
30, 0, 0.2073351983092006
24, 6, -0.7960270203675098
9, 12, 1.550812351286373
28, 3, -0.3714441758322486
4, 13, -0.3714441758339009
16, 10, -0.5696534464787641
27, 4, -0.3280731472725621
13, 11, -0.3280731472736406
29, 2, -1.875026877234307
21, 8, 1.418655101239217
26, 5, 0.7445954967608615
-7, 14, -0.2457009279048231
-6, 14, 0.6329935882290829
30, 1, -0.1698721194376264
23, 7, -0.1698721194374068
5, 13, -0.169872119437175
-5, 14, -0.1698721194372014
19, 9, 1.350853321271299
10, 12, 0.1234207464042751
-4, 14, 0.1234207464043809
-3, 14, 0.9396963915805089
25, 6, 0.4458658342241897
14, 11, 0.4458658342242831
-2, 14, -0.585647642212221
17, 10, 0.2205645462800783
6, 13, 0.2205645462801519
31, 0, 0.468809605710046
-1, 14, 0.8177664054018227
29, 3, -0.1519749255828843
11, 12, -0.1519749255830421
28, 4, -0.3941003290804567
30, 2, 0.1785166176754492
22, 8, 0.1785166176755572
0, 14, -0.05890674708649045
20, 9, -0.3053952060274024
7, 13, -0.3053952060273402
27, 5, -2.32010300041818
24, 7, -2.32010300041837
15, 11, -0.3526721249836087
1, 14, -0.3526721249834981
31, 1, 1.24057660677508
18, 10, 0.3947701238189728
12, 12, 0.6958592098740398
26, 6, 0.2710333697474988
2, 14, 0.2710333697475443
8, 13, -0.6343330122678748
32, 0, 1.035840112154357
3, 14, -0.2588231428592124
23, 8, 0.7313545087722052
30, 3, -1.651740496808179
21, 9, -1.651740496808108
29, 4, 0.7381555417574687
16, 11, 0.7381555417574254
31, 2, -0.4134872451561807
9, 13, -0.4134872451561984
25, 7, 0.1235058636985185
13, 12, 0.1235058636985613
28, 5, 0.4189038781383591
19, 10, -0.03624664922324972
4, 14, -0.9479593848192083
32, 1, -1.413822631974076
-7, 15, 0.6953538448059615
27, 6, -1.303354232791717
-6, 15, -1.303354232791895
-5, 15, -0.2534721931608347
10, 13, 0.9731618958659198
5, 14, 0.9731618958659786
17, 11, -0.9832341379741533
-4, 15, -0.9832341379743021
14, 12, -0.3013281252943543
22, 9, -1.093345611291102
24, 8, -1.228740551182355
33, 0, 0.1446010258366436
-3, 15, -1.776463421076039
31, 3, -0.4877533994415725
-2, 15, -0.4877533994415552
30, 4, -0.1136843269022185
20, 10, 0.02961050549788031
6, 14, -0.1136843269022375
26, 7, -0.5289289305493892
32, 2, 0.2638236540975641
11, 13, 1.081584223151504
29, 5, 0.2214787360189844
-1, 15, 0.2214787360188315
0, 15, 0.6928187727278993
15, 12, 1.566090864202166
33, 1, -1.422156629317368
18, 11, -1.422156629317332
7, 14, 0.4692819187985113
28, 6, 0.01650573860937764
23, 9, -0.8039358303751829
1, 15, -0.8039358303751694
25, 8, 0.4957954837864907
12, 13, 0.49579548378645
21, 10, 1.343047272057794
34, 0, 0.9689810589948502
8, 14, 0.4466861301134179
2, 15, -0.536677460848892
27, 7, -0.7063936100034686
32, 3, -0.550923310039974
31, 4, -0.5509233100398779
16, 12, -0.965819171813742
33, 2, 0.4124153098455512
30, 5, -0.1074187280900881
19, 11, 0.4124153098455556
3, 15, 1.265295101641689
13, 13, -0.2488747449803456
9, 14, -0.8606296428395046
34, 1, 0.5097159648446534
29, 6, 0.5097159648446122
24, 9, 0.9476062979571649
4, 15, -0.2593733691835258
26, 8, 0.3191182427251027
22, 10, 0.3191182427251019
17, 12, -0.09163260236609062
-8, 16, 0.8933582717276289
-7, 16, 1.777922854031591
10, 14, -0.1286683111974346
-6, 16, -0.128668311197398
14, 13, -0.2072988229602703
35, 0, 0.05126923983433768
28, 7, -0.1968392272721677
20, 11, 0.5965203447241683
5, 15, -0.1553711881697684
-5, 16, 0.5965203447240643
32, 4, 0.09937889527524585
-4, 16, 0.09937889527517789
33, 3, -0.8506616354432984
31, 5, 1.808993094914564
-3, 16, 1.808993094914762
34, 2, -0.08623653254747787
6, 15, 0.5861288267907268
-2, 16, -0.5921916571795364
25, 9, -0.3435865186684962
11, 14, -0.3435865186686137
23, 10, 0.002503513781225218
30, 6, 0.2271884156366224
18, 12, 0.2271884156368185
35, 1, -0.2358927546335048
27, 8, -0.2358927546334613
15, 13, -0.235892754633327
-1, 16, -0.2358927546333253
21, 11, 0.4404319788757843
7, 15, -0.06732944018753892
0, 16, -0.1163897150843899
29, 7, -0.8930437546430077
12, 14, -0.7044996141517201
36, 0, -1.95654486005933
1, 16, -1.743140905051692
33, 4, -1.872848558785878
34, 3, -0.1078190161904924
32, 5, -0.1861380893846127
8, 15, -0.1861380893849223
19, 12, -0.1861380893854022
16, 13, -0.1861380893896337
35, 2, 0.8250524677956678
26, 9, 0.8250524677950903
24, 10, 0.1352388020019243
2, 16, 0.1352388020014811
31, 6, -0.02359881971867916
28, 8, 0.9845493406111481
22, 11, -0.2537050164432302
13, 14, -0.5280611789801071
36, 1, 0.4885593632411017
3, 16, 0.4885593632407836
9, 15, 1.59471566093175
30, 7, 0.2622596678420616
17, 13, 0.2622596678421446
20, 12, 0.4502627691093063
4, 16, 0.450262769109049
37, 0, 1.667995671688314
34, 4, 0.4557679852722459
14, 14, 0.1956103346900002
-8, 17, 0.297556572767064
35, 3, 0.2236607316199525
25, 10, 0.09894467628311102
10, 15, 0.09894467628319585
-7, 17, 0.2236607316201364
27, 9, 3.664636450623298
33, 5, -0.3346380815501097
-6, 17, -0.3346380815500717
5, 16, -0.2296178089085238
-5, 17, -0.2296178089084404
23, 11, -1.315232042504931
36, 2, 0.6583149227910847
29, 8, -0.3864419643512607
-4, 17, -0.3864419643513817
32, 6, -0.5826739925792268
18, 13, 1.025038980320671
-3, 17, 1.025038980320816
37, 1, -1.84407496842704
11, 15, -1.844074968426874
6, 16, 0.1856691114244548
21, 12, 1.881141423040853
15, 14, -0.01436570025096873
-2, 17, -0.01436570025103272
31, 7, -0.215106315617243
-1, 17, -0.5888080511784123
26, 10, -0.1232740845256797
28, 9, 0.1807026875754925
7, 16, 0.1807026875753578
38, 0, -0.01008707741453963
35, 4, -0.388771396625853
24, 11, -0.388771396625871
0, 17, -0.8433485935948817
36, 3, -1.809901596886684
12, 15, -1.809901596886856
34, 5, -0.9336793737818964
19, 13, -0.02084155522887599
30, 8, -0.3153266125136056
16, 14, -0.3153266125136455
37, 2, 0.13533206963507
1, 17, 0.1353320696350209
33, 6, 3.100577041015042
22, 12, -0.167431544995411
8, 16, -1.706289379964565
2, 17, 0.01253520034846391
38, 1, 0.514083046346284
13, 15, 0.06151069755463129
32, 7, -1.259410836313026
27, 10, -0.4389251685145322
25, 11, -0.2777432218042723
20, 13, -0.2777432218043017
9, 16, -0.2777432218042146
3, 17, -0.2777432218042428
29, 9, -0.1214869507850542
17, 14, -0.1214869507852303
36, 4, -0.3273644455273872
39, 0, 0.959846907202242
37, 3, -0.4299502553314379
35, 5, 0.1119859240605007
23, 12, -0.4299502553315198
31, 8, 0.08370778811126768
4, 17, 0.08370778811148162
14, 15, -0.3483467454013968
-9, 18, -2.664381250288197
38, 2, 0.03244583594631736
34, 6, 0.03244583594632229
10, 16, 0.0324458359463069
-8, 18, 0.03244583594630223
-7, 18, -0.002957915110698515
-6, 18, -1.230758301070775
5, 17, 0.07505560378623589
-5, 18, 0.07505560378628312
18, 14, -0.924253407354012
21, 13, 1.860336693997805
28, 10, 1.345574611954398
-4, 18, 1.345574611954375
39, 1, 0.5154115207772015
33, 7, 0.5154115207772308
26, 11, -1.289775666724937
30, 9, 0.7591590843335032
15, 15, -0.1977324830343626
-3, 18, 0.7591590843335303
11, 16, 1.34073838870627
6, 17, 0.4763086316927667
24, 12, -0.3832792486783819
-2, 18, 0.2493773732199324
37, 4, 0.6998909542040955
40, 0, -0.1864128063403203
32, 8, 0.7156991769772835
36, 5, -0.2011987630728061
38, 3, 0.5432699867615188
-1, 18, 0.5432699867614507
19, 14, 0.408061704837087
7, 17, -1.239652933103463
35, 6, 0.6131582792744487
22, 13, 0.6131582792745609
12, 16, -0.5870511847913776
39, 2, -1.402319995511439
0, 18, -0.6387848584482871
16, 15, 1.411601506915749
29, 10, -0.6036765342559969
27, 11, -0.6036765342559196
34, 7, 0.2277487721836701
1, 18, 0.2277487721837636
40, 1, -0.117704523126641
31, 9, -0.1177045231267352
25, 12, -0.1177045231265758
8, 17, -0.1177045231266533
13, 16, 1.882949240162898
20, 14, 0.3214417537855296
2, 18, 0.3214417537855382
17, 15, -1.057182317871488
33, 8, 0.5585234124330781
23, 13, 0.5585234124328516
38, 4, 0.6158702890101904
37, 5, 2.512056514543999
9, 17, 2.512056514544077
41, 0, 0.7359144673202934
39, 3, 0.7178875037043772
3, 18, 0.717887503704529
36, 6, -0.5215818336468768
28, 11, -1.434064557203998
40, 2, -0.5643981927364773
30, 10, 0.1470045717332407
14, 16, -0.5643981927364984
26, 12, -0.1409888431959807
4, 18, -0.1409888431959237
35, 7, -0.1702486329553682
21, 14, -0.1702486329552842
10, 17, -0.396675751106475
-9, 19, -0.3966757511065109
32, 9, 1.099555248685568
-8, 19, 1.099555248685614
18, 15, -1.884249821445308
-7, 19, 0.7950643791181556
41, 1, 0.2686545695243597
-6, 19, 0.2686545695243958
24, 13, 0.5802640927104111
5, 18, -0.5729616271903643
-5, 19, -0.5729616271902446
15, 16, 0.5071278613800628
-4, 19, 0.5071278613801034
34, 8, -0.9783027089480341
11, 17, -1.228883571315559
39, 4, -0.3764863730160011
-3, 19, -0.3764863730160154
38, 5, -0.7315919649023152
42, 0, 0.248942662028176
6, 18, -0.7544195566487065
40, 3, -0.1615963310534919
29, 11, -0.1615963310534149
37, 6, -0.2584804780956325
31, 10, -0.2584804780955995
19, 15, -0.2584804780955529
-2, 19, -0.2584804780954699
22, 14, -0.9521565718906047
27, 12, 1.290614391722674
41, 2, -1.42860579005766
-1, 19, -1.239249444555925
33, 9, 1.490408857375492
16, 16, -0.1275345198592119
36, 7, 0.442807850610466
12, 17, 0.4428078506105136
25, 13, 0.1072910815399914
7, 18, 0.1072910815400889
0, 19, 0.008779245447576569
42, 1, 1.415723181952076
35, 8, -1.053676358237039
20, 15, 0.2744431923801374
1, 19, -1.053676358236973
8, 18, 0.6514914360709838
23, 14, -0.4840740377386296
30, 11, 0.1457233417356714
13, 17, 0.1457233417356033
40, 4, 0.6252569595634559
28, 12, 0.6252569595635231
39, 5, 0.9040547119032851
17, 16, 0.9040547119034237
32, 10, 0.4292565527427626
2, 19, 1.367564923381214
43, 0, 1.504631188362498
41, 3, 0.5046311883625489
38, 6, -0.9569468286309786
26, 13, 0.1370802080615336
9, 18, 5.088893868695581
34, 9, 0.3210998073665675
42, 2, 0.9647850915356913
3, 19, 0.6680350390034318
37, 7, 1.041867095249919
14, 17, -1.128531348163057
21, 15, -0.5219415433040671
24, 14, -0.1757703262034439
18, 16, -0.1757703262034335
43, 1, 0.2873721341481842
4, 19, 0.2873721341481585
10, 18, 0.4103468332222018
-10, 20, -0.1068799674699381
-9, 20, -0.5085510634359131
36, 8, 0.4933773231353656
-8, 20, 0.4933773231354315
31, 11, 0.7534012924908323
29, 12, -2.560772924323228
-7, 20, -2.56077292432312
-6, 20, 0.05763998033527699
33, 10, -0.799433839543937
41, 4, 0.1084190452159634
40, 5, -0.02823909699713459
27, 13, 0.1084190452159379
15, 17, 0.1084190452158253
5, 19, 0.1084190452157844
-5, 20, -0.02823909699733159
42, 3, 1.071185316397987
39, 6, 1.07118531639809
44, 0, -0.0547378949290299
-4, 20, 0.6724701123352814
22, 15, -0.2516046799242038
11, 18, -0.2516046799242808
35, 9, 0.8044200699090356
19, 16, 0.8044200699090334
-3, 20, -1.20380587863823
43, 2, -1.17111521018354
38, 7, -1.171115210183511
25, 14, -1.171115210183528
6, 19, -1.171115210183164
-2, 20, -0.1682911050624238
16, 17, -0.2730809783877887
30, 12, -0.1251353779880743
12, 18, -0.1251353779876365
32, 11, -0.01574127647499793
-1, 20, -0.01574127647435182
44, 1, -0.2170445490410616
37, 8, -0.2170445490419477
7, 19, -1.09523664977245
28, 13, -0.8167419815347635
34, 10, 0.8559423612190289
23, 15, -0.150092132303174
20, 16, -0.592834778855146
0, 20, -0.2622626013000502
41, 5, 1.359569090382264
42, 4, 0.01952121750208868
40, 6, -0.1916640991136843
26, 14, -0.1916640991144152
1, 20, 0.6376461515682764
8, 19, 0.6376461515685387
43, 3, -0.425997893093165
17, 17, -0.9241027687034263
