d = 163, symClass = D, D = 4.828125
[3.314920592159041, 3.314969326456665], 3.314925695179948
1, 0, 1
2, 0, -0.8135361324476946
3, 0, 0.1467696517178238
4, 0, -0.3395618475802872
5, 0, -0.4800858827368953
6, 0, -0.1216169870407353
0, 1, 0.1264691543742286
1, 1, -0.5077312937855525
2, 1, 1.595021366646675
7, 0, 0.9174646868157209
3, 1, 0.05455805884246
4, 1, 1.803037350249741
8, 0, 1.087064486099642
5, 1, -0.3433872062810429
9, 0, -0.9784859831409144
6, 1, -0.2511697510454767
7, 1, -0.2226292093345087
10, 0, 0.3944618690797971
8, 1, 1.033861577150218
11, 0, -1.10932689337273
9, 1, -1.240469280146633
12, 0, -0.04917290880729173
10, 1, -0.919649059559388
-1, 2, -0.6101081013640088
0, 2, -0.09867736028095267
1, 2, -0.7567061061970231
13, 0, 1.190055917647071
2, 2, 0.4155823691652094
11, 1, 0.8562041807265092
3, 2, -0.02630133588311638
4, 2, -1.302153580177438
14, 0, -0.7480028885317661
12, 1, 1.670152484974718
5, 2, -0.573535624421997
6, 2, -0.04501171128575553
13, 1, 1.146213266897416
15, 0, -0.06988337259669211
7, 2, 1.030399287736189
8, 2, -1.471471218049913
14, 1, 0.04324701470866183
16, 0, -0.5503915032003391
9, 2, -0.4966002669477753
15, 1, 0.3995794331003547
10, 2, 0.2810518213667006
17, 0, 1.887572279760942
11, 2, 0.7623377850458148
16, 1, -0.2987031687553133
18, 0, 0.7926738216855483
12, 2, 0.2012158647950631
17, 1, 1.820150379566177
13, 2, 1.21183710402875
19, 0, 0.3100916496151945
-1, 3, -1.732976736641895
0, 3, 0.01620817466257977
1, 3, -0.6890471138979281
2, 3, 0.2352599572616847
18, 1, -0.7340784166683362
3, 3, -0.07677004591060455
14, 2, 0.1797054730308526
4, 3, -0.0008124214164570646
20, 0, 0.1619054887852716
5, 3, -1.796660916961082
15, 2, -0.9011893237739995
19, 1, 1.453393271563334
6, 3, 0.2363716540444535
7, 3, 0.4663738160906374
21, 0, 0.1401081282234454
16, 2, -0.8438713933180225
8, 3, 0.4271594888343663
20, 1, -0.6396186133389578
9, 3, 0.002509541438880091
22, 0, 0.897627957886039
17, 2, -0.3373799511538634
10, 3, 1.003360825871423
21, 1, -0.03827203347080396
11, 3, 0.2091809327829172
18, 2, 1.007818411470647
23, 0, 1.743988349734387
22, 1, 0.9578605238602801
12, 3, 0.2679919993986187
19, 2, 1.639814515529459
24, 0, 0.1633500856084252
13, 3, -0.9367377548619091
23, 1, -0.03032416592598704
20, 2, 0.7568405589154523
14, 3, -1.806738044281209
25, 0, -0.7982764533646016
15, 3, -0.03311538653993373
24, 1, -1.244464566908601
21, 2, -0.1206859516185234
-2, 4, 0.4974105465304626
-1, 4, 1.20846271373021
0, 4, -0.03934449872557903
1, 4, 1.602272307088353
2, 4, 0.6049828977375323
16, 3, 0.6147390617622135
26, 0, -0.977267800540821
3, 4, 0.07116645094855624
4, 4, 0.1625009090534567
25, 1, -1.066135639856838
22, 2, -0.6956074192304724
5, 4, -0.3762340804940614
17, 3, -0.03491751838014879
6, 4, 0.0279480943328821
27, 0, -0.2976564349086622
7, 4, -0.6400936359982996
23, 2, 1.887838591254776
26, 1, 0.02557019553959605
18, 3, -0.04009055287632648
8, 4, -0.5414639760657103
9, 4, -0.04154792513051134
28, 0, -0.3097017169288256
19, 3, -0.5776812847184872
24, 2, -1.36104256814782
10, 4, 0.4640066986916958
27, 1, 1.799129638428144
11, 4, 1.334342026660194
20, 3, 0.2589009814718128
25, 2, 0.4083348374200588
29, 0, 1.484149093096442
12, 4, -0.01853142612062826
28, 1, 1.500213448351619
21, 3, -0.03452104414590298
13, 4, -0.5359124027649073
26, 2, -0.935400456216778
30, 0, 0.06312596765784174
14, 4, -0.8385196200046505
29, 1, -0.2498550497235073
22, 3, -1.419522995452984
15, 4, -0.1680079273367807
27, 2, 0.6964608210661879
31, 0, 0.9513669525669822
23, 3, -1.687503403284473
30, 1, -0.7021083673018036
16, 4, -0.6048183179549356
28, 2, -0.03291333512913933
17, 4, 0.06573355346437557
24, 3, 0.1508326102839208
-2, 5, 1.625788928740629
-1, 5, -0.9472256994898616
32, 0, -0.6431928084850278
0, 5, -0.06155396402640927
1, 5, -0.5501997667757654
31, 1, -1.22716892508106
2, 5, -0.03650904789529186
3, 5, 1.620183030063966
18, 4, 0.407175062384914
4, 5, 1.471704790468699
29, 2, -0.5551432075144361
25, 3, -1.485023798463535
5, 5, 0.2525577893526968
33, 0, -0.1676205872903569
6, 5, 0.5221790137460645
19, 4, -1.414673736938206
32, 1, 0.7062226967496393
7, 5, 0.0526316550696367
26, 3, -1.057101118974548
30, 2, -0.3233040209834084
8, 5, -0.5022499991192734
20, 4, 0.1175565186527109
9, 5, 0.2930890979970671
34, 0, -1.538666283401626
33, 1, -0.5811252454870333
10, 5, -0.7777448505187556
27, 3, -0.187108853872816
21, 4, -1.228936137440994
31, 2, 0.2332061616765181
11, 5, 0.09239228333396081
35, 0, -0.4436305490158927
22, 4, -0.6172170237125533
12, 5, -0.3506147847567039
34, 1, -0.3702519739470875
28, 3, 0.3329217023172817
32, 2, 0.2458242581196748
13, 5, -1.744100553095421
23, 4, 0.9253518472976309
