d = 67, symClass = D, D = 7.875000
[8.755757805541805, 8.755781672438486], 8.755781657422862
1, 0, 1
2, 0, 1.152358714511014
3, 0, 1.572584172923943
4, 0, 0.3279298184114592
0, 1, -1.616323052436203
1, 1, 1.574826655106216
2, 1, -0.005524811699628284
5, 0, 0.5402701157236045
3, 1, -1.342585356799986
6, 0, 1.812179390104896
4, 1, -1.347544673254569
5, 1, -1.501737121393814
7, 0, 1.258768179790762
6, 1, 1.000403860748273
8, 0, -0.7744651766372193
-1, 2, -0.1880802207448023
0, 2, -1.862583368416641
1, 2, 0.3229801638047368
7, 1, 0.9551629558205571
2, 2, 1.81476471683454
9, 0, 1.473018767427116
3, 2, 0.3216073922189091
8, 1, -0.01092763484819623
4, 2, -0.006365937484323263
10, 0, 0.6225845781995976
5, 2, 0.8336933548669792
9, 1, -0.8857007407513939
6, 2, -1.547139903316001
11, 0, 1.968820243455199
10, 1, 1.110091957099297
7, 2, 1.423672998323013
12, 0, 0.5156971363412474
8, 2, -1.552854810098197
11, 1, 0.3373381087973282
-1, 3, 0.1167803084299604
0, 3, -2.541802697233538
1, 3, -1.254012499730093
2, 3, -0.1628332685979717
9, 2, -1.165899566626633
13, 0, 1.18270646232067
3, 3, 2.476545001541981
12, 1, 1.231868577011374
4, 3, 0.6303261367938522
10, 2, -1.730539062859198
5, 3, 0.412189121063102
14, 0, 1.450552293211513
13, 1, 0.958615482476921
6, 3, -0.008686609711280662
11, 2, 1.38184266070289
7, 3, -0.6303480447948108
15, 0, 0.8496202126097389
14, 1, -0.9002941562521239
12, 2, 1.152823079494602
8, 3, 1.166863889432944
16, 0, -1.22039150095152
15, 1, -1.390697406105305
9, 3, -2.11132873358796
13, 2, 1.308811688889082
-2, 4, -0.2167360738235355
-1, 4, -0.2323361470367599
0, 4, -0.5300403855416626
1, 4, 0.5318828521238045
10, 3, 0.6211302473331155
2, 4, 0.3721895407606055
17, 0, 2.612501043755652
16, 1, 1.612500697076174
14, 2, 1.10068957173125
3, 4, 1.003275968657699
4, 4, 0.5164327065814813
11, 3, -1.583405127126588
5, 4, 1.059737085335421
17, 1, -2.54542827979312
15, 2, -2.545428287525359
18, 0, 1.697446017828707
6, 4, 0.3706070848882145
12, 3, -2.119127277966961
7, 4, -1.268176035577805
16, 2, -0.01259272127978192
18, 1, -1.062658580581434
19, 0, 2.480077802317958
