d = 19, symClass = C, r = 13.81096806450012, D = 16, Y = 0.1040473511238024
max of |f(z) - f(z^*)| for 100 points = 2.581823643765802e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -4.427291866448968e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 9.988537774674455e-14, 
confident_r = 13.81096806
1, 0, 1
2, 0, 0.7959929865312384
0, 1, -0.2831956436940183
1, 1, 0.04353840214930308
3, 0, -1.191360718439914
2, 1, 0.1236578148916971
4, 0, -0.3663951653935028
3, 1, 0.4364363451709171
-1, 2, -1.084068131387444e-14
0, 2, -0.2254217461961954
1, 2, -0.7363722360539471
5, 0, 0.05501099660458197
4, 1, 0.8946114513900548
2, 2, 0.03465626275552196
5, 1, 0.1812741897486964
3, 2, 0.2059339613924093
6, 0, -0.9483147763067935
-1, 3, -0.3409361863028748
4, 2, 0.09843075338364433
0, 3, 0.3373881655310082
6, 1, -0.6389436743083725
7, 0, -1.48616949150548
1, 3, -0.4899606764290566
5, 2, -0.06054261741770155
2, 3, 0.009496091554490398
7, 1, -0.3766125363700724
3, 3, -0.0518699420641024
8, 0, -1.087640968482936
6, 2, 0.3474002698231545
4, 3, 0.4107831731638102
-2, 4, -2.076787807903343e-15
8, 1, 0.2015588475177027
-1, 4, 0.1907911201702605
0, 4, 0.1037615147100437
9, 0, 0.4193403614423344
7, 2, 1.545797900741371
5, 3, -0.1246747868986032
1, 4, 0.1225189565056001
2, 4, -0.5861471353751343
9, 1, 0.1588335883990112
6, 3, -0.1473210631900879
10, 0, 0.04378836747993221
8, 2, 0.7121044409765134
3, 4, 0.07578276247246994
4, 4, -0.01595226005609662
10, 1, 0.1210552942304989
7, 3, -0.296019524545362
9, 2, 0.0272867318160369
-2, 5, 0.01071675040104113
11, 0, -0.01057093639691549
-1, 5, -0.9588465532355174
5, 4, -0.5222790062591629
0, 5, 0.2676167691006928
1, 5, -0.5352865609893556
8, 3, -1.220814780687944
11, 1, 0.9646975778758738
2, 5, -0.3309426563176237
10, 2, 0.1442929836794805
6, 4, 0.1639219889567121
12, 0, 0.4365088074764607
3, 5, -0.3050432262563554
9, 3, -0.5199531177361613
7, 4, 0.1280830638923856
12, 1, 0.6403379831239693
4, 5, 0.7044589242133358
11, 2, -0.1619504957572304
13, 0, -0.7328663321232821
-3, 6, -1.830270453696071e-16
-2, 6, -0.2713828131520019
10, 3, -0.07070570846819256
5, 5, 0.002395090893100637
-1, 6, 0.1486056147436076
8, 4, -0.04530762553949829
0, 6, 0.2685586135009499
13, 1, 0.05287653572968866
1, 6, 0.05506099383661923
12, 2, -0.5085946835380243
6, 5, 0.9152988538612308
14, 0, -1.182980492034688
2, 6, -0.3900052621135037
9, 4, 0.4706053900167029
11, 3, -0.5519001258174414
3, 6, 0.8772849561847852
7, 5, 0.1609427722335094
14, 1, -0.07703976986113925
13, 2, -0.2701430553382835
10, 4, -0.04819149885416586
4, 6, 0.007558822278197523
15, 0, -0.06553794043659515
12, 3, -1.065804941452893
8, 5, 0.2306461625020738
-3, 7, -0.1910814554429508
5, 6, -0.009645475708958904
-2, 7, -0.371537605968446
-1, 7, -0.5940477195509578
14, 2, -0.2997809375904104
15, 1, 0.1556131533459306
11, 4, -0.1218963049464351
0, 7, 0.4208767257857747
9, 5, -0.1649865581660239
6, 6, -0.0412881100945386
13, 3, -0.1797019897851427
1, 7, 0.002414373529587912
16, 0, -0.4993594173827989
2, 7, 0.006545334695395893
7, 6, -1.06585097438577
12, 4, -0.1599081668726065
15, 2, 0.1250818510059196
10, 5, 0.006802539635184921
3, 7, 0.09616954350587709
16, 1, 0.7348199431757191
14, 3, 0.8325960922416797
17, 0, 0.1904305556514082
4, 7, -0.8094771888797313
8, 6, 0.3269805248233553
13, 4, 1.31940144228183
11, 5, 1.349089075855185
-4, 8, 1.615136660290337e-15
5, 7, 0.2769276174117408
-3, 8, 0.06361755809057074
16, 2, 0.1604394289969243
-2, 8, 0.1518683935476055
17, 1, 1.237646126512919
-1, 8, -0.4995052475992722
15, 3, -0.215962948933164
9, 6, -0.2453416321959165
0, 8, 0.3080151841775778
6, 7, 0.006797040816397769
18, 0, 0.3337919866779224
12, 5, 1.437091779453889
1, 8, -1.492728952739675
14, 4, 1.230444287584768
10, 6, -0.09924025596860016
2, 8, 0.09752423009602398
17, 2, -0.1073696549181149
7, 7, -0.10824384713225
18, 1, 0.5443360396045055
16, 3, -0.3959690403856123
3, 8, -0.4794017656906459
13, 5, -0.1828028296800282
19, 0, -0.001561520933580916
15, 4, -0.2207854567535802
8, 7, 0.01187855353265877
11, 6, -0.1541656667391569
4, 8, 0.2698032272202755
18, 2, 0.12643042239119
19, 1, -0.03120179923438188
17, 3, 0.07686062894131572
5, 8, -0.03202868854014926
-4, 9, 0.08213248658975544
-3, 9, 0.4061779798557855
9, 7, 0.3633346749564961
14, 5, -0.325123270888347
-2, 9, 0.3176359438887926
12, 6, -0.1172665330678262
-1, 9, -0.4387006246891016
20, 0, -0.02015576319904985
16, 4, -0.3277813106951993
6, 8, 0.06032254742820543
0, 9, -0.1187553635856267
10, 7, -0.4903747342581117
1, 9, 0.3851517287842324
19, 2, 0.8950654622421342
18, 3, 0.76121239486659
20, 1, 0.3910514739679872
15, 5, 0.02400879830263269
7, 8, 0.3898304304166795
13, 6, -1.325133465201346
2, 9, 1.292339249075205
17, 4, 0.5516384865114013
21, 0, 1.770563953123943
3, 9, 0.5837199034777752
11, 7, -1.151954239069277
8, 8, -0.04735414987964194
4, 9, 0.06174247178655959
20, 2, 0.09635916518971975
14, 6, -0.23562946541434
16, 5, 0.8676693778448833
19, 3, 0.01331997333716551
21, 1, 0.4948315365355745
