d = 19, symClass = C, r = 13.536341712329, D = 16, Y = 0.1124358280399251
max of |f(z) - f(z^*)| for 100 points = 2.528199871676406e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 1.024527684911902e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -4.989342272665453e-13, 
confident_r = 13.5363417123
1, 0, 1
2, 0, 1.781109102600585
0, 1, 0.01769205432285284
1, 1, -1.004630967915668
3, 0, 1.578899619580222
2, 1, -1.824912324304128
4, 0, 2.172349635367354
3, 1, 0.3766256427835911
-1, 2, 6.771802476943994e-15
0, 2, 0.03151147899803478
1, 2, 0.7704272591867576
5, 0, 0.0003130087859158447
4, 1, 0.9996869912139945
2, 2, -1.789357361708534
5, 1, -0.01777398565848776
3, 2, 0.0177739856584751
6, 0, 2.812192484527155
-1, 3, 0.7205380860656487
4, 2, -3.250367952266312
0, 3, 0.0279339778397549
6, 1, -1.450625920520032
7, 0, 1.009283381694699
1, 3, -0.009283381694991939
5, 2, -0.03228644797574055
2, 3, 0.03228644797577312
7, 1, 0.1721848728358511
3, 3, -1.586211453060503
8, 0, 2.088082606983438
6, 2, 0.670811360634551
4, 3, 0.2621137828357108
-2, 4, -5.143362625725531e-15
8, 1, 1.83336343472628
-1, 4, -1.833363434726162
0, 4, 0.03843332775660874
9, 0, 1.49292400871093
7, 2, 0.200728603116292
5, 3, 0.006663281331178751
1, 4, -0.006663281331148763
2, 4, 1.372215004229052
9, 1, -2.819133437957799e-14
6, 3, -2.881353374611062
10, 0, 0.000557502798010755
8, 2, 1.780551599802708
3, 4, -0.3374190404356102
4, 4, -2.182409716829763
10, 1, 0.01363044092076837
7, 3, -0.0136304409208247
9, 2, -0.3783697840509694
-2, 5, -0.3783697840510599
11, 0, 3.330304991396867
-1, 5, 2.330304991397066
5, 4, 0.03537857087672273
0, 5, -0.01768651655398661
1, 5, -1.575055151299739
8, 3, -1.288175895519839e-14
11, 1, 0.03533844092710776
2, 5, 1.090162679850778
10, 2, -0.0316574076463038
6, 4, 0.03165740764622579
12, 0, 3.429922012876773
3, 5, -0.5008479074329585
9, 3, 0.5946540841150272
7, 4, 1.874092058951187
12, 1, -0.7739950831049123
4, 5, 0.7739950831049701
11, 2, -0.5869616844840333
13, 0, 0.7333355752443008
-3, 6, -4.338242997913332e-14
-2, 6, 1.283356943862989
10, 3, -1.004316509595728
5, 5, -0.0003144583223174992
-1, 6, -1.004316509594485
8, 4, -3.964347622277892
0, 6, 0.0497534622025019
13, 1, -0.6873087771641657
1, 6, -0.6873087771641415
12, 2, -2.58372303150654
6, 5, 1.386182244463145
14, 0, 1.797643818239784
2, 6, -0.01653471563927963
9, 4, 1.018781674693919
11, 3, 0.8269913913227235
3, 6, 1.216427306443922
7, 5, 5.897245242411475e-15
14, 1, 0.01274779896049508
13, 2, -0.01274779896046547
10, 4, -0.05750568638025459
4, 6, 0.05750568638035396
15, 0, 0.0004942094531814914
12, 3, 1.57840541012704
8, 5, 1.980053701936525
-3, 7, -0.5208466250743689
5, 6, -0.02566455258776855
-2, 7, 0.0256645525877317
-1, 7, 1.442376137634561
14, 2, 0.3066800443382651
15, 1, -0.0001642420931367436
11, 4, 0.0001642420930911099
0, 7, 0.01785629641585395
9, 5, 0.190163782806878
6, 6, -2.825215657695365
13, 3, -1.405962200269509
1, 7, 1.405962200269547
16, 0, 1.546753302912839
2, 7, -0.6054364714300282
7, 6, -0.4178871252911504
12, 4, 0.8181625777702352
15, 2, -1.82434111071231
10, 5, -0.000571213591717277
3, 7, -1.824341110712252
16, 1, 0.8459709178893028
14, 3, 0.0418523233193514
17, 0, 0.1418468748016308
4, 7, -0.8581531251992296
8, 6, 0.4668532445268821
13, 4, -0.7238748748240311
11, 5, 0.7238748748241985
-4, 8, 2.10059341285112e-14
5, 7, 0.003046304124063576
-3, 8, -0.003046304124145458
16, 2, 3.265420301967036
-2, 8, -3.265420301966909
17, 1, 0.3653654523419192
-1, 8, -1.244161676830707
15, 3, -0.0280633391946416
9, 6, 0.02806333919470057
0, 8, 0.03694247091302258
6, 7, -4.557319556615247e-14
18, 0, 2.659060541405965
12, 5, 1.457343722615377
1, 8, 1.457343722615464
14, 4, 0.357519542162554
10, 6, 0.01186803103255102
2, 8, -0.01186803103255407
17, 2, -0.9953045951779053
7, 7, -0.00932637273779493
18, 1, -0.9614363377251072
16, 3, 0.8510439460201367
3, 8, 1.467609471937097
13, 5, 1.71927424298404
19, 0, 0.9999999999999483
15, 4, 0.004637331284693525
8, 7, -0.00463733128463713
11, 6, 0.8990351024530037
4, 8, 1.67363737557128
18, 2, 4.58115974923348e-14
19, 1, -0.03243596548049537
17, 3, 0.03243596548055907
5, 8, 0.03243596548059035
-4, 9, -0.03243596548063212
-3, 9, 1.137657309981952
9, 7, 0.1222113608905652
14, 5, 0.2901626617089542
-2, 9, -0.2901626617088329
12, 6, -5.132004723329266
-1, 9, -0.3171134656424001
20, 0, 0.0006799645225820532
16, 4, 2.171669670844728
6, 8, -0.600980124310341
0, 9, 0.02641289266168305
10, 7, 0.003551301350501812
1, 9, -0.003551301350460547
19, 2, 0.3674725411888445
18, 3, -2.290392714062266
20, 1, 0.3765077556479742
15, 5, 0.0001178871356404453
7, 8, 0.3765077556478975
13, 6, -0.1729822554576942
2, 9, -0.1729822554576461
17, 4, 1.028324905462349e-13
21, 0, 1.59355714740679
3, 9, -0.01465752782640874
11, 7, 0.4428374773740498
8, 8, -2.097752450541332
4, 9, -0.2385423090428862
20, 2, 0.02427730239730041
14, 6, -0.02427730239742608
16, 5, -1.323890045369002
