d = 19, symClass = C, r = 14.41478203521055, D = 16, Y = 0.1121146139348563
max of |f(z) - f(z^*)| for 100 points = 3.752775867837954e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -3.727462782876501e-12, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -3.621103417117411e-12, 
confident_r = 14.414782035211
23, 0, 0.03209261901629352
11, 8, 0.9679073809845126
16, 6, -3.228487568820617e-13
18, 5, 1.246993391772913
14, 7, 0.0483751202558915
3, 10, -1.24699339177331
8, 9, 1.700585250703549
22, 2, 2.414617966557268
21, 3, -1.030532137892267
4, 10, -2.36613116395379
23, 1, 0.8742303582195877
20, 4, 0.3224644485883622
12, 8, -0.3224644485875936
9, 9, -0.5771793414888946
17, 6, 0.9642941561341757
5, 10, 0.1371207396088324
-5, 11, -0.04202338955915592
15, 7, 0.04202338956004387
24, 0, 3.08887272166858
-4, 11, 1.088241347041878
19, 5, -0.1487819046395586
-3, 11, -0.1487819046417596
-2, 11, 1.456635476038865
13, 8, 0.101997674945001
23, 2, -0.07383367191542829
22, 3, 0.07383367191400314
10, 9, -0.07383367191502936
-1, 11, 0.07383367191583082
6, 10, -0.8320426335848712
24, 1, -0.5931532280876813
21, 4, 0.5931532280871381
0, 11, -1.468036843871897
18, 6, -1.486766389915813
16, 7, 0.8502598753506687
1, 11, 1.762512656506906
7, 10, -0.07271637212380698
25, 0, 0.05502714717984433
20, 5, 0.9449728528217247
11, 9, -0.7103941939881745
14, 8, -1.223239853514054
2, 11, 1.414092307110385
23, 3, -0.01988995186266475
24, 2, -0.05902843524146961
8, 10, 0.05902843524032724
3, 11, 0.4856090331427748
22, 4, -2.288125437263465
17, 7, -0.5812999279319648
25, 1, -0.09759086684684995
19, 6, 0.09759086684605854
12, 9, 0.09146914076927677
15, 8, 7.165473471820849e-13
4, 11, 6.490874067442323e-13
21, 5, -0.6685690903441114
9, 10, -0.6685690903445337
26, 0, 3.394585011155341
-6, 12, -1.024730245700532e-14
5, 11, -1.238951715776412
-5, 12, -1.238951715776748
-4, 12, -1.956372383303691
13, 9, 0.8505364881447882
24, 3, -0.4998230481430001
-3, 12, 0.4998230481427972
25, 2, 1.21407291171248
18, 7, -1.214072911713145
20, 6, -0.0772942503647258
10, 10, -0.2522082318726774
-2, 12, -0.07729425036457534
23, 4, 1.628456146195598
16, 8, 2.003940245803007
26, 1, 0.2618958554677831
6, 11, -0.2618958554680493
-1, 12, 0.09789630583347074
22, 5, -0.06000991808781801
0, 12, -3.331778045420348
14, 9, -0.2076867169212423
27, 0, 3.966871323198466
11, 10, 0.447944439536665
7, 11, -0.447944439537818
1, 12, 1.702405526185887
19, 7, -0.7847174021549556
25, 3, 0.4269249474465419
17, 8, -0.4269249474476522
21, 6, 1.53724941029045
26, 2, -0.9645560932178353
2, 12, -0.9645560932168664
24, 4, 1.480886618267014
8, 11, 1.345583693448511
27, 1, -1.751477529876204
12, 10, 2.005181232193251
15, 9, 0.7628667537712185
3, 12, -0.7628667537704515
23, 5, 0.9292942671429858
28, 0, 0.07122720758097639
4, 12, 1.836064834582637
20, 7, 0.6276500615446914
9, 11, -0.6276500615453763
18, 8, -1.783227964017604
22, 6, -2.678868846208093
26, 3, -0.3390739574420385
13, 10, -0.3390739574426038
27, 2, 0.05934161390036346
-6, 13, -0.05934161390004204
25, 4, -0.03028776482738143
16, 9, 0.03028776482829745
5, 12, 0.03028776482890543
-5, 13, 0.03028776482724777
-4, 13, 0.1109716366826188
10, 11, 1.174047810324948
-3, 13, -1.174047810326305
28, 1, 4.466106013697765e-13
24, 5, 0.3370104146583519
-2, 13, 0.7532976655956719
6, 12, 0.6098955883306776
21, 7, -0.01630866999135347
19, 8, -0.4203979979995582
-1, 13, 0.4203979979980108
14, 10, 4.716322401258197e-13
29, 0, 0.9758864938790767
0, 13, -1.741777366925468
23, 6, -0.1310180030378077
11, 11, -0.3242657151028088
17, 9, 0.1310180030379517
7, 12, 1.212380608624043
27, 3, -2.785532854907845e-13
1, 13, -1.097761341038683
28, 2, 1.53013214893901
26, 4, -1.530132148940001
29, 1, 0.208729296646721
25, 5, -0.03966003957328217
15, 10, 0.03966003957345833
2, 13, -0.2087292966461785
20, 8, -2.161527753624502
8, 12, 2.161527753624114
12, 11, -1.071247926201611
22, 7, -1.082098961665721
18, 9, 3.868920034147067
3, 13, -3.641704559815473e-13
30, 0, 2.60587439484203
24, 6, 0.7986222590760673
9, 12, -2.70596918592188
28, 3, 0.997307509470488
4, 13, 0.9973075094700689
16, 10, -0.5785763993296623
27, 4, -0.02155625204912747
13, 11, 0.02155625204894111
29, 2, 0.03040289946213399
21, 8, -0.9244035743941474
26, 5, 5.822656601648754e-13
-7, 14, -7.396067331405448e-16
-6, 14, 3.277121260599855
30, 1, 0.4949182202759181
23, 7, -0.4949182202757995
5, 13, 0.4949182202755731
