d = 19, symClass = C, r = 15.40337910587636, D = 16, Y = 0.1152998497877738
max of |f(z) - f(z^*)| for 100 points = 2.725153436244909e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -6.694644838489694e-14, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -2.109423746787797e-13, 
confident_r = 15.403379106
1, 0, 1
2, 0, 1.939378522105165
0, 1, 0.4328425458681334
1, 1, 1.390373577839074
3, 0, 0.2248440856968114
2, 1, -1.284577728759478
4, 0, 2.761189052003128
3, 1, -1.209467943614875
-1, 2, 8.555118381790174e-16
0, 2, 0.8394455369100445
1, 2, -0.9347940227789323
5, 0, 0.1873526695136
4, 1, 0.8126473304863082
2, 2, 2.696460654563825
5, 1, 0.6018128391396743
3, 2, -0.6018128391397131
6, 0, 0.4360577906226925
-1, 3, -1.572035005672082
4, 2, -2.491282457130814
0, 3, 0.09732208647635654
6, 1, 0.587557622615155
7, 0, 1.933138685953116
1, 3, -0.9331386859531635
5, 2, -0.5560198944817902
2, 3, 0.5560198944818757
7, 1, 0.3652608860328638
3, 3, 0.3126172758861712
8, 0, 3.415612220822112
6, 2, -2.345616153021441
4, 3, 0.5906161285065343
-2, 4, 2.511638002973389e-14
8, 1, -1.786042932747561
-1, 4, 1.786042932747776
0, 4, 1.195160098892355
9, 0, -0.94944513712714
7, 2, 0.1198565633478021
5, 3, -0.5235091838602104
1, 4, 0.5235091838601091
2, 4, -1.812919450369891
9, 1, 6.552641888716298e-14
6, 3, -0.2888297049293532
10, 0, 0.3633477433137787
8, 2, 1.576030778791351
3, 4, 0.3810366017603845
4, 4, 3.83908430132387
10, 1, -0.4046186246820092
7, 3, 0.4046186246814715
9, 2, -1.681612272045437
-2, 5, -1.681612272045431
11, 0, 1.650139941224806
-1, 5, 0.6501399412247404
5, 4, 0.7845908852888372
0, 5, -0.3517483394206317
1, 5, 0.235042881308196
8, 3, 5.013283157397585e-14
11, 1, 1.870715222419536
2, 5, 1.759856197872272
10, 2, 1.167142894554739
6, 4, -1.16714289455472
12, 0, 0.6208370278335751
