d = 19, symClass = C, r = 18.56400734520961, D = 16, Y = 0.1185646102314963
max of |f(z) - f(z^*)| for 100 points = 2.604416682316923e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 2.54827409174041e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 3.132077930345645e-13, 
confident_r = 18.56400734521
2, 10, -0.180493805985553
23, 0, 1.832528523885178
11, 8, -0.9671388272960798
16, 6, -0.1619827299414509
18, 5, 1.200041499868589
14, 7, -0.04393794637988624
3, 10, 1.201487135466771
8, 9, -0.8902613167932703
22, 2, 0.3586321976574287
21, 3, -0.8734683122817193
4, 10, -0.07194699524980663
23, 1, -0.1793213836544136
20, 4, 0.994680288660751
12, 8, 1.035731591539545
9, 9, -0.06311047537843376
17, 6, -1.401620612500297
5, 10, 2.065908218189816
-5, 11, -0.7244976549163994
15, 7, 0.6633725432791846
24, 0, -0.5528611902003076
-4, 11, 0.9580566770412763
19, 5, -1.009995815718574
-3, 11, 0.4030586506670847
-2, 11, -0.3920666547103305
13, 8, -1.059740549251518
23, 2, -0.03967530741895953
22, 3, -0.06219106835185239
10, 9, 0.2981936915173975
-1, 11, 0.3313787263933243
6, 10, 0.1920558742383584
24, 1, -0.3230715771621912
21, 4, -0.213594584540861
0, 11, 0.1022735026155375
18, 6, -0.03457427716862962
16, 7, 1.263053327116093
1, 11, 1.237114088786715
7, 10, 0.1979253226291851
25, 0, 0.2395892777314049
20, 5, -0.7442373036179993
11, 9, -1.236109927153577
14, 8, 0.1042634100115277
2, 11, -0.777647097015465
23, 3, -0.9991793434946356
24, 2, 0.2329408619211563
8, 10, -0.1082921683779596
3, 11, 0.1148315939170508
22, 4, 0.06915186067784219
17, 7, 0.2940707835038149
25, 1, -1.101770389368789
19, 6, -1.166296549443124
12, 9, 0.03284070901166578
15, 8, 0.4091688774265302
4, 11, 0.3512603885210741
21, 5, 0.1784514134310621
9, 10, -0.3012839499074587
26, 0, 0.1526431128992763
-6, 12, 6.539336033601787e-15
5, 11, -0.5374605357431826
-5, 12, 0.4092502713111925
-4, 12, -0.09523456627915017
13, 9, 0.5621622469720424
24, 3, -1.42787002030733
-3, 12, -1.354273506854235
25, 2, -1.409518441465056
18, 7, -1.435239342563147
20, 6, 0.0906203796352273
10, 10, 0.1855310100755472
-2, 12, 0.03401872942773654
23, 4, 1.041959955598913
16, 8, -0.03887338633465819
26, 1, 0.6735346743851717
6, 11, -0.6388314853039702
-1, 12, -0.9217163609002699
22, 5, -0.3257404407975666
0, 12, 0.04755746606495832
14, 9, -0.4676230500690355
27, 0, -0.9201354457422574
11, 10, -0.1587826535156769
7, 11, -0.1340310961908581
1, 12, 0.1608657629474953
19, 7, -0.1716563070612776
25, 3, -1.038117319943505
17, 8, -0.969457744526294
21, 6, 0.7031297817136775
26, 2, 0.1249479043595771
2, 12, -0.1298099538481258
24, 4, 0.07478822008452794
8, 11, 0.7208217476236297
27, 1, 1.026262402742716
12, 10, 0.1889572821617419
15, 9, 0.4298618651507755
3, 12, 0.4175016330038116
23, 5, -0.7822160556977923
28, 0, 0.5436124452664707
4, 12, 0.008942902056753016
20, 7, 1.5799194742726
9, 11, 1.617193426403269
18, 8, -0.05384320592715668
22, 6, -0.2502698901263737
26, 3, 0.1605941926377708
13, 10, -0.1411566607733667
27, 2, 0.6017003088447902
-6, 13, 0.5970820444720188
25, 4, 1.381484324714943
16, 9, 1.342770099850888
5, 12, -1.696347310592307
-5, 13, 1.613071437151824
-4, 13, 0.5852290221921593
10, 11, -0.4110087014481766
-3, 13, -0.3862870551458819
28, 1, 0.30441938091314
24, 5, -0.2694390745329161
-2, 13, 0.1119081492180864
6, 12, -0.3953145727815152
21, 7, 0.07064270425795113
19, 8, -0.2654559346150739
-1, 13, -0.2677802036445502
14, 10, -0.2648551495831611
29, 0, -1.675570644430565
0, 13, -0.02728479762355135
23, 6, -0.719644977627341
11, 11, 0.979087045167115
17, 9, 0.3284026835715147
7, 12, -0.1816357372944822
27, 3, -0.8809486295487992
1, 13, -1.043192397373359
28, 2, 0.1474473038366882
26, 4, 0.150102151191066
29, 1, -0.5937870558825845
25, 5, 0.4906179188645307
15, 10, 0.6011972654047841
2, 13, -0.4829018836828995
20, 8, 1.663289520964657
8, 12, 1.656601694854095
12, 11, -0.3803358876802118
22, 7, 0.08129537139199013
18, 9, 0.01028157099742096
3, 13, -0.3137107054498143
30, 0, -0.4298711172312892
24, 6, -0.1443929859556958
9, 12, -1.520361224402097
28, 3, -1.105791175710295
4, 13, 1.204669650573761
16, 10, -0.2247172716101002
27, 4, -0.5178754966203478
13, 11, -1.135598814851299
29, 2, -0.9811433742752517
21, 8, -1.018864146151941
26, 5, 0.5543708765469137
-7, 14, -6.612208150293635e-15
-6, 14, 0.08886256820174247
30, 1, 0.2687045200932505
23, 7, 0.2222977316973758
5, 13, 0.163586060257024
-5, 14, -0.2082546760772242
19, 9, 1.195256796234547
10, 12, -0.1522731166971389
-4, 14, -0.1543579826861482
-3, 14, -0.9435763708655597
25, 6, 0.9787564999812024
14, 11, 1.046308335177905
-2, 14, 0.03292861398202664
17, 10, -0.9587799822502198
6, 13, -0.2686054670841622
31, 0, -0.5048238092737495
-1, 14, 0.3270936641307999
29, 3, -0.9138318113952897
11, 12, -1.160063732761242
28, 4, 0.7598590855249153
30, 2, 0.2710547594834065
22, 8, 0.2708054588277098
0, 14, 0.007577123089332372
20, 9, 0.9724702020339786
7, 13, 0.9532213679508502
27, 5, -0.2586300522989383
24, 7, 0.02437373291278646
15, 11, 0.457381580189775
1, 14, 0.3679106152250302
31, 1, 1.139469016048453
18, 10, 0.1812334656551411
12, 12, 0.4552782268777335
26, 6, 0.07410966275975156
2, 14, 0.1297012520571202
8, 13, -0.8805044645465724
32, 0, 0.7304525293799152
3, 14, -0.2391748226737092
23, 8, 0.7908783271869521
30, 3, 0.4096151650009303
21, 9, 0.2682910277893175
29, 4, 0.04548376940913177
16, 11, 0.1520043533285678
31, 2, -1.060431506978389
9, 13, -0.4031380820183437
25, 7, -0.01459965012716664
13, 12, -0.109284815000195
28, 5, 0.3944399336843554
19, 10, -1.07938653370215
4, 14, 0.2947512289007556
32, 1, 0.4719633030304593
-7, 15, 0.5248663471984581
27, 6, 0.3680376206721306
-6, 15, -0.249710362290397
-5, 15, -0.1538713238842237
10, 13, -0.10487177466135
5, 14, -0.001501536381358216
17, 11, 0.231825284095443
-4, 15, -0.009580880616208577
14, 12, 0.01232173674427224
22, 9, -1.109384764169297
24, 8, 0.06249998829459431
33, 0, -2.268522344610274
-3, 15, 1.214151259268614
31, 3, 0.9869694413631782
-2, 15, 1.343801296345291
30, 4, 0.03612146877316119
20, 10, -0.03022557255163417
6, 14, -0.05642690683545516
26, 7, -0.5253262011980578
32, 2, 0.03022196363660047
11, 13, -0.2545647745605171
29, 5, -0.07853002581700318
-1, 15, 0.1352726078073283
0, 15, 0.1281049114668972
15, 12, 0.1284592070043332
33, 1, -0.2000117122142386
18, 11, -0.2265868858292736
7, 14, 0.8077129224669566
28, 6, -0.2908090264260612
23, 9, -0.4089566252395714
1, 15, 0.1722907928214292
25, 8, 0.7859199981768147
12, 13, 0.7055840411600993
21, 10, -1.106477916907489
34, 0, -0.02437469419159304
8, 14, -0.2367639058008516
2, 15, 0.1107425120699112
27, 7, -1.165197366398474
32, 3, 0.1815650708161842
31, 4, 0.2133332540459295
16, 12, -0.02856922313823173
33, 2, 0.09539859365962498
30, 5, 0.1208359830360933
19, 11, -0.01422138634285299
3, 15, -0.7156254171227749
13, 13, -0.2612034515267754
9, 14, -0.3632452651029808
34, 1, 0.9986778851038125
29, 6, 1.01044979608597
24, 9, -0.6422323361623647
4, 15, 0.7556574483728548
26, 8, 0.09575256372245823
22, 10, 0.1211680094148611
17, 12, -0.2702109012284286
-8, 16, 3.421906340905871e-17
-7, 16, -1.058335637606066
10, 14, 0.06471294518828952
-6, 16, 0.04353040651886191
14, 13, -0.630439022563299
35, 0, 0.8783193949569528
28, 7, 0.2950260089062849
20, 11, -0.09200351337897403
5, 15, 0.01444912527748977
-5, 16, -0.1017103871813346
32, 4, 1.242151538439667
-4, 16, 1.178127487854919
33, 3, 1.421912040920015
31, 5, -0.1368015811638239
-3, 16, 0.12937641200682
34, 2, -0.1553180397639388
6, 15, -0.2852568718644801
-2, 16, 0.1224800518737761
25, 9, 0.1764864105095143
11, 14, 0.2412769973761645
23, 10, -0.5058531614038075
30, 6, -0.3075235609892148
18, 12, -0.3202153203299183
35, 1, 2.467037444154588
27, 8, 2.513405371886569
15, 13, -2.45580274453448
-1, 16, -2.429308694302436
21, 11, -0.251542509419143
7, 15, 0.9306550815458491
0, 16, -0.0378941685599434
29, 7, 1.242813787055453
12, 14, 0.05880851682711014
36, 0, -0.1272064448028037
1, 16, 0.05540953610131891
33, 4, 0.64582336966806
34, 3, -0.729231194417419
32, 5, 0.4011073796448137
8, 15, -0.349351644685051
19, 12, -0.07827097463749053
16, 13, -0.04315515331527819
35, 2, 0.2633453979176851
26, 9, 0.3687183489400885
24, 10, -0.1017912095772312
2, 16, 0.1217500965687424
31, 6, 0.009727440132303802
28, 8, -0.6116759422467577
22, 11, -0.2344859976697244
13, 14, -0.3302483348356354
36, 1, 0.4148156318254937
3, 16, 1.06150441265956
9, 15, 0.7614669343483789
30, 7, 1.27285250100704
17, 13, 1.277257496254816
